NO_OF_FRAMES	2421
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:38:51.267	123012.64977420
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-480.237	48.886	397.765	601.681	81.322	401.362
-480.258	48.886	397.752	601.672	81.334	401.370
-480.259	48.900	397.751	601.686	81.320	401.378
-480.258	48.879	397.753	601.686	81.320	401.378
-480.259	48.893	397.752	601.672	81.320	401.371
-480.259	48.879	397.754	601.681	81.315	401.361
-480.262	48.877	397.771	601.681	81.315	401.361
-480.268	48.866	397.746	601.687	81.300	401.377
-480.264	48.862	397.727	601.682	81.302	401.361
-480.268	48.853	397.747	601.681	81.302	401.359
-480.254	48.848	397.736	601.682	81.302	401.361
-480.267	48.839	397.748	601.682	81.288	401.362
-480.275	48.840	397.738	601.683	81.275	401.362
-480.262	48.815	397.729	601.684	81.268	401.364
-480.260	48.809	397.727	601.684	81.268	401.364
-480.259	48.802	397.726	601.685	81.255	401.364
-480.258	48.768	397.729	601.679	81.256	401.348
-480.254	48.771	397.710	601.685	81.241	401.364
-480.257	48.755	397.729	601.685	81.241	401.364
-480.255	48.742	397.728	601.685	81.241	401.364
-480.265	48.735	397.721	601.686	81.228	401.365
-480.253	48.708	397.729	601.685	81.235	401.364
-480.249	48.718	397.708	601.686	81.221	401.364
-480.239	48.677	397.719	601.685	81.215	401.363
-480.251	48.661	397.730	601.691	81.206	401.380
-480.250	48.648	397.731	601.690	81.213	401.379
-480.251	48.618	397.749	601.687	81.194	401.365
-480.251	48.611	397.750	601.692	81.186	401.380
-480.248	48.614	397.732	601.692	81.186	401.380
-480.246	48.594	397.731	601.693	81.179	401.381
-480.242	48.577	397.714	601.691	81.179	401.379
-480.232	48.563	397.722	601.701	81.167	401.371
-480.237	48.551	397.758	601.701	81.174	401.372
-480.229	48.543	397.721	601.707	81.158	401.388
-480.232	48.520	397.741	601.706	81.165	401.387
-480.219	48.529	397.730	601.702	81.154	401.371
-480.222	48.506	397.750	601.702	81.154	401.371
-480.222	48.492	397.751	601.692	81.153	401.378
-480.222	48.492	397.751	601.701	81.154	401.369
-480.222	48.486	397.752	601.701	81.161	401.370
-480.221	48.472	397.753	601.702	81.147	401.370
-480.221	48.479	397.751	601.693	81.139	401.381
-480.208	48.474	397.741	601.702	81.147	401.370
-480.208	48.474	397.741	601.702	81.160	401.372
-480.207	48.488	397.739	601.703	81.147	401.372
-480.208	48.488	397.740	601.697	81.156	401.355
-480.208	48.488	397.740	601.701	81.174	401.372
-480.208	48.495	397.739	601.701	81.174	401.372
-480.215	48.511	397.711	601.696	81.176	401.356
-480.200	48.514	397.747	601.703	81.173	401.374
-480.207	48.524	397.721	601.701	81.194	401.372
-480.208	48.551	397.719	601.700	81.207	401.372
-480.199	48.544	397.729	601.695	81.209	401.356
-480.198	48.580	397.709	601.699	81.234	401.371
-480.198	48.593	397.709	601.699	81.234	401.371
-480.191	48.619	397.717	601.698	81.247	401.370
-480.192	48.646	397.716	601.689	81.259	401.379
-480.184	48.652	397.725	601.689	81.259	401.379
-480.185	48.672	397.725	601.688	81.273	401.378
-480.186	48.706	397.722	601.683	81.281	401.363
-480.178	48.739	397.728	601.687	81.293	401.377
-480.180	48.746	397.730	601.686	81.313	401.377
-480.171	48.772	397.737	601.680	81.322	401.360
-480.173	48.806	397.736	601.681	81.335	401.361
-480.175	48.826	397.736	601.680	81.355	401.362
-480.168	48.859	397.744	601.680	81.355	401.362
-480.181	48.884	397.753	601.680	81.368	401.361
-480.164	48.910	397.768	601.679	81.382	401.361
-480.165	48.930	397.768	601.679	81.388	401.362
-480.167	48.950	397.768	601.680	81.395	401.363
-480.159	48.962	397.777	601.689	81.403	401.355
-480.162	49.001	397.791	601.688	81.429	401.354
-480.161	49.016	397.775	601.679	81.441	401.364
-480.166	49.040	397.792	601.678	81.461	401.363
-480.154	49.056	397.781	601.681	81.485	401.338
-480.154	49.070	397.780	601.687	81.482	401.356
-480.150	49.086	397.807	601.683	81.491	401.341
-480.151	49.093	397.808	601.687	81.496	401.356
-480.151	49.106	397.807	601.682	81.498	401.340
-480.152	49.120	397.806	601.681	81.511	401.339
-480.142	49.119	397.815	601.686	81.509	401.355
-480.131	49.121	397.806	601.687	81.502	401.356
-480.134	49.119	397.824	601.680	81.518	401.338
-480.120	49.128	397.812	601.681	81.511	401.339
-480.130	49.122	397.804	601.688	81.489	401.357
-480.118	49.101	397.811	601.683	81.491	401.341
-480.124	49.097	397.785	601.687	81.482	401.356
-480.113	49.077	397.794	601.687	81.463	401.354
-480.112	49.050	397.795	601.688	81.442	401.355
-480.111	49.037	397.796	601.689	81.416	401.356
-480.109	49.010	397.795	601.688	81.416	401.354
-480.105	48.986	397.778	601.690	81.389	401.355
-480.113	48.959	397.771	601.680	81.375	401.362
-480.102	48.939	397.779	601.687	81.353	401.380
-480.101	48.905	397.782	601.686	81.346	401.379
-480.096	48.894	397.762	601.681	81.322	401.362
-480.106	48.865	397.772	601.688	81.293	401.379
-480.114	48.841	397.749	601.682	81.288	401.362
-480.103	48.798	397.775	601.684	81.261	401.363
-480.096	48.776	397.739	601.675	81.240	401.371
-480.104	48.750	397.732	601.675	81.234	401.370
-480.116	48.707	397.746	601.685	81.208	401.362
-480.122	48.675	397.737	601.676	81.187	401.371
-480.120	48.648	397.737	601.678	81.167	401.373
-480.115	48.630	397.718	601.677	81.154	401.371
-480.115	48.567	397.739	601.678	81.140	401.371
