NO_OF_FRAMES	2434
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:31:19.727	122561.11107870
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.694	81.216	401.354	-477.299	48.804	397.755
601.695	81.222	401.355	-477.323	48.816	397.758
601.700	81.214	401.370	-477.320	48.812	397.740
601.694	81.216	401.354	-477.319	48.805	397.740
601.695	81.222	401.355	-477.322	48.803	397.758
601.701	81.214	401.372	-477.320	48.812	397.740
601.696	81.216	401.356	-477.312	48.789	397.767
601.700	81.227	401.372	-477.312	48.795	397.766
601.691	81.226	401.381	-477.310	48.805	397.748
601.701	81.220	401.373	-477.309	48.784	397.750
601.714	81.233	401.380	-477.312	48.789	397.767
601.700	81.234	401.373	-477.311	48.796	397.765
601.700	81.234	401.373	-477.302	48.816	397.771
601.700	81.234	401.373	-477.311	48.809	397.764
601.700	81.234	401.373	-477.299	48.811	397.754
601.699	81.240	401.372	-477.302	48.809	397.772
601.700	81.247	401.372	-477.301	48.822	397.770
601.700	81.247	401.372	-477.301	48.822	397.770
601.700	81.247	401.372	-477.297	48.819	397.799
601.700	81.247	401.372	-477.302	48.829	397.771
601.699	81.260	401.372	-477.303	48.836	397.771
601.700	81.253	401.373	-477.303	48.836	397.771
601.708	81.255	401.362	-477.300	48.831	397.754
601.699	81.254	401.371	-477.303	48.842	397.770
601.708	81.255	401.362	-477.304	48.842	397.772
601.708	81.255	401.362	-477.315	48.842	397.765
601.699	81.254	401.371	-477.313	48.843	397.763
601.698	81.247	401.370	-477.316	48.842	397.766
601.703	81.257	401.346	-477.312	48.845	397.748
601.693	81.249	401.354	-477.316	48.856	397.766
601.694	81.256	401.355	-477.312	48.852	397.747
601.694	81.236	401.355	-477.323	48.845	397.741
601.693	81.249	401.354	-477.316	48.849	397.765
601.702	81.244	401.345	-477.313	48.831	397.750
601.702	81.244	401.345	-477.314	48.845	397.749
