NO_OF_FRAMES	2735
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:45.442	122526.82566200
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-482.130	48.542	397.793	601.725	81.135	401.369
-482.161	48.564	397.770	601.715	81.132	401.336
-482.150	48.557	397.776	601.712	81.122	401.362
-482.145	48.540	397.807	601.713	81.108	401.363
-482.147	48.566	397.758	601.721	81.103	401.353
-482.141	48.536	397.788	601.722	81.096	401.354
-482.141	48.536	397.788	601.714	81.082	401.364
-482.142	48.527	397.805	601.714	81.082	401.364
-482.143	48.533	397.805	601.714	81.082	401.364
-482.140	48.536	397.786	601.715	81.075	401.365
-482.142	48.513	397.805	601.714	81.068	401.364
-482.138	48.536	397.783	601.715	81.061	401.365
-482.135	48.532	397.766	601.720	81.059	401.381
-482.127	48.516	397.792	601.720	81.059	401.381
-482.130	48.493	397.812	601.721	81.046	401.382
-482.139	48.493	397.804	601.712	81.038	401.390
-482.139	48.493	397.804	601.721	81.039	401.381
-482.139	48.480	397.804	601.717	81.034	401.366
-482.138	48.480	397.803	601.726	81.037	401.397
-482.138	48.473	397.804	601.713	81.031	401.391
-482.138	48.466	397.805	601.707	81.047	401.375
-482.147	48.454	397.797	601.712	81.038	401.390
-482.137	48.446	397.805	601.707	81.040	401.374
-482.145	48.447	397.795	601.712	81.038	401.390
-482.146	48.427	397.799	601.712	81.045	401.391
-482.139	48.417	397.825	601.713	81.038	401.392
-482.149	48.424	397.817	601.707	81.047	401.375
-482.148	48.404	397.817	601.707	81.047	401.375
-482.160	48.388	397.828	601.713	81.038	401.392
-482.143	48.386	397.799	601.712	81.045	401.391
-482.155	48.371	397.810	601.712	81.051	401.391
-482.136	48.356	397.827	601.705	81.067	401.373
-482.145	48.357	397.819	601.705	81.067	401.373
-482.151	48.367	397.791	601.705	81.067	401.373
-482.144	48.350	397.818	601.706	81.060	401.374
-482.143	48.344	397.818	601.704	81.074	401.372
-482.149	48.347	397.791	601.700	81.082	401.357
-482.143	48.330	397.819	601.700	81.082	401.357
-482.152	48.324	397.811	601.700	81.082	401.357
-482.143	48.308	397.836	601.700	81.082	401.357
-482.148	48.306	397.793	601.699	81.096	401.356
-482.137	48.306	397.800	601.699	81.096	401.356
-482.149	48.291	397.811	601.698	81.103	401.355
-482.140	48.290	397.819	601.703	81.107	401.372
-482.138	48.277	397.818	601.694	81.099	401.380
-482.125	48.266	397.808	601.703	81.101	401.371
-482.137	48.263	397.819	601.703	81.101	401.371
-482.137	48.263	397.819	601.703	81.107	401.372
-482.134	48.259	397.801	601.694	81.113	401.379
-482.127	48.256	397.826	601.703	81.114	401.370
-482.137	48.250	397.819	601.704	81.114	401.373
-482.124	48.252	397.809	601.699	81.116	401.357
-482.127	48.236	397.828	601.699	81.116	401.357
-482.124	48.239	397.809	601.703	81.121	401.371
-482.123	48.246	397.808	601.703	81.121	401.371
-482.114	48.245	397.817	601.703	81.121	401.371
-482.101	48.227	397.808	601.703	81.121	401.371
-482.113	48.238	397.816	601.703	81.121	401.371
-482.104	48.231	397.825	601.702	81.134	401.371
-482.111	48.248	397.798	601.702	81.127	401.370
-482.111	48.248	397.798	601.701	81.134	401.369
-482.102	48.261	397.806	601.706	81.139	401.386
-482.102	48.247	397.808	601.706	81.139	401.386
-482.102	48.254	397.807	601.701	81.141	401.370
-482.103	48.260	397.807	601.706	81.139	401.386
-482.104	48.260	397.809	601.710	81.142	401.361
-482.098	48.264	397.834	601.715	81.147	401.375
-482.085	48.273	397.823	601.715	81.140	401.377
-482.095	48.287	397.814	601.721	81.138	401.393
-482.096	48.286	397.816	601.715	81.140	401.377
-482.087	48.293	397.824	601.706	81.139	401.386
-482.087	48.299	397.823	601.715	81.140	401.377
-482.097	48.307	397.815	601.711	81.142	401.363
-482.088	48.319	397.823	601.716	81.133	401.378
-482.080	48.332	397.831	601.716	81.133	401.378
-482.076	48.335	397.812	601.721	81.138	401.393
-482.078	48.348	397.813	601.715	81.140	401.377
-482.079	48.362	397.812	601.716	81.133	401.378
-482.067	48.384	397.802	601.715	81.140	401.377
-482.081	48.388	397.813	601.701	81.141	401.370
-482.059	48.403	397.810	601.715	81.140	401.377
-482.069	48.417	397.801	601.701	81.141	401.370
-482.070	48.431	397.800	601.710	81.156	401.360
-482.062	48.444	397.809	601.710	81.156	401.360
-482.059	48.460	397.789	601.711	81.149	401.361
-482.047	48.482	397.778	601.702	81.147	401.370
-482.048	48.489	397.779	601.701	81.154	401.369
-482.037	48.518	397.767	601.701	81.154	401.369
-482.040	48.515	397.786	601.704	81.171	401.344
-482.032	48.535	397.794	601.710	81.169	401.362
-482.033	48.541	397.794	601.695	81.170	401.353
-482.026	48.560	397.755	601.705	81.171	401.346
-482.034	48.568	397.793	601.695	81.170	401.353
-482.028	48.601	397.753	601.695	81.176	401.354
-482.022	48.591	397.781	601.710	81.182	401.361
-482.015	48.603	397.742	601.701	81.181	401.370
-482.020	48.613	397.762	601.705	81.171	401.346
-482.013	48.617	397.788	601.710	81.175	401.363
