NO_OF_FRAMES	2090
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:18:37.255	121798.63975360
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-472.453	48.613	397.741	601.637	81.089	401.350
-472.465	48.634	397.734	601.628	81.088	401.359
-472.465	48.634	397.734	601.636	81.102	401.349
-472.469	48.665	397.750	601.637	81.109	401.350
-472.470	48.671	397.750	601.636	81.116	401.349
-472.458	48.680	397.740	601.636	81.122	401.350
-472.462	48.705	397.756	601.634	81.143	401.348
-472.461	48.727	397.739	601.635	81.149	401.349
-472.464	48.731	397.757	601.626	81.148	401.358
-472.466	48.745	397.758	601.634	81.163	401.349
-472.448	48.757	397.774	601.638	81.167	401.363
-472.458	48.764	397.766	601.633	81.176	401.348
-472.446	48.793	397.754	601.634	81.182	401.349
-472.446	48.800	397.753	601.633	81.189	401.348
-472.451	48.804	397.774	601.632	81.196	401.346
-472.443	48.817	397.781	601.637	81.194	401.362
-472.440	48.833	397.762	601.637	81.194	401.362
-472.441	48.832	397.764	601.631	81.203	401.345
-472.435	48.843	397.790	601.641	81.204	401.338
-472.433	48.852	397.772	601.631	81.210	401.346
-472.424	48.858	397.781	601.636	81.208	401.362
-472.434	48.859	397.772	601.631	81.210	401.346
-472.425	48.872	397.780	601.640	81.211	401.337
-472.425	48.872	397.780	601.630	81.217	401.345
-472.426	48.878	397.780	601.640	81.211	401.337
-472.417	48.884	397.789	601.636	81.208	401.362
-472.416	48.885	397.788	601.632	81.203	401.347
-472.426	48.899	397.779	601.636	81.208	401.362
-472.417	48.891	397.788	601.641	81.204	401.338
-472.416	48.885	397.788	601.638	81.194	401.364
-472.417	48.898	397.787	601.647	81.195	401.356
-472.412	48.894	397.768	601.634	81.189	401.350
-472.412	48.894	397.768	601.633	81.196	401.349
-472.412	48.894	397.768	601.643	81.190	401.341
-472.412	48.901	397.767	601.635	81.169	401.352
-472.411	48.881	397.767	601.635	81.176	401.350
-472.408	48.890	397.749	601.635	81.162	401.351
-472.414	48.885	397.785	601.635	81.162	401.351
-472.400	48.874	397.775	601.637	81.142	401.352
-472.410	48.874	397.767	601.637	81.148	401.353
-472.402	48.865	397.792	601.637	81.142	401.352
-472.409	48.868	397.766	601.631	81.137	401.336
-472.402	48.844	397.793	601.637	81.128	401.353
-472.397	48.840	397.774	601.637	81.122	401.352
-472.396	48.834	397.774	601.628	81.114	401.360
-472.396	48.834	397.774	601.628	81.101	401.361
-472.397	48.827	397.775	601.628	81.101	401.361
-472.395	48.814	397.774	601.637	81.095	401.351
-472.392	48.816	397.756	601.629	81.087	401.361
-472.395	48.814	397.774	601.629	81.087	401.361
-472.394	48.800	397.775	601.638	81.082	401.351
-472.381	48.782	397.766	601.633	81.071	401.336
-472.394	48.787	397.775	601.633	81.071	401.336
-472.391	48.803	397.756	601.625	81.056	401.345
-472.403	48.780	397.768	601.634	81.051	401.335
-472.402	48.767	397.767	601.634	81.051	401.335
-472.390	48.769	397.758	601.631	81.041	401.361
-472.401	48.774	397.766	601.626	81.043	401.345
-472.387	48.749	397.757	601.626	81.029	401.346
-472.400	48.754	397.766	601.626	81.029	401.346
-472.397	48.757	397.748	601.636	81.030	401.339
-472.389	48.747	397.773	601.636	81.024	401.338
-472.394	48.730	397.747	601.628	81.015	401.348
-472.385	48.736	397.755	601.628	81.015	401.348
-472.384	48.730	397.754	601.629	81.008	401.350
-472.387	48.720	397.774	601.637	81.017	401.340
-472.388	48.734	397.773	601.633	81.013	401.364
-472.393	48.723	397.747	601.642	81.021	401.356
-472.394	48.730	397.747	601.637	81.023	401.340
-472.385	48.729	397.756	601.637	81.023	401.340
-472.394	48.730	397.747	601.631	81.032	401.323
-472.388	48.740	397.772	601.632	81.040	401.364
-472.398	48.741	397.765	601.636	81.037	401.338
-472.385	48.743	397.755	601.636	81.043	401.339
-472.385	48.736	397.755	601.636	81.043	401.339
-472.385	48.736	397.755	601.635	81.057	401.338
-472.387	48.736	397.758	601.635	81.050	401.337
-472.376	48.735	397.764	601.640	81.055	401.354
-472.375	48.729	397.764	601.634	81.064	401.337
-472.373	48.745	397.745	601.639	81.062	401.353
-472.377	48.742	397.765	601.635	81.070	401.338
-472.364	48.751	397.754	601.634	81.077	401.337
-472.378	48.755	397.764	601.638	81.089	401.352
-472.369	48.762	397.773	601.633	81.091	401.336
-472.368	48.755	397.773	601.638	81.089	401.352
-472.367	48.771	397.755	601.638	81.095	401.353
-472.366	48.764	397.754	601.638	81.095	401.353
-472.368	48.777	397.755	601.638	81.109	401.352
-472.360	48.774	397.781	601.632	81.117	401.335
-472.362	48.774	397.782	601.637	81.115	401.351
-472.359	48.783	397.764	601.636	81.122	401.350
-472.359	48.790	397.763	601.636	81.129	401.351
-472.363	48.794	397.782	601.636	81.129	401.351
-472.351	48.810	397.771	601.636	81.142	401.350
-472.351	48.803	397.772	601.639	81.148	401.363
-472.351	48.803	397.772	601.640	81.141	401.364
-472.352	48.810	397.773	601.633	81.163	401.346
-472.352	48.816	397.772	601.648	81.162	401.356
-472.343	48.823	397.780	601.642	81.177	401.339
-472.343	48.823	397.780	601.633	81.169	401.347
-472.344	48.829	397.781	601.642	81.171	401.338
-472.343	48.829	397.779	601.647	81.182	401.354
-472.342	48.832	397.764	601.638	81.167	401.363
-472.331	48.831	397.771	601.637	81.174	401.362
-472.341	48.832	397.762	601.647	81.169	401.354
-472.341	48.832	397.762	601.643	81.170	401.341
-472.341	48.825	397.763	601.648	81.162	401.356
-472.339	48.819	397.761	601.648	81.175	401.355
-472.341	48.825	397.763	601.643	81.164	401.340
-472.343	48.809	397.781	601.638	81.161	401.362
-472.339	48.812	397.762	601.634	81.156	401.348
-472.349	48.812	397.754	601.634	81.156	401.348
-472.342	48.796	397.782	601.634	81.156	401.348
-472.338	48.785	397.764	601.634	81.150	401.347
-472.341	48.789	397.781	601.629	81.145	401.332
-472.337	48.771	397.764	601.634	81.143	401.348
-472.347	48.772	397.756	601.629	81.138	401.331
-472.336	48.751	397.764	601.630	81.131	401.333
-472.336	48.744	397.765	601.635	81.129	401.349
-472.331	48.741	397.745	601.631	81.118	401.333
-472.335	48.724	397.766	601.635	81.123	401.348
-472.310	48.706	397.762	601.631	81.118	401.333
-472.323	48.704	397.773	601.637	81.109	401.350
-472.328	48.700	397.745	601.631	81.104	401.334
-472.326	48.687	397.744	601.631	81.104	401.334
-472.316	48.673	397.753	601.637	81.089	401.350
-472.316	48.660	397.754	601.638	81.082	401.351
-472.305	48.653	397.762	601.638	81.069	401.352
-472.304	48.639	397.761	601.638	81.069	401.352
-472.300	48.629	397.743	601.633	81.071	401.336
-472.299	48.615	397.744	601.641	81.041	401.355
-472.298	48.602	397.744	601.636	81.037	401.338
-472.298	48.608	397.743	601.641	81.022	401.354
-472.296	48.595	397.742	601.641	81.022	401.354
-472.296	48.595	397.742	601.642	81.021	401.356
-472.286	48.581	397.751	601.643	81.008	401.357
-472.285	48.575	397.751	601.642	81.008	401.355
-472.285	48.561	397.751	601.644	80.994	401.357
-472.285	48.561	397.751	601.644	80.994	401.357
-472.275	48.568	397.759	601.653	80.982	401.349
-472.272	48.563	397.741	601.649	80.979	401.374
-472.268	48.559	397.722	601.653	80.976	401.348
-472.268	48.552	397.723	601.653	80.976	401.348
-472.268	48.552	397.723	601.653	80.969	401.347
-472.268	48.546	397.724	601.653	80.969	401.347
-472.262	48.542	397.751	601.653	80.963	401.346
-472.262	48.549	397.750	601.662	80.970	401.338
-472.259	48.545	397.732	601.662	80.970	401.338
-472.269	48.559	397.724	601.662	80.964	401.337
-472.263	48.556	397.750	601.662	80.964	401.337
-472.260	48.558	397.732	601.663	80.957	401.339
-472.260	48.552	397.733	601.663	80.957	401.339
-472.257	48.568	397.714	601.662	80.964	401.337
-472.260	48.572	397.731	601.663	80.957	401.339
-472.247	48.574	397.721	601.657	80.959	401.323
