NO_OF_FRAMES	2398
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:32:32.868	122634.25210310
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.715	81.310	401.354	-456.272	49.440	397.710
601.715	81.310	401.354	-456.170	49.448	397.695
601.715	81.310	401.354	-456.060	49.440	397.704
601.711	81.325	401.339	-455.914	49.442	397.701
601.715	81.330	401.354	-455.790	49.429	397.701
601.715	81.350	401.354	-455.668	49.429	397.701
601.721	81.341	401.372	-455.544	49.429	397.699
601.706	81.355	401.364	-455.412	49.423	397.708
601.715	81.356	401.355	-455.284	49.426	397.688
601.715	81.363	401.356	-455.163	49.433	397.688
601.711	81.359	401.381	-455.030	49.412	397.697
601.715	81.363	401.356	-454.907	49.419	397.696
601.714	81.383	401.354	-454.774	49.419	397.704
601.715	81.376	401.356	-454.656	49.410	397.723
601.719	81.381	401.370	-454.529	49.420	397.704
601.714	81.389	401.355	-454.410	49.424	397.722
601.715	81.382	401.356	-454.288	49.418	397.723
601.723	81.384	401.345	-454.161	49.435	397.701
601.727	81.396	401.361	-454.038	49.428	397.703
601.719	81.381	401.370	-453.907	49.441	397.711
601.719	81.381	401.370	-453.780	49.451	397.690
601.728	81.389	401.362	-453.667	49.465	397.682
601.728	81.382	401.361	-453.545	49.466	397.682
601.729	81.375	401.363	-453.414	49.479	397.690
601.719	81.367	401.371	-453.278	49.488	397.680
601.720	81.354	401.371	-453.158	49.479	397.698
601.719	81.361	401.370	-453.036	49.500	397.697
601.719	81.361	401.370	-452.924	49.521	397.689
601.724	81.353	401.385	-452.795	49.526	397.652
601.727	81.356	401.358	-452.666	49.550	397.677
601.728	81.336	401.360	-452.540	49.573	397.658
601.727	81.343	401.359	-452.426	49.563	397.635
601.727	81.330	401.357	-452.298	49.594	397.660
601.722	81.332	401.341	-452.180	49.618	397.631
601.722	81.325	401.340	-452.059	49.625	397.632
601.722	81.325	401.340	-451.927	49.624	397.640
601.722	81.312	401.341	-451.804	49.652	397.638
601.722	81.312	401.341	-451.683	49.652	397.640
601.723	81.298	401.341	-451.561	49.665	397.640
601.724	81.291	401.342	-451.438	49.673	397.640
601.717	81.294	401.324	-451.306	49.672	397.649
601.714	81.284	401.350	-451.177	49.683	397.674
601.723	81.285	401.341	-451.052	49.699	397.656
601.714	81.284	401.350	-450.926	49.709	397.639
601.724	81.278	401.343	-450.807	49.713	397.657
601.715	81.270	401.351	-450.686	49.740	397.656
601.714	81.277	401.349	-450.550	49.736	397.648
601.723	81.278	401.341	-450.422	49.740	397.675
601.714	81.277	401.349	-450.303	49.758	397.692
601.724	81.272	401.342	-450.177	49.760	397.675
601.715	81.270	401.351	-450.056	49.774	397.676
601.720	81.268	401.367	-449.923	49.794	397.682
601.720	81.268	401.367	-449.800	49.794	397.683
601.720	81.275	401.368	-449.672	49.791	397.711
601.720	81.282	401.366	-449.545	49.808	397.691
601.720	81.275	401.368	-449.422	49.808	397.692
601.719	81.275	401.365	-449.303	49.812	397.710
601.720	81.282	401.366	-449.182	49.826	397.712
601.726	81.273	401.383	-449.055	49.842	397.692
601.726	81.279	401.384	-448.927	49.839	397.720
601.725	81.286	401.383	-448.813	49.847	397.712
601.735	81.281	401.375	-448.691	49.854	397.713
601.729	81.296	401.359	-448.568	49.847	397.713
601.735	81.287	401.376	-448.446	49.861	397.714
601.735	81.294	401.377	-448.324	49.868	397.715
601.734	81.301	401.376	-448.201	49.875	397.715
601.721	81.308	401.370	-448.077	49.889	397.714
601.735	81.307	401.377	-447.955	49.902	397.714
601.721	81.314	401.370	-447.843	49.910	397.707
601.730	81.316	401.361	-447.729	49.917	397.699
601.730	81.322	401.362	-447.597	49.924	397.708
601.720	81.334	401.371	-447.487	49.929	397.717
601.721	81.341	401.372	-447.364	49.929	397.719
