NO_OF_FRAMES	2237
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:20:44.595	121925.97993560
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
-468.244	48.766	397.779	601.637	81.142	401.352
-468.259	48.784	397.791	601.635	81.156	401.350
-468.270	48.804	397.782	601.637	81.142	401.352
-468.265	48.814	397.761	601.635	81.162	401.351
-468.260	48.804	397.789	601.635	81.169	401.352
-468.258	48.820	397.772	601.644	81.170	401.343
-468.254	48.836	397.751	601.636	81.162	401.353
-468.255	48.836	397.753	601.650	81.175	401.359
-468.249	48.833	397.779	601.650	81.175	401.359
-468.232	48.858	397.748	601.649	81.181	401.358
-468.233	48.865	397.748	601.649	81.181	401.358
-468.224	48.857	397.757	601.649	81.188	401.359
-468.229	48.875	397.776	601.648	81.195	401.358
-468.212	48.893	397.745	601.649	81.188	401.359
-468.213	48.893	397.747	601.653	81.191	401.334
-468.208	48.896	397.774	601.657	81.196	401.349
-468.212	48.943	397.727	601.662	81.194	401.365
-468.212	48.936	397.728	601.652	81.198	401.333
-468.200	48.965	397.715	601.656	81.203	401.348
-468.215	48.962	397.728	601.656	81.203	401.348
-468.192	48.971	397.725	601.656	81.203	401.348
-468.192	48.998	397.722	601.657	81.196	401.349
-468.189	48.994	397.705	601.665	81.198	401.338
-468.193	49.012	397.722	601.660	81.206	401.323
-468.193	49.012	397.722	601.656	81.203	401.348
-468.190	49.028	397.703	601.652	81.192	401.332
-468.181	49.020	397.712	601.657	81.190	401.348
-468.182	49.027	397.713	601.657	81.190	401.348
-468.177	49.030	397.693	601.652	81.185	401.331
-468.181	49.034	397.711	601.654	81.171	401.334
-468.169	49.036	397.701	601.653	81.185	401.333
-468.179	49.043	397.693	601.644	81.170	401.343
-468.169	49.036	397.701	601.644	81.163	401.342
-468.159	49.042	397.709	601.640	81.159	401.327
-468.163	49.052	397.679	601.640	81.152	401.326
-468.161	49.026	397.726	601.640	81.152	401.326
-468.158	49.029	397.709	601.632	81.144	401.336
-468.148	49.021	397.717	601.631	81.137	401.336
-468.157	49.022	397.709	601.636	81.135	401.352
-468.147	49.015	397.717	601.637	81.122	401.352
-468.157	49.009	397.709	601.637	81.115	401.351
-468.147	49.015	397.717	601.637	81.115	401.351
-468.144	49.017	397.698	601.627	81.121	401.359
-468.147	49.008	397.718	601.632	81.104	401.336
-468.150	48.992	397.737	601.637	81.115	401.351
-468.147	48.994	397.718	601.637	81.095	401.351
-468.140	48.992	397.744	601.637	81.109	401.350
-468.149	48.972	397.737	601.627	81.101	401.358
-468.150	48.978	397.737	601.641	81.100	401.365
-468.145	48.974	397.718	601.638	81.082	401.351
-468.135	48.967	397.726	601.638	81.082	401.351
-468.148	48.958	397.738	601.639	81.075	401.352
-468.138	48.944	397.746	601.638	81.069	401.352
-468.138	48.931	397.747	601.638	81.076	401.350
-468.138	48.951	397.745	601.638	81.069	401.352
-468.147	48.925	397.740	601.639	81.062	401.353
-468.148	48.918	397.741	601.639	81.062	401.353
-468.148	48.918	397.741	601.640	81.048	401.353
-468.148	48.918	397.741	601.649	81.050	401.344
-468.157	48.925	397.731	601.643	81.059	401.327
-468.160	48.895	397.753	601.649	81.043	401.344
-468.156	48.905	397.733	601.648	81.050	401.342
-468.156	48.912	397.732	601.648	81.050	401.342
-468.159	48.875	397.753	601.652	81.053	401.317
-468.149	48.875	397.761	601.652	81.053	401.317
-468.148	48.868	397.761	601.656	81.058	401.332
-468.150	48.868	397.762	601.656	81.052	401.331
-468.149	48.861	397.762	601.656	81.052	401.331
-468.149	48.854	397.763	601.648	81.044	401.342
-468.148	48.848	397.762	601.656	81.052	401.331
-468.148	48.841	397.763	601.662	81.049	401.349
-468.148	48.834	397.763	601.662	81.049	401.349
-468.138	48.834	397.771	601.655	81.065	401.331
-468.148	48.834	397.763	601.656	81.058	401.332
-468.137	48.827	397.771	601.661	81.056	401.348
-468.137	48.827	397.771	601.661	81.063	401.349
-468.147	48.828	397.762	601.661	81.056	401.348
-468.136	48.820	397.770	601.656	81.065	401.333
-468.136	48.820	397.770	601.656	81.065	401.333
-468.133	48.816	397.753	601.661	81.063	401.349
-468.136	48.807	397.771	601.661	81.063	401.349
-468.136	48.807	397.771	601.656	81.065	401.333
-468.136	48.814	397.770	601.657	81.071	401.334
-468.122	48.809	397.759	601.662	81.069	401.350
-468.122	48.809	397.759	601.648	81.076	401.344
-468.112	48.795	397.768	601.667	81.074	401.367
-468.116	48.799	397.787	601.656	81.085	401.333
-468.126	48.800	397.779	601.647	81.083	401.342
-468.112	48.795	397.768	601.646	81.097	401.342
-468.113	48.802	397.769	601.646	81.097	401.342
-468.102	48.802	397.775	601.646	81.097	401.342
-468.113	48.795	397.770	601.641	81.112	401.325
-468.113	48.815	397.768	601.631	81.111	401.334
-468.101	48.811	397.759	601.636	81.116	401.349
-468.104	48.801	397.778	601.632	81.117	401.335
-468.101	48.811	397.759	601.632	81.117	401.335
-468.091	48.810	397.767	601.631	81.124	401.334
-468.090	48.810	397.766	601.623	81.116	401.344
-468.090	48.803	397.767	601.622	81.123	401.343
-468.082	48.816	397.774	601.636	81.129	401.351
-468.082	48.816	397.774	601.623	81.123	401.345
-468.071	48.816	397.781	601.623	81.123	401.345
-468.083	48.807	397.791	601.628	81.121	401.361
-468.078	48.826	397.755	601.623	81.129	401.346
-468.068	48.832	397.762	601.623	81.129	401.346
-468.068	48.825	397.763	601.632	81.137	401.338
-468.069	48.839	397.763	601.623	81.143	401.345
-468.059	48.859	397.768	601.628	81.127	401.362
-468.060	48.859	397.769	601.628	81.141	401.361
-468.056	48.855	397.750	601.622	81.149	401.344
-468.044	48.863	397.741	601.632	81.144	401.336
-468.047	48.861	397.759	601.632	81.144	401.336
-468.031	48.893	397.728	601.637	81.142	401.352
-468.035	48.890	397.748	601.636	81.149	401.351
-468.033	48.906	397.729	601.636	81.149	401.351
-468.033	48.912	397.729	601.644	81.157	401.341
-468.028	48.895	397.758	601.640	81.152	401.326
-468.026	48.925	397.738	601.644	81.157	401.341
-468.035	48.926	397.730	601.639	81.152	401.324
-468.022	48.935	397.719	601.649	81.155	401.357
-468.027	48.932	397.739	601.645	81.144	401.341
-468.014	48.941	397.728	601.649	81.147	401.317
-468.019	48.924	397.750	601.654	81.145	401.332
-468.018	48.931	397.749	601.654	81.145	401.332
-468.015	48.954	397.728	601.653	81.138	401.332
-468.018	48.945	397.747	601.655	81.138	401.334
-468.005	48.954	397.735	601.649	81.140	401.318
-468.001	48.963	397.716	601.654	81.131	401.333
-468.002	48.970	397.716	601.654	81.131	401.333
-468.002	48.976	397.715	601.654	81.131	401.333
-468.002	48.970	397.716	601.655	81.124	401.334
-467.993	48.976	397.725	601.654	81.131	401.333
-468.002	48.983	397.716	601.655	81.124	401.334
-467.993	48.976	397.725	601.660	81.123	401.350
-467.983	48.975	397.732	601.646	81.123	401.343
-467.993	48.989	397.723	601.655	81.124	401.334
-467.980	48.991	397.713	601.659	81.123	401.348
-467.980	48.998	397.712	601.659	81.129	401.349
-467.990	48.999	397.705	601.651	81.115	401.358
-467.977	49.014	397.693	601.660	81.116	401.349
-467.983	48.989	397.731	601.659	81.123	401.348
-467.969	48.991	397.720	601.651	81.115	401.358
-467.970	48.984	397.721	601.647	81.103	401.343
