NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-477.115	48.814	397.764	601.691	81.219	401.380
-477.124	48.815	397.756	601.692	81.212	401.381
-477.114	48.821	397.763	601.691	81.206	401.380
-477.117	48.825	397.780	601.692	81.212	401.381
-477.118	48.818	397.781	601.691	81.206	401.380
-477.113	48.814	397.762	601.691	81.206	401.380
-477.103	48.800	397.771	601.696	81.211	401.395
-477.114	48.807	397.763	601.692	81.212	401.381
-477.104	48.814	397.771	601.690	81.213	401.379
-477.115	48.807	397.765	601.706	81.205	401.388
-477.104	48.807	397.772	601.691	81.219	401.380
-477.105	48.807	397.773	601.691	81.206	401.380
-477.095	48.800	397.781	601.691	81.206	401.380
-477.101	48.803	397.754	601.686	81.208	401.365
-477.102	48.816	397.753	601.686	81.208	401.365
-477.102	48.796	397.755	601.686	81.208	401.365
-477.102	48.816	397.753	601.685	81.215	401.363
-477.103	48.816	397.755	601.686	81.208	401.365
-477.102	48.823	397.752	601.687	81.201	401.366
-477.101	48.830	397.751	601.696	81.209	401.358
-477.092	48.829	397.760	601.686	81.208	401.365
-477.093	48.836	397.760	601.681	81.216	401.349
-477.093	48.836	397.760	601.687	81.207	401.367
-477.092	48.836	397.759	601.696	81.209	401.358
-477.093	48.836	397.760	601.681	81.216	401.349
-477.094	48.843	397.761	601.681	81.216	401.349
-477.083	48.835	397.768	601.682	81.209	401.351
-477.093	48.849	397.759	601.681	81.216	401.349
-477.093	48.849	397.759	601.677	81.225	401.334
-477.084	48.849	397.768	601.682	81.223	401.350
-477.080	48.845	397.749	601.682	81.223	401.350
-477.084	48.829	397.769	601.686	81.228	401.365
-477.069	48.838	397.757	601.682	81.223	401.350
-477.073	48.835	397.775	601.682	81.223	401.350
-477.069	48.838	397.757	601.687	81.221	401.366
-477.060	48.837	397.765	601.687	81.221	401.366
-477.060	48.830	397.766	601.673	81.221	401.359
-477.063	48.842	397.782	601.687	81.221	401.366
-477.063	48.835	397.783	601.687	81.221	401.366
-477.056	48.820	397.748	601.687	81.221	401.366
-477.059	48.838	397.763	601.687	81.227	401.367
-477.058	48.824	397.764	601.687	81.221	401.366
-477.050	48.830	397.773	601.687	81.221	401.366
-477.049	48.810	397.774	601.687	81.227	401.367
-477.049	48.817	397.773	601.688	81.214	401.367
-477.052	48.828	397.790	601.688	81.214	401.367
-477.030	48.816	397.790	601.688	81.220	401.368
-477.039	48.810	397.781	601.693	81.212	401.383
-477.038	48.803	397.781	601.687	81.221	401.366
-477.030	48.802	397.790	601.688	81.220	401.368
-477.036	48.805	397.764	601.688	81.214	401.367
-477.030	48.802	397.790	601.692	81.219	401.382
-477.026	48.805	397.772	601.693	81.212	401.383
-477.029	48.809	397.789	601.693	81.212	401.383
-477.040	48.802	397.784	601.692	81.219	401.382
-477.037	48.812	397.764	601.691	81.226	401.381
-477.037	48.812	397.764	601.692	81.212	401.381
-477.040	48.816	397.782	601.691	81.226	401.381
-477.038	48.819	397.764	601.695	81.222	401.355
-477.036	48.819	397.763	601.700	81.221	401.371
-477.028	48.818	397.773	601.700	81.221	401.371
-477.028	48.818	397.773	601.686	81.221	401.364
-477.037	48.821	397.749	601.691	81.219	401.380
-477.039	48.811	397.767	601.694	81.223	401.353
-477.038	48.812	397.765	601.694	81.216	401.354
-477.040	48.818	397.767	601.694	81.216	401.354
-477.027	48.813	397.758	601.694	81.223	401.353
-477.036	48.814	397.748	601.694	81.209	401.354
-477.047	48.835	397.740	601.694	81.223	401.353
-477.041	48.838	397.767	601.702	81.218	401.343
-477.038	48.820	397.750	601.693	81.216	401.352
-477.035	48.816	397.733	601.693	81.216	401.352
-477.047	48.828	397.741	601.688	81.218	401.336
-477.035	48.836	397.731	601.693	81.216	401.352
-477.028	48.827	397.758	601.693	81.210	401.351
-477.028	48.827	397.758	601.688	81.218	401.336
-477.025	48.816	397.741	601.688	81.218	401.336
-477.025	48.822	397.740	601.684	81.215	401.361
-477.029	48.826	397.759	601.683	81.222	401.360
-477.016	48.822	397.748	601.692	81.223	401.351
-477.005	48.822	397.755	601.692	81.223	401.351
-477.007	48.835	397.756	601.684	81.228	401.361
-477.019	48.847	397.764	601.684	81.222	401.362
-477.006	48.821	397.756	601.690	81.220	401.378
-477.010	48.839	397.773	601.684	81.228	401.361
-477.000	48.825	397.782	601.684	81.228	401.361
-476.995	48.828	397.762	601.685	81.228	401.363
-476.989	48.839	397.787	601.689	81.233	401.378
-476.986	48.834	397.769	601.684	81.235	401.362
-476.989	48.839	397.787	601.690	81.233	401.380
-476.976	48.848	397.776	601.690	81.233	401.380
-476.975	48.834	397.776	601.691	81.226	401.381
-476.979	48.845	397.794	601.691	81.226	401.381
-476.976	48.841	397.777	601.690	81.239	401.380
-476.968	48.845	397.801	601.690	81.233	401.380
-476.968	48.845	397.801	601.691	81.232	401.382
-476.965	48.847	397.782	601.690	81.239	401.380
-476.968	48.845	397.801	601.691	81.232	401.382
-476.957	48.846	397.792	601.690	81.239	401.380
-476.957	48.853	397.791	601.695	81.237	401.396
-476.957	48.860	397.792	601.689	81.246	401.379
-476.957	48.860	397.792	601.689	81.246	401.379
-476.954	48.869	397.772	601.690	81.239	401.380
-476.948	48.866	397.799	601.690	81.239	401.380
-476.957	48.860	397.792	601.699	81.240	401.372
-476.946	48.862	397.783	601.689	81.246	401.379
-476.945	48.855	397.782	601.699	81.240	401.372
-476.955	48.876	397.772	601.684	81.248	401.363
-476.945	48.875	397.781	601.693	81.249	401.354
-476.949	48.866	397.800	601.694	81.242	401.356
-476.946	48.869	397.782	601.694	81.242	401.356
-476.946	48.869	397.782	601.694	81.242	401.356
-476.955	48.876	397.772	601.694	81.242	401.356
-476.956	48.876	397.774	601.690	81.237	401.341
-476.952	48.878	397.755	601.690	81.237	401.341
-476.955	48.869	397.773	601.699	81.239	401.332
-476.946	48.869	397.782	601.695	81.236	401.357
-476.935	48.868	397.789	601.695	81.236	401.357
-476.941	48.872	397.762	601.690	81.237	401.341
-476.942	48.878	397.762	601.690	81.237	401.341
-476.932	48.871	397.770	601.691	81.231	401.342
-476.934	48.862	397.788	601.690	81.237	401.341
-476.935	48.868	397.789	601.691	81.237	401.343
-476.931	48.864	397.769	601.691	81.231	401.342
