NO_OF_FRAMES	2296
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:34:42.082	122763.46564130
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.693	81.289	401.355	-473.409	48.975	397.830
601.699	81.280	401.372	-473.430	49.003	397.813
601.699	81.280	401.372	-473.430	49.003	397.813
601.695	81.277	401.397	-473.430	49.003	397.813
601.698	81.287	401.371	-473.431	49.010	397.814
601.699	81.273	401.374	-473.430	48.989	397.815
601.698	81.287	401.371	-473.440	49.003	397.807
601.698	81.274	401.371	-473.440	48.997	397.806
601.697	81.281	401.370	-473.432	49.016	397.814
601.689	81.272	401.380	-473.440	48.990	397.807
601.692	81.283	401.354	-473.440	49.010	397.805
601.698	81.274	401.371	-473.440	48.990	397.807
601.692	81.283	401.354	-473.440	49.003	397.807
601.693	81.276	401.356	-473.449	48.997	397.798
601.693	81.276	401.356	-473.446	49.000	397.779
601.698	81.274	401.371	-473.450	48.984	397.800
601.698	81.274	401.371	-473.449	48.997	397.798
601.693	81.276	401.356	-473.440	49.003	397.807
601.693	81.276	401.356	-473.440	48.997	397.806
601.693	81.276	401.356	-473.450	49.004	397.798
601.698	81.274	401.371	-473.450	49.004	397.798
601.693	81.289	401.355	-473.449	48.997	397.798
601.703	81.284	401.347	-473.450	49.004	397.798
601.708	81.282	401.363	-473.441	48.997	397.808
601.699	81.280	401.372	-473.450	49.011	397.797
601.693	81.276	401.356	-473.440	48.997	397.806
601.693	81.289	401.355	-473.440	49.010	397.805
601.693	81.282	401.356	-473.439	49.004	397.805
601.698	81.287	401.371	-473.440	48.990	397.807
601.698	81.287	401.371	-473.440	49.010	397.805
601.698	81.287	401.371	-473.440	49.003	397.807
601.697	81.294	401.370	-473.431	49.010	397.814
601.698	81.287	401.371	-473.431	49.010	397.814
601.697	81.294	401.370	-473.431	49.003	397.815
601.697	81.288	401.369	-473.431	49.003	397.815
601.697	81.281	401.370	-473.431	49.003	397.815
601.705	81.296	401.359	-473.431	49.003	397.815
601.706	81.289	401.360	-473.434	49.000	397.833
601.697	81.281	401.370	-473.418	49.005	397.805
601.697	81.281	401.370	-473.435	48.993	397.834
601.697	81.288	401.369	-473.422	48.996	397.824
601.697	81.288	401.369	-473.422	48.996	397.824
601.703	81.279	401.386	-473.431	49.003	397.815
601.697	81.281	401.370	-473.422	48.996	397.824
601.697	81.281	401.370	-473.422	48.996	397.824
601.702	81.286	401.385	-473.422	48.996	397.824
601.703	81.279	401.386	-473.432	49.003	397.816
601.697	81.281	401.370	-473.432	49.003	397.816
601.703	81.279	401.386	-473.423	49.002	397.825
601.697	81.288	401.369	-473.432	49.010	397.815
601.711	81.293	401.377	-473.419	49.025	397.803
601.698	81.287	401.371	-473.421	49.009	397.822
601.702	81.286	401.385	-473.422	49.016	397.823
601.698	81.287	401.371	-473.419	49.025	397.803
601.698	81.287	401.371	-473.419	49.018	397.804
601.703	81.285	401.387	-473.423	49.002	397.825
601.698	81.287	401.371	-473.419	49.018	397.804
601.697	81.294	401.370	-473.429	49.032	397.795
601.697	81.281	401.370	-473.423	49.022	397.823
601.697	81.281	401.370	-473.429	49.019	397.797
601.698	81.287	401.371	-473.422	49.016	397.823
601.697	81.281	401.370	-473.422	49.016	397.823
601.697	81.288	401.369	-473.428	49.019	397.796
601.697	81.281	401.370	-473.419	49.012	397.805
601.698	81.274	401.371	-473.419	49.012	397.805
601.697	81.281	401.370	-473.419	49.018	397.804
601.698	81.274	401.371	-473.418	49.012	397.804
601.698	81.267	401.371	-473.428	49.012	397.797
601.698	81.274	401.371	-473.432	49.010	397.815
601.697	81.281	401.370	-473.429	49.026	397.796
601.697	81.281	401.370	-473.428	49.012	397.797
601.697	81.281	401.370	-473.419	49.012	397.805
601.692	81.283	401.354	-473.429	49.005	397.798
601.698	81.274	401.371	-473.422	49.009	397.824
601.697	81.288	401.369	-473.422	49.009	397.824
601.701	81.291	401.344	-473.418	49.005	397.805
601.691	81.290	401.353	-473.427	49.012	397.795
601.697	81.281	401.370	-473.418	48.998	397.806
601.697	81.281	401.370	-473.421	49.009	397.822
601.698	81.287	401.371	-473.421	49.009	397.822
601.698	81.287	401.371	-473.418	49.005	397.805
601.698	81.287	401.371	-473.421	49.009	397.822
601.698	81.287	401.371	-473.421	48.996	397.823
601.699	81.287	401.373	-473.420	49.010	397.821
601.698	81.287	401.371	-473.420	49.003	397.822
601.705	81.278	401.390	-473.417	49.005	397.803
601.699	81.287	401.373	-473.411	49.009	397.829
601.699	81.287	401.373	-473.419	49.003	397.820
601.699	81.287	401.373	-473.416	49.006	397.802
601.714	81.279	401.381	-473.419	49.003	397.820
601.700	81.280	401.374	-473.410	49.002	397.828
601.700	81.280	401.374	-473.418	48.983	397.820
601.705	81.271	401.390	-473.410	48.996	397.829
601.705	81.271	401.390	-473.405	48.992	397.809
601.700	81.280	401.374	-473.409	48.996	397.828
601.705	81.271	401.390	-473.415	48.992	397.802
601.704	81.278	401.388	-473.419	49.003	397.820
601.699	81.280	401.372	-473.410	48.996	397.829
601.699	81.280	401.372	-473.407	48.991	397.812
601.697	81.281	401.370	-473.410	48.989	397.831
601.698	81.274	401.371	-473.410	48.989	397.831
601.698	81.274	401.371	-473.407	48.991	397.812
601.697	81.281	401.370	-473.412	48.988	397.832
601.697	81.281	401.370	-473.408	49.005	397.811
601.697	81.281	401.370	-473.408	48.998	397.812
601.698	81.274	401.371	-473.417	49.005	397.803
601.697	81.281	401.370	-473.421	48.989	397.824
601.697	81.281	401.370	-473.418	49.012	397.804
601.692	81.283	401.354	-473.408	49.005	397.811
601.698	81.267	401.371	-473.412	49.002	397.831
601.707	81.275	401.363	-473.418	49.019	397.802
601.693	81.269	401.355	-473.417	48.998	397.804
601.693	81.269	401.355	-473.421	48.996	397.823
601.693	81.269	401.355	-473.417	49.005	397.803
601.693	81.269	401.355	-473.409	49.011	397.812
601.706	81.275	401.360	-473.409	49.004	397.813
601.692	81.276	401.353	-473.421	49.009	397.822
601.697	81.281	401.370	-473.419	49.018	397.804
601.692	81.276	401.353	-473.419	49.018	397.804
601.697	81.274	401.369	-473.412	49.009	397.830
601.697	81.274	401.369	-473.419	49.018	397.804
601.701	81.277	401.345	-473.409	49.004	397.813
601.692	81.276	401.353	-473.409	49.011	397.812
601.696	81.281	401.368	-473.413	49.008	397.832
601.706	81.275	401.360	-473.410	49.011	397.813
601.697	81.274	401.369	-473.399	49.004	397.821
601.696	81.281	401.368	-473.410	49.004	397.814
601.696	81.281	401.368	-473.409	49.004	397.813
601.696	81.281	401.368	-473.399	49.011	397.820
601.697	81.281	401.370	-473.409	49.018	397.812
601.698	81.287	401.371	-473.412	49.002	397.831
601.697	81.281	401.370	-473.409	49.011	397.812
601.697	81.294	401.370	-473.409	49.011	397.812
601.698	81.287	401.371	-473.409	49.011	397.812
601.698	81.287	401.371	-473.399	49.011	397.820
