NO_OF_FRAMES	3504
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:25:10.388	122191.77284320
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-460.919	49.389	397.750	601.704	81.281	401.318
-460.930	49.410	397.741	601.709	81.279	401.334
-460.938	49.404	397.732	601.704	81.281	401.318
-460.929	49.403	397.741	601.704	81.281	401.318
-460.928	49.403	397.739	601.705	81.274	401.319
-460.928	49.390	397.741	601.704	81.281	401.318
-460.938	49.390	397.733	601.705	81.274	401.319
-460.937	49.397	397.732	601.705	81.274	401.319
-460.937	49.404	397.731	601.711	81.265	401.336
-460.927	49.390	397.740	601.705	81.281	401.320
-460.927	49.397	397.739	601.710	81.272	401.335
-460.940	49.395	397.749	601.710	81.279	401.336
-460.927	49.390	397.740	601.711	81.265	401.336
-460.927	49.390	397.740	601.705	81.281	401.320
-460.918	49.389	397.748	601.710	81.279	401.336
-460.927	49.397	397.739	601.711	81.265	401.336
-460.928	49.390	397.741	601.710	81.272	401.335
-460.918	49.389	397.748	601.705	81.274	401.319
-460.925	49.399	397.722	601.719	81.280	401.327
-460.932	49.394	397.759	601.719	81.273	401.326
-460.928	49.403	397.739	601.709	81.279	401.334
-460.928	49.396	397.740	601.710	81.272	401.335
-460.915	49.392	397.731	601.709	81.286	401.334
-460.932	49.394	397.759	601.719	81.280	401.327
-460.929	49.396	397.742	601.718	81.287	401.325
-460.928	49.396	397.740	601.710	81.279	401.336
-460.929	49.410	397.740	601.704	81.288	401.318
-460.920	49.402	397.749	601.719	81.280	401.327
-460.928	49.403	397.739	601.710	81.285	401.336
-460.928	49.403	397.739	601.704	81.294	401.319
-460.928	49.396	397.740	601.705	81.281	401.320
-460.931	49.401	397.758	601.720	81.280	401.329
-460.918	49.396	397.747	601.715	81.282	401.313
-460.921	49.400	397.765	601.705	81.281	401.320
-460.927	49.410	397.738	601.707	81.267	401.322
-460.931	49.401	397.758	601.706	81.274	401.321
-460.929	49.410	397.740	601.706	81.274	401.321
-460.938	49.410	397.731	601.706	81.274	401.321
-460.942	49.408	397.750	601.706	81.274	401.321
-460.940	49.408	397.748	601.706	81.280	401.322
-460.938	49.417	397.730	601.697	81.272	401.330
-460.932	49.414	397.757	601.705	81.281	401.320
-460.941	49.415	397.749	601.706	81.274	401.321
-460.941	49.415	397.749	601.706	81.274	401.321
-460.932	49.407	397.758	601.705	81.281	401.320
-460.941	49.415	397.749	601.704	81.288	401.318
-460.938	49.417	397.730	601.705	81.281	401.320
-460.933	49.414	397.758	601.705	81.281	401.320
-460.920	49.416	397.748	601.695	81.286	401.327
-460.933	49.414	397.758	601.705	81.281	401.320
-460.933	49.421	397.757	601.700	81.284	401.343
-460.933	49.414	397.758	601.704	81.288	401.318
-460.930	49.417	397.740	601.704	81.288	401.318
-460.930	49.417	397.740	601.705	81.281	401.320
-460.932	49.407	397.758	601.705	81.281	401.320
-460.932	49.407	397.758	601.705	81.281	401.320
-460.937	49.404	397.731	601.710	81.272	401.335
-460.933	49.400	397.759	601.706	81.267	401.320
-460.930	49.394	397.757	601.711	81.265	401.336
-460.933	49.400	397.759	601.711	81.272	401.337
-460.927	49.390	397.740	601.711	81.272	401.337
-460.927	49.390	397.740	601.711	81.265	401.336
-460.926	49.383	397.739	601.711	81.265	401.336
-460.920	49.380	397.766	601.712	81.258	401.337
-460.917	49.389	397.747	601.711	81.265	401.336
-460.919	49.380	397.765	601.711	81.265	401.336
-460.917	49.389	397.747	601.711	81.272	401.337
-460.930	49.387	397.757	601.711	81.272	401.337
-460.927	49.397	397.739	601.711	81.265	401.336
-460.931	49.387	397.758	601.716	81.270	401.353
-460.927	49.397	397.739	601.710	81.272	401.335
-460.917	49.383	397.748	601.711	81.272	401.337
-460.917	49.383	397.748	601.711	81.272	401.337
-460.920	49.387	397.765	601.720	81.273	401.328
-460.917	49.389	397.747	601.711	81.272	401.337
-460.917	49.383	397.748	601.711	81.272	401.337
-460.917	49.389	397.747	601.720	81.273	401.328
-460.927	49.397	397.739	601.720	81.273	401.328
-460.927	49.397	397.739	601.719	81.280	401.327
-460.917	49.383	397.748	601.710	81.279	401.336
-460.927	49.397	397.739	601.706	81.274	401.321
-460.920	49.387	397.765	601.706	81.274	401.321
-460.926	49.383	397.739	601.706	81.274	401.321
-460.930	49.381	397.758	601.711	81.272	401.337
-460.927	49.376	397.740	601.707	81.267	401.322
-460.917	49.389	397.747	601.711	81.272	401.337
-460.927	49.397	397.739	601.711	81.272	401.337
-460.917	49.389	397.747	601.711	81.272	401.337
-460.928	49.390	397.741	601.711	81.272	401.337
-460.918	49.382	397.749	601.710	81.279	401.336
-460.928	49.396	397.740	601.710	81.279	401.336
-460.928	49.396	397.740	601.705	81.281	401.320
-460.932	49.407	397.758	601.696	81.279	401.329
-460.929	49.403	397.741	601.709	81.286	401.334
-460.933	49.407	397.759	601.695	81.286	401.327
-460.930	49.417	397.740	601.699	81.291	401.342
-460.930	49.417	397.740	601.704	81.288	401.318
-460.933	49.414	397.758	601.704	81.288	401.318
-460.920	49.423	397.747	601.700	81.298	401.343
-460.920	49.416	397.748	601.710	81.292	401.335
-460.933	49.421	397.757	601.700	81.284	401.343
-460.932	49.414	397.757	601.709	81.286	401.334
-460.933	49.414	397.758	601.701	81.284	401.345
-460.933	49.421	397.757	601.710	81.292	401.335
-460.928	49.424	397.738	601.705	81.287	401.320
-460.932	49.414	397.757	601.700	81.284	401.343
-460.928	49.417	397.739	601.701	81.277	401.345
-460.919	49.416	397.747	601.710	81.279	401.336
-460.929	49.423	397.739	601.710	81.279	401.336
-460.919	49.409	397.748	601.710	81.279	401.336
-460.933	49.414	397.758	601.701	81.277	401.345
-460.930	49.417	397.740	601.710	81.279	401.336
-460.933	49.421	397.757	601.710	81.279	401.336
-460.919	49.409	397.748	601.710	81.279	401.336
-460.930	49.430	397.739	601.705	81.274	401.319
-460.930	49.423	397.740	601.709	81.286	401.334
-460.930	49.423	397.740	601.710	81.272	401.335
-460.921	49.423	397.749	601.709	81.279	401.334
-460.931	49.416	397.741	601.709	81.279	401.334
-460.931	49.416	397.741	601.709	81.279	401.334
-460.921	49.416	397.750	601.709	81.279	401.334
-460.921	49.416	397.750	601.707	81.293	401.331
-460.931	49.416	397.741	601.709	81.279	401.334
-460.931	49.416	397.741	601.718	81.280	401.325
-460.930	49.417	397.740	601.709	81.279	401.334
-460.920	49.416	397.748	601.704	81.281	401.318
-460.920	49.402	397.749	601.710	81.272	401.335
-460.920	49.402	397.749	601.709	81.279	401.334
