NO_OF_FRAMES	2494
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:44:45.077	123366.46013170
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.711	81.351	401.348	-481.023	48.902	397.800
601.718	81.348	401.366	-481.049	48.906	397.806
601.708	81.347	401.375	-481.058	48.914	397.796
601.703	81.349	401.359	-481.048	48.900	397.805
601.709	81.354	401.376	-481.045	48.916	397.786
601.712	81.350	401.350	-481.048	48.913	397.805
601.708	81.347	401.375	-481.048	48.920	397.804
601.703	81.362	401.359	-481.048	48.913	397.805
601.704	81.349	401.361	-481.048	48.920	397.804
601.704	81.356	401.360	-481.057	48.927	397.794
601.704	81.356	401.360	-481.048	48.927	397.802
601.703	81.349	401.359	-481.051	48.924	397.821
601.710	81.347	401.377	-481.057	48.920	397.795
601.703	81.349	401.359	-481.048	48.913	397.805
601.704	81.349	401.361	-481.047	48.913	397.803
601.709	81.354	401.376	-481.048	48.920	397.804
601.709	81.354	401.376	-481.047	48.913	397.803
601.703	81.349	401.359	-481.049	48.920	397.805
601.703	81.349	401.359	-481.047	48.913	397.803
601.708	81.354	401.374	-481.058	48.907	397.797
601.708	81.347	401.375	-481.048	48.913	397.805
601.703	81.342	401.358	-481.049	48.899	397.807
601.702	81.349	401.357	-481.049	48.906	397.806
601.708	81.354	401.374	-481.045	48.916	397.786
601.708	81.341	401.374	-481.049	48.906	397.806
601.707	81.347	401.373	-481.049	48.899	397.807
601.708	81.354	401.374	-481.048	48.913	397.805
601.707	81.347	401.373	-481.048	48.900	397.805
601.703	81.349	401.359	-481.048	48.913	397.805
601.702	81.356	401.358	-481.048	48.920	397.804
601.708	81.347	401.375	-481.047	48.906	397.804
601.708	81.360	401.375	-481.051	48.904	397.823
601.709	81.354	401.376	-481.047	48.913	397.803
601.710	81.347	401.377	-481.044	48.909	397.785
601.711	81.346	401.379	-481.047	48.913	397.803
601.710	81.353	401.378	-481.047	48.913	397.803
601.710	81.353	401.378	-481.047	48.900	397.804
601.711	81.346	401.379	-481.046	48.907	397.803
601.711	81.346	401.379	-481.046	48.907	397.803
601.711	81.346	401.379	-481.046	48.907	397.803
601.704	81.349	401.361	-481.046	48.920	397.801
