NO_OF_FRAMES	2112
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:46:35.335	123476.71816670
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.718	81.087	401.378	-468.717	48.912	397.732
601.717	81.093	401.377	-468.728	48.933	397.724
601.717	81.093	401.377	-468.731	48.897	397.745
601.712	81.095	401.361	-468.744	48.901	397.755
601.717	81.093	401.377	-468.734	48.894	397.763
601.718	81.093	401.379	-468.747	48.885	397.774
601.717	81.100	401.378	-468.734	48.867	397.766
601.717	81.100	401.378	-468.733	48.881	397.764
601.716	81.107	401.377	-468.733	48.874	397.763
601.708	81.099	401.387	-468.737	48.858	397.784
601.717	81.113	401.377	-468.742	48.847	397.758
601.708	81.112	401.386	-468.736	48.837	397.786
601.717	81.120	401.378	-468.731	48.847	397.765
601.707	81.125	401.386	-468.732	48.860	397.764
601.703	81.127	401.372	-468.722	48.826	397.774
601.717	81.140	401.379	-468.718	48.829	397.756
601.716	81.147	401.377	-468.718	48.842	397.754
601.716	81.147	401.377	-468.712	48.839	397.781
601.715	81.160	401.377	-468.722	48.826	397.774
601.706	81.159	401.386	-468.707	48.835	397.762
601.711	81.170	401.401	-468.708	48.842	397.762
601.714	81.187	401.376	-468.715	48.810	397.802
601.714	81.193	401.377	-468.712	48.832	397.782
601.708	81.202	401.360	-468.712	48.826	397.783
601.705	81.192	401.386	-468.702	48.818	397.791
601.714	81.200	401.378	-468.698	48.828	397.771
601.704	81.206	401.385	-468.703	48.832	397.790
601.715	81.206	401.379	-468.688	48.828	397.778
601.714	81.213	401.377	-468.689	48.827	397.779
601.710	81.210	401.402	-468.689	48.827	397.779
601.704	81.219	401.385	-468.679	48.834	397.787
601.714	81.213	401.377	-468.690	48.834	397.780
601.709	81.217	401.401	-468.691	48.841	397.780
601.713	81.220	401.376	-468.691	48.841	397.780
601.712	81.227	401.375	-468.689	48.856	397.763
601.712	81.227	401.375	-468.682	48.840	397.790
601.703	81.219	401.383	-468.689	48.856	397.763
601.697	81.221	401.367	-468.679	48.863	397.770
601.707	81.229	401.359	-468.677	48.865	397.753
601.698	81.228	401.368	-468.667	48.878	397.759
601.707	81.229	401.359	-468.681	48.869	397.772
601.703	81.212	401.384	-468.669	48.885	397.761
601.707	81.223	401.358	-468.669	48.892	397.760
601.712	81.207	401.374	-468.670	48.898	397.760
601.707	81.216	401.359	-468.666	48.908	397.741
601.698	81.208	401.367	-468.659	48.898	397.767
601.699	81.201	401.369	-468.660	48.904	397.768
601.708	81.202	401.360	-468.656	48.914	397.748
601.704	81.199	401.385	-468.645	48.921	397.754
601.710	81.188	401.362	-468.642	48.923	397.736
601.706	81.179	401.386	-468.642	48.923	397.736
601.715	81.180	401.377	-468.642	48.930	397.735
601.716	81.173	401.379	-468.632	48.936	397.742
601.715	81.167	401.378	-468.628	48.939	397.723
601.707	81.152	401.387	-468.618	48.939	397.730
601.707	81.158	401.388	-468.618	48.932	397.731
601.717	81.146	401.380	-468.608	48.945	397.738
601.708	81.138	401.388	-468.618	48.939	397.730
601.708	81.125	401.388	-468.606	48.954	397.719
601.713	81.123	401.404	-468.609	48.945	397.739
601.708	81.125	401.388	-468.609	48.945	397.739
601.722	81.118	401.394	-468.599	48.931	397.748
601.713	81.117	401.403	-468.595	48.947	397.727
601.709	81.105	401.388	-468.599	48.938	397.747
601.709	81.105	401.388	-468.596	48.940	397.728
601.709	81.092	401.388	-468.590	48.951	397.755
601.714	81.090	401.404	-468.587	48.946	397.737
601.718	81.093	401.379	-468.587	48.946	397.737
601.714	81.090	401.404	-468.588	48.953	397.738
601.709	81.092	401.388	-468.589	48.959	397.738
601.709	81.092	401.388	-468.589	48.959	397.738
601.709	81.092	401.388	-468.585	48.969	397.718
601.709	81.085	401.387	-468.589	48.980	397.736
601.718	81.087	401.378	-468.591	48.973	397.739
601.718	81.093	401.379	-468.598	48.980	397.728
601.713	81.088	401.362	-468.586	48.982	397.718
601.718	81.093	401.379	-468.590	48.993	397.736
601.718	81.093	401.379	-468.581	48.986	397.745
601.713	81.095	401.363	-468.587	49.003	397.718
601.718	81.093	401.379	-468.587	49.003	397.718
601.713	81.095	401.363	-468.587	49.003	397.718
601.713	81.108	401.363	-468.588	49.009	397.718
601.719	81.100	401.380	-468.575	49.018	397.707
601.713	81.115	401.364	-468.575	49.025	397.706
601.713	81.115	401.364	-468.578	49.022	397.724
601.717	81.120	401.378	-468.569	49.022	397.733
601.714	81.116	401.405	-468.565	49.024	397.714
601.717	81.126	401.379	-468.565	49.031	397.713
601.718	81.119	401.380	-468.566	49.031	397.715
601.717	81.126	401.379	-468.566	49.038	397.714
601.722	81.138	401.395	-468.566	49.038	397.714
601.721	81.151	401.394	-468.553	49.060	397.702
601.707	81.145	401.386	-468.566	49.038	397.714
601.714	81.173	401.377	-468.557	49.051	397.721
601.716	81.173	401.379	-468.548	49.043	397.731
601.710	81.164	401.401	-468.557	49.037	397.723
601.719	81.185	401.392	-468.559	49.050	397.724
601.715	81.180	401.377	-468.559	49.050	397.724
601.715	81.187	401.378	-468.555	49.053	397.704
