NO_OF_FRAMES	3673
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:43:17.925	123279.30851500
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Mixed	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.707	81.172	401.388	-461.257	49.187	397.757
601.702	81.180	401.372	-461.254	49.190	397.739
601.707	81.178	401.388	-461.265	49.196	397.732
601.702	81.180	401.372	-461.262	49.199	397.714
601.702	81.180	401.372	-461.256	49.203	397.739
601.701	81.187	401.371	-461.266	49.210	397.731
601.700	81.194	401.370	-461.257	49.203	397.741
601.695	81.196	401.354	-461.253	49.212	397.721
601.695	81.203	401.355	-461.257	49.216	397.740
601.700	81.201	401.371	-461.248	49.222	397.748
601.700	81.201	401.371	-461.254	49.219	397.722
601.700	81.194	401.370	-461.258	49.236	397.739
601.699	81.207	401.369	-461.258	49.230	397.740
601.699	81.207	401.369	-461.255	49.225	397.722
601.700	81.201	401.371	-461.256	49.232	397.723
601.700	81.201	401.371	-461.256	49.245	397.722
601.699	81.207	401.369	-461.251	49.235	397.750
601.699	81.207	401.369	-461.240	49.242	397.756
601.700	81.214	401.370	-461.241	49.249	397.756
601.700	81.214	401.370	-461.237	49.251	397.738
601.700	81.214	401.370	-461.237	49.271	397.736
601.700	81.214	401.370	-461.240	49.271	397.739
601.708	81.222	401.360	-461.239	49.278	397.738
601.699	81.227	401.370	-461.239	49.278	397.738
601.698	81.234	401.369	-461.241	49.278	397.739
601.708	81.229	401.361	-461.244	49.282	397.757
601.707	81.236	401.360	-461.232	49.291	397.747
601.707	81.236	401.360	-461.234	49.288	397.764
601.712	81.234	401.376	-461.230	49.298	397.745
601.712	81.234	401.376	-461.232	49.304	397.747
601.712	81.234	401.376	-461.222	49.297	397.755
601.712	81.234	401.376	-461.232	49.304	397.747
601.712	81.234	401.376	-461.223	49.303	397.755
601.712	81.240	401.376	-461.226	49.294	397.773
601.721	81.241	401.368	-461.226	49.308	397.772
601.712	81.240	401.376	-461.223	49.303	397.755
601.721	81.241	401.368	-461.214	49.303	397.763
601.717	81.232	401.392	-461.223	49.310	397.754
601.717	81.232	401.392	-461.219	49.306	397.737
601.727	81.239	401.384	-461.216	49.294	397.781
601.711	81.241	401.374	-461.212	49.290	397.762
601.712	81.234	401.376	-461.222	49.290	397.756
601.712	81.234	401.376	-461.211	49.283	397.762
601.727	81.226	401.384	-461.211	49.269	397.764
601.718	81.225	401.393	-461.207	49.286	397.744
601.713	81.220	401.376	-461.210	49.256	397.763
601.714	81.213	401.377	-461.210	49.256	397.763
601.718	81.218	401.392	-461.209	49.263	397.762
601.714	81.213	401.377	-461.206	49.245	397.745
601.714	81.213	401.377	-461.194	49.238	397.752
601.719	81.205	401.392	-461.204	49.245	397.744
