NO_OF_FRAMES	5108
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:42:15.111	123216.49412230
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.689	81.363	401.352	-488.335	48.670	397.854
601.689	81.356	401.353	-488.333	48.693	397.833
601.694	81.361	401.368	-488.333	48.707	397.833
601.689	81.370	401.352	-488.332	48.700	397.832
601.689	81.356	401.353	-488.320	48.702	397.822
601.690	81.363	401.354	-488.323	48.700	397.840
601.689	81.370	401.352	-488.326	48.697	397.859
601.690	81.363	401.354	-488.312	48.700	397.847
601.695	81.361	401.370	-488.310	48.702	397.830
601.695	81.361	401.370	-488.303	48.699	397.855
601.696	81.360	401.372	-488.303	48.706	397.854
601.704	81.369	401.362	-488.303	48.712	397.855
601.696	81.360	401.372	-488.294	48.712	397.863
601.705	81.362	401.363	-488.300	48.715	397.836
601.699	81.371	401.346	-488.291	48.715	397.844
601.696	81.360	401.372	-488.281	48.714	397.852
601.690	81.369	401.355	-488.277	48.710	397.833
601.696	81.360	401.372	-488.271	48.707	397.860
601.696	81.354	401.371	-488.271	48.700	397.861
601.696	81.354	401.371	-488.272	48.714	397.861
601.696	81.360	401.372	-488.271	48.700	397.861
601.695	81.361	401.370	-488.262	48.700	397.869
601.696	81.354	401.371	-488.259	48.716	397.850
601.695	81.347	401.370	-488.259	48.702	397.851
601.695	81.347	401.370	-488.256	48.705	397.832
601.696	81.340	401.371	-488.259	48.702	397.851
601.695	81.341	401.369	-488.256	48.705	397.832
601.696	81.334	401.371	-488.249	48.702	397.859
601.682	81.328	401.363	-488.250	48.695	397.860
601.687	81.333	401.379	-488.246	48.704	397.840
601.696	81.334	401.371	-488.246	48.691	397.841
601.691	81.329	401.354	-488.246	48.691	397.841
601.697	81.321	401.371	-488.232	48.686	397.830
601.691	81.329	401.354	-488.235	48.684	397.848
601.690	81.323	401.353	-488.235	48.684	397.848
601.691	81.329	401.354	-488.232	48.686	397.830
