NO_OF_FRAMES	2017
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:20:20.078	121901.46275720
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.626	81.108	401.357	-456.155	49.227	397.745
601.627	81.101	401.358	-456.179	49.232	397.748
601.613	81.102	401.351	-456.183	49.229	397.767
601.627	81.101	401.358	-456.183	49.229	397.767
601.626	81.108	401.357	-456.192	49.216	397.759
601.627	81.101	401.358	-456.182	49.209	397.767
601.627	81.095	401.358	-456.178	49.212	397.748
601.623	81.090	401.343	-456.181	49.203	397.766
601.628	81.088	401.359	-456.177	49.198	397.749
601.628	81.088	401.359	-456.167	49.198	397.756
601.627	81.095	401.358	-456.180	49.196	397.766
601.628	81.088	401.359	-456.176	49.185	397.748
601.628	81.088	401.359	-456.165	49.178	397.756
601.628	81.088	401.359	-456.176	49.185	397.748
601.629	81.081	401.360	-456.175	49.172	397.749
601.623	81.076	401.343	-456.178	49.176	397.766
601.638	81.076	401.350	-456.178	49.162	397.767
601.629	81.074	401.359	-456.164	49.158	397.756
601.638	81.076	401.350	-456.173	49.158	397.748
601.628	81.068	401.358	-456.163	49.151	397.756
601.643	81.074	401.366	-456.161	49.154	397.739
601.637	81.069	401.350	-456.164	49.151	397.757
601.638	81.062	401.351	-456.170	49.161	397.730
601.638	81.062	401.351	-456.173	49.145	397.749
601.624	81.063	401.344	-456.174	49.152	397.749
601.629	81.061	401.360	-456.174	49.152	397.749
601.638	81.062	401.351	-456.169	49.148	397.730
601.638	81.062	401.351	-456.164	49.151	397.757
601.633	81.064	401.335	-456.161	49.154	397.739
601.629	81.061	401.360	-456.160	49.147	397.739
601.638	81.062	401.351	-456.159	49.154	397.738
601.639	81.055	401.352	-456.159	49.154	397.738
601.633	81.071	401.336	-456.159	49.154	397.738
601.633	81.071	401.336	-456.160	49.160	397.738
601.633	81.071	401.336	-456.150	49.153	397.746
601.638	81.069	401.352	-456.154	49.164	397.764
601.640	81.068	401.354	-456.151	49.160	397.746
601.638	81.069	401.352	-456.141	49.166	397.754
601.630	81.074	401.361	-456.150	49.174	397.744
601.629	81.067	401.361	-456.141	49.173	397.753
601.630	81.074	401.361	-456.142	49.173	397.754
601.638	81.082	401.351	-456.142	49.166	397.755
601.639	81.075	401.352	-456.143	49.186	397.754
601.638	81.089	401.352	-456.133	49.186	397.762
601.629	81.081	401.360	-456.134	49.192	397.762
601.629	81.087	401.361	-456.120	49.195	397.751
601.637	81.089	401.350	-456.134	49.199	397.761
601.623	81.090	401.343	-456.125	49.205	397.770
601.633	81.092	401.376	-456.125	49.205	397.770
601.628	81.094	401.360	-456.125	49.205	397.770
601.628	81.094	401.360	-456.126	49.212	397.771
601.624	81.089	401.345	-456.124	49.221	397.753
601.628	81.094	401.360	-456.125	49.221	397.754
601.628	81.088	401.359	-456.121	49.230	397.735
601.627	81.101	401.358	-456.115	49.234	397.760
601.627	81.101	401.358	-456.116	49.234	397.762
601.622	81.103	401.342	-456.116	49.241	397.761
601.628	81.094	401.360	-456.116	49.241	397.761
601.623	81.103	401.345	-456.116	49.234	397.762
601.622	81.103	401.342	-456.103	49.256	397.750
601.622	81.110	401.343	-456.107	49.254	397.769
601.622	81.110	401.343	-456.108	49.253	397.770
601.622	81.110	401.343	-456.105	49.270	397.751
601.628	81.108	401.359	-456.109	49.267	397.770
601.622	81.110	401.343	-456.106	49.283	397.751
601.622	81.110	401.343	-456.102	49.286	397.732
601.622	81.110	401.343	-456.102	49.292	397.731
601.627	81.121	401.359	-456.092	49.292	397.740
601.622	81.123	401.343	-456.098	49.303	397.759
601.622	81.116	401.342	-456.106	49.290	397.751
601.622	81.123	401.343	-456.094	49.305	397.740
601.622	81.123	401.343	-456.094	49.305	397.740
601.630	81.131	401.333	-456.085	49.298	397.750
601.635	81.129	401.349	-456.093	49.299	397.740
601.635	81.129	401.349	-456.085	49.305	397.749
601.634	81.136	401.347	-456.084	49.298	397.748
601.635	81.129	401.349	-456.085	49.305	397.749
601.634	81.136	401.347	-456.086	49.311	397.749
