NO_OF_FRAMES	3336
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:32:58.456	122659.83998600
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.699	81.344	401.344	-479.999	48.891	397.779
601.695	81.341	401.369	-480.023	48.889	397.782
601.696	81.334	401.371	-480.030	48.892	397.757
601.690	81.343	401.353	-480.031	48.899	397.757
601.690	81.349	401.354	-480.031	48.892	397.758
601.705	81.329	401.361	-480.044	48.910	397.767
601.699	81.324	401.344	-480.040	48.899	397.749
601.700	81.331	401.345	-480.040	48.899	397.749
601.703	81.327	401.319	-480.040	48.886	397.750
601.695	81.333	401.329	-480.037	48.902	397.730
601.703	81.321	401.318	-480.050	48.886	397.743
601.693	81.326	401.326	-480.040	48.886	397.750
601.700	81.311	401.344	-480.037	48.882	397.732
601.699	81.318	401.343	-480.050	48.886	397.743
601.701	81.310	401.347	-480.038	48.881	397.733
601.695	81.313	401.329	-480.037	48.909	397.729
601.703	81.327	401.319	-480.046	48.875	397.725
601.704	81.314	401.320	-480.046	48.882	397.724
601.704	81.314	401.320	-480.040	48.879	397.751
601.709	81.312	401.336	-480.039	48.893	397.749
601.700	81.317	401.345	-480.039	48.879	397.749
601.705	81.315	401.361	-480.025	48.882	397.737
601.706	81.308	401.363	-480.029	48.879	397.757
601.712	81.306	401.378	-480.028	48.865	397.756
601.706	81.308	401.363	-480.017	48.865	397.763
601.711	81.320	401.378	-480.021	48.869	397.782
601.712	81.319	401.380	-480.008	48.865	397.772
601.711	81.326	401.379	-480.007	48.858	397.771
601.712	81.313	401.379	-480.007	48.858	397.771
601.716	81.324	401.395	-480.017	48.865	397.763
601.717	81.317	401.396	-480.007	48.858	397.771
601.716	81.324	401.395	-480.007	48.858	397.771
601.716	81.318	401.394	-480.001	48.868	397.797
601.717	81.311	401.395	-480.000	48.848	397.798
601.717	81.324	401.397	-480.000	48.862	397.797
601.717	81.317	401.396	-480.007	48.865	397.770
601.703	81.318	401.389	-480.001	48.875	397.796
601.711	81.333	401.380	-480.012	48.882	397.790
601.711	81.333	401.380	-480.019	48.878	397.764
601.710	81.333	401.378	-480.009	48.864	397.773
601.712	81.319	401.380	-480.008	48.878	397.771
601.702	81.325	401.388	-480.022	48.883	397.782
601.710	81.327	401.377	-480.019	48.885	397.763
601.696	81.327	401.370	-480.019	48.892	397.764
601.696	81.334	401.371	-480.030	48.892	397.757
601.705	81.329	401.361	-480.031	48.899	397.757
601.705	81.329	401.361	-480.040	48.899	397.749
601.699	81.338	401.344	-480.031	48.892	397.758
601.700	81.331	401.345	-480.041	48.913	397.748
601.700	81.331	401.345	-480.041	48.906	397.749
601.694	81.340	401.328	-480.040	48.899	397.749
601.695	81.333	401.329	-480.051	48.899	397.742
601.700	81.331	401.345	-480.041	48.906	397.749
601.694	81.340	401.328	-480.051	48.913	397.742
601.695	81.333	401.329	-480.050	48.913	397.740
601.695	81.333	401.329	-480.050	48.920	397.739
601.695	81.339	401.330	-480.041	48.913	397.748
601.695	81.333	401.329	-480.052	48.911	397.757
601.695	81.333	401.329	-480.040	48.906	397.748
601.696	81.332	401.331	-480.049	48.913	397.739
601.701	81.330	401.347	-480.040	48.906	397.748
601.700	81.337	401.346	-480.037	48.909	397.729
601.701	81.337	401.348	-480.039	48.899	397.747
601.700	81.337	401.346	-480.039	48.906	397.746
601.706	81.328	401.363	-480.030	48.899	397.756
601.706	81.335	401.364	-480.028	48.886	397.755
601.711	81.333	401.380	-480.029	48.885	397.756
601.711	81.333	401.380	-480.030	48.899	397.756
601.711	81.333	401.380	-480.030	48.899	397.756
601.696	81.340	401.371	-480.019	48.892	397.764
601.710	81.333	401.378	-480.020	48.885	397.765
601.710	81.340	401.378	-480.019	48.885	397.763
601.709	81.340	401.376	-480.009	48.871	397.772
601.709	81.334	401.376	-480.010	48.891	397.772
601.701	81.332	401.387	-480.010	48.871	397.773
601.701	81.338	401.387	-480.019	48.878	397.764
601.701	81.338	401.387	-480.013	48.889	397.790
601.701	81.332	401.387	-480.023	48.889	397.782
601.701	81.338	401.387	-480.019	48.885	397.763
601.712	81.339	401.381	-480.013	48.889	397.790
601.711	81.333	401.380	-480.022	48.876	397.783
601.706	81.335	401.364	-480.018	48.879	397.763
601.711	81.333	401.380	-480.018	48.865	397.765
601.707	81.328	401.365	-480.017	48.865	397.763
