c_b_x,c_b_y,ang_b
0.294476597682627,-0.178224047760287,2.72315488458077
0.294470190910557,-0.178200187952075,2.72387795013919
0.294467311916967,-0.178200537445533,2.72381417515553
0.294465737106732,-0.178204216656552,2.72327255067372
0.294459736343823,-0.178201695059372,2.72348014225892
0.294463325524192,-0.178201222754344,2.72356110806504
0.294458057864851,-0.178199087788115,2.72351389538838
0.294458676204276,-0.178196544463763,2.72366349092728
0.294459116950861,-0.178196234472465,2.72333070807578
0.294466036467931,-0.178191915365588,2.72432557573497
0.294464375451435,-0.178193564886586,2.72403639595300
0.294462624140593,-0.178186475099644,2.72412675629965
0.294464452581028,-0.178186625730048,2.72393955405691
0.294464381861975,-0.178186595994786,2.72403528791399
0.294461521150281,-0.178181357729800,2.72391645902190
0.294456058668215,-0.178180466481044,2.72413086527361
0.294464787410524,-0.178170695965002,2.72466583278895
0.294461477011612,-0.178172817042623,2.72462094338739
0.294461516263630,-0.178189071905448,2.72388837578605
0.294462999991349,-0.178176897591647,2.72439153900852
0.294467097306921,-0.178186917855883,2.72438353020273
0.294468163456374,-0.178178141308998,2.72423684096348
0.294468156135110,-0.178190822229934,2.72428805984727
0.294479506819841,-0.178183358783213,2.72458232120510
0.294480469080887,-0.178195707599919,2.72433275162369
0.294475947882398,-0.178202263881790,2.72368359602862
0.294475822494684,-0.178199918920298,2.72373412151816
0.294477004229034,-0.178204422754726,2.72361738236093
0.294475055563606,-0.178202955843067,2.72395449763314
0.294477410388996,-0.178197984472880,2.72419032854135
0.294479234834858,-0.178205360710896,2.72393292910606
0.294486565171437,-0.178200727533717,2.72404629149820
0.294475964981761,-0.178199373934142,2.72379714985954
0.294484959666200,-0.178192933859698,2.72432391999030
0.294484056485055,-0.178199671852558,2.72369128459306
0.294478132198258,-0.178193492439468,2.72406536642036
0.294478268453078,-0.178194154632904,2.72404178001743
0.294479715935804,-0.178183304090637,2.72449230705107
0.294485018446653,-0.178185535130741,2.72439716647816
0.294473601493276,-0.178176146270298,2.72405673827299
0.294469012976562,-0.178177028097621,2.72429527300749
0.294472930702158,-0.178176739295397,2.72480555379544
0.294475276449804,-0.178173165791502,2.72455561275263
0.294471497908456,-0.178169687889610,2.72427338572692
0.294463765511085,-0.178181370610922,2.72422944073062
0.294467309466436,-0.178179185693219,2.72437671551149
0.294465406396102,-0.178186038399469,2.72397916963624
0.294464173362010,-0.178180047349935,2.72419260938566
0.294467161083429,-0.178194564050760,2.72367554330620
0.294473270856021,-0.178182853219144,2.72457173608181
0.294467922487658,-0.178189922628166,2.72424085842005
0.294471321455513,-0.178188540457706,2.72435411574796
0.294469437965841,-0.178198513159432,2.72389129808458
0.294465372161040,-0.178199464844447,2.72345236780010
0.294466597719999,-0.178205425189488,2.72324019569449
0.294479426191611,-0.178211309849326,2.72372053125659
0.294481786892387,-0.178204879202503,2.72401356457058
0.294471147272444,-0.178202192526623,2.72368109499154
0.294473843718124,-0.178200961674803,2.72377622623256
0.294473097624225,-0.178202267924280,2.72398634766002
0.294474587438880,-0.178202554905694,2.72388367423584
0.294476938779887,-0.178204551324165,2.72358942678763
0.294475137258198,-0.178201001411787,2.72369717712402
0.294464346708325,-0.178198734574121,2.72348053895065
0.294476188793486,-0.178195496904943,2.72412686542375
0.294458548259853,-0.178189160621424,2.72359793868760
0.294464191302118,-0.178186960795552,2.72356911875474
0.294464537385233,-0.178184801880965,2.72401252859279
0.294464173362010,-0.178180047349935,2.72419260938566
0.294466201147131,-0.178174251747536,2.72445512357415
0.294468213166047,-0.178175702239491,2.72480353334165
0.294469416848592,-0.178159587884898,2.72463336456954
0.294466680793273,-0.178159041873296,2.72515590835783
0.294468790645668,-0.178163316362048,2.72482931310327
0.294465639968547,-0.178162612349329,2.72472314641522
0.294471375939071,-0.178155004084084,2.72520040301926
0.294476773672693,-0.178163340306713,2.72496700292220
0.294474007194289,-0.178156309876874,2.72492016526779
0.294470369820919,-0.178159746648397,2.72464369512098
0.294468870768531,-0.178162572913149,2.72423221406508
0.294470187013066,-0.178158089631658,2.72470552505923
0.294475666000750,-0.178158404848635,2.72504557926494
0.294472848672718,-0.178163064630024,2.72477460389302
0.294476534028566,-0.178164767878010,2.72426237255322
0.294489033191912,-0.178174594129885,2.72440803319822
0.294473934065613,-0.178183979910839,2.72397324663260
0.294477976089885,-0.178177722273039,2.72397525203026
0.294479720106329,-0.178181843659645,2.72454964295479
0.294481803976819,-0.178187912531275,2.72395598165060
0.294475960622676,-0.178191833885372,2.72373985749238
0.294478658807118,-0.178206201361668,2.72318476665574
0.294478579404273,-0.178194665844328,2.72398795576038
0.294482270827144,-0.178195943484536,2.72396288646721
0.294480504195713,-0.178201311976541,2.72423090541108
0.294473928053707,-0.178195737858483,2.72388242862355
0.294480745576811,-0.178199830099150,2.72419334097426
0.294474116144249,-0.178196651894396,2.72384987443525
0.294475733147182,-0.178194034315916,2.72374544458233
0.294467162729822,-0.178193817147222,2.72370484132552
0.294467116363379,-0.178198822922201,2.72350788436227
0.294471926365170,-0.178187767317937,2.72419929486330
0.294470379192460,-0.178176655786480,2.72443345865019
0.294481232757753,-0.178184958579371,2.72419677293921
0.294464436446932,-0.178173661985433,2.72466052262679
0.294468334512718,-0.178177088543450,2.72402812981068
0.294466406507250,-0.178173014865387,2.72450719864186
0.294469476300123,-0.178175205143325,2.72392606913124
0.294467486239329,-0.178179490026578,2.72423285133727
0.294467105568789,-0.178179385225899,2.72426954961232
0.294469742997049,-0.178172814037534,2.72457304273845
0.294464274370606,-0.178175811683998,2.72412550735972
