NO_OF_FRAMES	1854
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:55:23.744	131205.09199600
DATA_INCLUDED	3D
MARKER_NAMES	b1	b2	b3
TRAJECTORY_TYPES	Measured	Measured	Measured
b1 X	b1 Y	b1 Z	b2 X	b2 Y	b2 Z	b3 X	b3 Y	b3 Z	
273.151	-168.738	-14.344	293.333	-201.461	-14.368	310.312	-161.074	-13.969
273.160	-168.721	-14.330	293.332	-201.438	-14.368	310.312	-161.066	-13.970
273.151	-168.731	-14.344	293.331	-201.439	-14.367	310.312	-161.066	-13.970
273.160	-168.730	-14.329	293.331	-201.439	-14.367	310.312	-161.074	-13.969
273.151	-168.724	-14.343	293.332	-201.446	-14.367	310.312	-161.066	-13.970
273.160	-168.730	-14.329	293.340	-201.430	-14.352	310.321	-161.073	-13.954
273.160	-168.730	-14.329	293.332	-201.446	-14.367	310.321	-161.065	-13.955
273.160	-168.723	-14.328	293.341	-201.437	-14.352	310.321	-161.064	-13.955
273.160	-168.721	-14.330	293.331	-201.439	-14.367	310.312	-161.064	-13.937
273.160	-168.714	-14.329	293.341	-201.445	-14.353	310.321	-161.073	-13.954
273.160	-168.721	-14.330	293.341	-201.437	-14.352	310.321	-161.072	-13.955
273.161	-168.728	-14.330	293.332	-201.438	-14.368	310.312	-161.057	-13.970
273.161	-168.727	-14.330	293.342	-201.443	-14.354	310.321	-161.073	-13.954
273.170	-168.718	-14.316	293.342	-201.444	-14.354	310.321	-161.072	-13.955
273.170	-168.726	-14.315	293.334	-201.465	-14.337	310.330	-161.062	-13.941
273.161	-168.727	-14.330	293.335	-201.473	-14.338	310.321	-161.080	-13.955
273.161	-168.719	-14.331	293.336	-201.471	-14.339	310.321	-161.064	-13.956
273.161	-168.737	-14.329	293.336	-201.471	-14.339	310.321	-161.072	-13.955
273.161	-168.727	-14.330	293.328	-201.485	-14.323	310.330	-161.073	-13.971
273.161	-168.728	-14.330	293.327	-201.485	-14.322	310.330	-161.088	-13.971
273.161	-168.727	-14.330	293.328	-201.508	-14.322	310.330	-161.088	-13.971
273.161	-168.736	-14.329	293.327	-201.488	-14.354	310.330	-161.088	-13.971
273.161	-168.735	-14.330	293.319	-201.493	-14.339	310.330	-161.080	-13.972
273.152	-168.744	-14.344	293.327	-201.504	-14.353	310.330	-161.080	-13.972
273.160	-168.736	-14.362	293.319	-201.486	-14.338	310.321	-161.089	-13.986
273.160	-168.745	-14.361	293.319	-201.494	-14.337	310.321	-161.081	-13.987
273.160	-168.736	-14.362	293.310	-201.487	-14.353	310.321	-161.089	-13.986
273.160	-168.730	-14.361	293.327	-201.488	-14.354	310.321	-161.081	-13.987
273.152	-168.729	-14.345	293.327	-201.488	-14.354	310.321	-161.089	-13.986
273.152	-168.729	-14.345	293.327	-201.495	-14.354	310.312	-161.083	-14.001
273.160	-168.737	-14.362	293.326	-201.473	-14.354	310.312	-161.082	-14.002
273.152	-168.729	-14.345	293.334	-201.467	-14.370	310.312	-161.066	-14.002
273.160	-168.730	-14.361	293.327	-201.480	-14.354	310.321	-161.065	-13.987
273.142	-168.730	-14.359	293.326	-201.466	-14.353	310.321	-161.074	-13.986
273.152	-168.720	-14.345	293.324	-201.469	-14.384	310.321	-161.074	-13.986
273.152	-168.729	-14.345	293.325	-201.458	-14.353	310.312	-161.073	-13.970
273.161	-168.719	-14.331	293.334	-201.460	-14.369	310.312	-161.073	-13.970
273.152	-168.728	-14.345	293.316	-201.468	-14.367	310.312	-161.073	-13.970
273.152	-168.729	-14.345	293.334	-201.468	-14.369	310.303	-161.066	-13.986
273.152	-168.729	-14.345	293.333	-201.461	-14.368	310.321	-161.074	-13.986
273.161	-168.727	-14.330	293.332	-201.453	-14.368	310.312	-161.089	-13.969
273.161	-168.736	-14.329	293.332	-201.461	-14.367	310.321	-161.082	-13.986
273.161	-168.736	-14.329	293.333	-201.469	-14.368	310.321	-161.090	-13.985
273.161	-168.745	-14.329	293.332	-201.454	-14.368	310.312	-161.089	-13.969
273.161	-168.745	-14.329	293.333	-201.469	-14.368	310.321	-161.088	-13.954
273.161	-168.754	-14.328	293.341	-201.460	-14.352	310.321	-161.113	-13.952
273.161	-168.745	-14.329	293.325	-201.474	-14.352	310.321	-161.096	-13.953
273.161	-168.745	-14.329	293.335	-201.480	-14.337	310.321	-161.104	-13.953
273.161	-168.745	-14.329	293.325	-201.475	-14.352	310.330	-161.089	-13.970
273.161	-168.745	-14.329	293.343	-201.474	-14.353	310.321	-161.096	-13.953
273.161	-168.746	-14.329	293.343	-201.474	-14.353	310.322	-161.095	-13.954
273.161	-168.745	-14.329	293.325	-201.481	-14.352	310.321	-161.096	-13.953
273.161	-168.745	-14.329	293.326	-201.481	-14.353	310.321	-161.088	-13.954
273.170	-168.744	-14.314	293.336	-201.495	-14.338	310.321	-161.096	-13.953
273.161	-168.737	-14.329	293.335	-201.479	-14.338	310.321	-161.088	-13.954
273.161	-168.737	-14.329	293.327	-201.485	-14.322	310.321	-161.080	-13.955
273.161	-168.736	-14.329	293.335	-201.487	-14.338	310.321	-161.080	-13.955
273.170	-168.735	-14.315	293.335	-201.479	-14.338	310.321	-161.080	-13.955
273.170	-168.744	-14.314	293.335	-201.487	-14.338	310.321	-161.088	-13.954
273.161	-168.728	-14.330	293.334	-201.473	-14.337	310.321	-161.072	-13.955
273.161	-168.737	-14.329	293.334	-201.465	-14.337	310.321	-161.088	-13.954
273.161	-168.737	-14.329	293.335	-201.481	-14.337	310.321	-161.080	-13.955
273.160	-168.730	-14.329	293.334	-201.465	-14.337	310.312	-161.081	-13.969
273.151	-168.737	-14.344	293.335	-201.481	-14.337	310.321	-161.081	-13.954
273.151	-168.738	-14.344	293.325	-201.475	-14.352	310.321	-161.080	-13.955
273.151	-168.737	-14.344	293.335	-201.473	-14.338	310.321	-161.088	-13.954
273.160	-168.730	-14.361	293.317	-201.482	-14.368	310.312	-161.073	-13.970
273.161	-168.736	-14.329	293.325	-201.481	-14.352	310.312	-161.089	-13.969
273.152	-168.720	-14.345	293.318	-201.487	-14.337	310.312	-161.065	-13.971
273.152	-168.729	-14.345	293.326	-201.473	-14.354	310.321	-161.081	-13.987
273.152	-168.729	-14.345	293.310	-201.496	-14.352	310.321	-161.074	-13.986
273.152	-168.729	-14.345	293.310	-201.496	-14.352	310.304	-161.081	-13.985
273.160	-168.730	-14.361	293.302	-201.501	-14.336	310.304	-161.081	-13.985
273.152	-168.727	-14.346	293.319	-201.501	-14.338	310.312	-161.074	-14.002
273.160	-168.728	-14.362	293.310	-201.495	-14.353	310.313	-161.073	-14.003
273.152	-168.726	-14.346	293.319	-201.493	-14.339	310.304	-161.073	-13.986
273.170	-168.735	-14.347	293.310	-201.495	-14.353	310.322	-161.080	-13.988
273.160	-168.728	-14.363	293.311	-201.507	-14.322	310.313	-161.072	-13.971
273.152	-168.718	-14.346	293.319	-201.493	-14.339	310.304	-161.073	-13.986
273.160	-168.728	-14.362	293.319	-201.493	-14.339	310.321	-161.073	-13.987
273.170	-168.719	-14.349	293.320	-201.485	-14.339	310.321	-161.048	-13.989
273.160	-168.728	-14.362	293.319	-201.486	-14.338	310.321	-161.073	-13.987
273.170	-168.726	-14.348	293.310	-201.487	-14.353	310.330	-161.080	-13.972
273.161	-168.719	-14.331	293.319	-201.477	-14.339	310.321	-161.057	-13.988
273.160	-168.721	-14.362	293.326	-201.473	-14.354	310.321	-161.065	-13.987
273.169	-168.720	-14.347	293.326	-201.473	-14.354	310.321	-161.057	-13.988
273.161	-168.719	-14.331	293.334	-201.468	-14.369	310.330	-161.064	-13.972
273.161	-168.727	-14.330	293.334	-201.467	-14.369	310.321	-161.064	-13.956
273.161	-168.728	-14.330	293.334	-201.460	-14.369	310.330	-161.073	-13.971
273.160	-168.721	-14.330	293.342	-201.443	-14.354	310.330	-161.081	-13.971
273.169	-168.722	-14.346	293.333	-201.445	-14.369	310.312	-161.066	-13.970
273.161	-168.727	-14.330	293.332	-201.454	-14.368	310.330	-161.081	-13.971
273.160	-168.730	-14.329	293.331	-201.439	-14.367	310.312	-161.066	-13.970
273.151	-168.716	-14.344	293.332	-201.438	-14.368	310.312	-161.073	-13.970
273.169	-168.730	-14.346	293.331	-201.432	-14.367	310.312	-161.066	-13.970
273.169	-168.722	-14.346	293.339	-201.425	-14.384	310.312	-161.066	-13.970
273.178	-168.721	-14.332	293.341	-201.429	-14.353	310.321	-161.056	-13.955
273.170	-168.711	-14.316	293.349	-201.424	-14.369	310.321	-161.065	-13.955
273.160	-168.721	-14.330	293.341	-201.438	-14.352	310.329	-161.057	-13.972
273.170	-168.720	-14.315	293.341	-201.438	-14.352	310.321	-161.065	-13.955
273.160	-168.713	-14.330	293.350	-201.443	-14.338	310.321	-161.056	-13.955
273.169	-168.713	-14.315	293.340	-201.430	-14.352	310.320	-161.057	-13.954
273.170	-168.720	-14.315	293.341	-201.437	-14.352	310.321	-161.056	-13.955
273.170	-168.720	-14.315	293.334	-201.458	-14.337	310.330	-161.072	-13.939
273.170	-168.711	-14.316	293.358	-201.438	-14.354	310.321	-161.065	-13.955
273.170	-168.711	-14.316	293.351	-201.442	-14.339	310.321	-161.056	-13.955
273.170	-168.720	-14.315	293.342	-201.460	-14.353	310.321	-161.048	-13.956
273.170	-168.727	-14.315	293.342	-201.459	-14.354	310.322	-161.054	-13.924
273.170	-168.726	-14.315	293.335	-201.464	-14.339	310.321	-161.064	-13.956
273.161	-168.718	-14.331	293.326	-201.471	-14.321	310.321	-161.072	-13.955
273.161	-168.728	-14.330	293.326	-201.466	-14.353	310.321	-161.064	-13.956
273.161	-168.727	-14.330	293.318	-201.479	-14.338	310.312	-161.073	-13.970
273.152	-168.729	-14.345	293.318	-201.486	-14.337	310.313	-161.072	-13.971
273.152	-168.729	-14.345	293.319	-201.494	-14.337	310.312	-161.073	-13.970
273.152	-168.729	-14.345	293.319	-201.486	-14.338	310.303	-161.066	-13.986
273.152	-168.729	-14.345	293.319	-201.494	-14.337	310.304	-161.073	-13.986
273.142	-168.721	-14.360	293.302	-201.510	-14.335	310.304	-161.081	-13.985
273.142	-168.730	-14.359	293.302	-201.510	-14.335	310.312	-161.090	-14.001
273.142	-168.721	-14.360	293.302	-201.509	-14.337	310.312	-161.082	-14.002
273.143	-168.745	-14.359	293.302	-201.509	-14.337	310.303	-161.089	-13.985
273.143	-168.737	-14.360	293.302	-201.502	-14.336	310.303	-161.089	-13.985
273.142	-168.730	-14.359	293.302	-201.518	-14.336	310.294	-161.082	-14.000
273.143	-168.745	-14.359	293.302	-201.509	-14.337	310.312	-161.082	-14.002
273.151	-168.738	-14.376	293.293	-201.503	-14.352	310.312	-161.090	-14.001
273.143	-168.743	-14.360	293.302	-201.509	-14.337	310.312	-161.089	-14.002
273.152	-168.736	-14.345	293.311	-201.510	-14.353	310.304	-161.096	-13.985
273.143	-168.737	-14.360	293.303	-201.517	-14.337	310.312	-161.089	-14.002
273.152	-168.735	-14.345	293.311	-201.510	-14.353	310.313	-161.087	-13.971
273.143	-168.728	-14.360	293.311	-201.507	-14.322	310.312	-161.082	-14.002
273.160	-168.736	-14.362	293.319	-201.501	-14.338	310.322	-161.088	-13.987
273.152	-168.736	-14.345	293.311	-201.500	-14.321	310.313	-161.064	-13.972
273.170	-168.735	-14.347	293.320	-201.500	-14.339	310.321	-161.073	-13.987
273.152	-168.720	-14.345	293.329	-201.492	-14.324	310.321	-161.064	-13.988
273.161	-168.719	-14.331	293.329	-201.491	-14.324	310.321	-161.073	-13.987
273.160	-168.728	-14.362	293.319	-201.493	-14.339	310.321	-161.065	-13.987
273.160	-168.737	-14.362	293.319	-201.501	-14.338	310.321	-161.089	-13.986
273.161	-168.737	-14.329	293.328	-201.492	-14.323	310.321	-161.074	-13.986
273.161	-168.736	-14.329	293.328	-201.492	-14.323	310.330	-161.073	-13.971
273.170	-168.735	-14.315	293.336	-201.494	-14.339	310.330	-161.096	-13.971
273.161	-168.737	-14.329	293.343	-201.474	-14.353	310.330	-161.081	-13.971
273.161	-168.737	-14.329	293.335	-201.487	-14.338	310.339	-161.096	-13.955
273.161	-168.737	-14.329	293.343	-201.481	-14.354	310.330	-161.097	-13.970
273.170	-168.735	-14.315	293.342	-201.482	-14.353	310.330	-161.081	-13.971
273.170	-168.744	-14.314	293.343	-201.474	-14.353	310.339	-161.096	-13.955
273.170	-168.744	-14.314	293.342	-201.467	-14.353	310.330	-161.089	-13.970
273.161	-168.745	-14.329	293.343	-201.475	-14.353	310.338	-161.089	-13.954
273.169	-168.740	-14.345	293.341	-201.460	-14.352	310.339	-161.096	-13.955
273.170	-168.744	-14.314	293.350	-201.467	-14.337	310.330	-161.096	-13.937
273.169	-168.731	-14.346	293.341	-201.460	-14.352	310.330	-161.089	-13.970
273.169	-168.740	-14.345	293.351	-201.459	-14.338	310.329	-161.090	-13.969
273.169	-168.737	-14.314	293.341	-201.460	-14.352	310.338	-161.089	-13.954
273.169	-168.740	-14.345	293.341	-201.460	-14.352	310.329	-161.090	-13.969
273.169	-168.731	-14.346	293.341	-201.460	-14.352	310.329	-161.082	-13.970
273.169	-168.731	-14.346	293.340	-201.448	-14.384	310.329	-161.082	-13.970
273.160	-168.730	-14.329	293.342	-201.468	-14.353	310.321	-161.074	-13.986
273.169	-168.740	-14.345	293.341	-201.455	-14.384	310.329	-161.082	-13.970
273.161	-168.737	-14.329	293.351	-201.460	-14.370	310.329	-161.074	-13.970
273.160	-168.730	-14.329	293.343	-201.474	-14.353	310.329	-161.082	-13.970
273.159	-168.732	-14.360	293.334	-201.468	-14.369	310.321	-161.082	-13.986
273.151	-168.731	-14.344	293.334	-201.468	-14.369	310.330	-161.081	-13.971
273.161	-168.737	-14.329	293.325	-201.467	-14.352	310.321	-161.082	-13.986
273.159	-168.732	-14.360	293.326	-201.481	-14.353	310.321	-161.090	-13.985
273.161	-168.736	-14.329	293.325	-201.466	-14.352	310.312	-161.089	-13.969
273.151	-168.738	-14.344	293.325	-201.482	-14.352	310.321	-161.082	-13.986
273.151	-168.737	-14.344	293.334	-201.483	-14.368	310.312	-161.081	-13.969
273.151	-168.738	-14.344	293.334	-201.475	-14.369	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.316	-201.475	-14.367	310.321	-161.082	-13.986
273.151	-168.738	-14.344	293.327	-201.488	-14.354	310.312	-161.073	-13.970
273.152	-168.729	-14.345	293.319	-201.494	-14.337	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.309	-201.488	-14.352	310.312	-161.082	-14.002
273.152	-168.720	-14.345	293.319	-201.493	-14.339	310.303	-161.066	-13.986
273.160	-168.729	-14.361	293.310	-201.503	-14.353	310.313	-161.080	-13.970
273.151	-168.722	-14.377	293.310	-201.495	-14.353	310.312	-161.065	-14.003
273.152	-168.736	-14.345	293.319	-201.493	-14.339	310.321	-161.073	-13.987
273.151	-168.714	-14.377	293.319	-201.493	-14.339	310.321	-161.064	-13.988
273.152	-168.727	-14.346	293.320	-201.500	-14.339	310.312	-161.065	-14.003
273.152	-168.727	-14.346	293.320	-201.492	-14.340	310.312	-161.057	-14.004
273.142	-168.721	-14.360	293.311	-201.492	-14.322	310.313	-161.079	-13.971
273.152	-168.718	-14.346	293.311	-201.494	-14.354	310.312	-161.057	-14.004
273.160	-168.721	-14.362	293.320	-201.509	-14.338	310.322	-161.080	-13.988
273.143	-168.719	-14.361	293.320	-201.509	-14.338	310.330	-161.080	-13.972
273.152	-168.735	-14.345	293.320	-201.500	-14.339	310.312	-161.082	-14.002
273.152	-168.729	-14.345	293.311	-201.507	-14.322	310.321	-161.064	-13.988
273.160	-168.736	-14.362	293.312	-201.498	-14.323	310.321	-161.089	-13.986
273.152	-168.735	-14.345	293.328	-201.508	-14.322	310.321	-161.089	-13.986
273.160	-168.745	-14.361	293.319	-201.509	-14.337	310.321	-161.089	-13.986
273.151	-168.737	-14.344	293.319	-201.494	-14.337	310.321	-161.097	-13.986
273.152	-168.729	-14.345	293.319	-201.494	-14.337	310.330	-161.104	-13.970
273.151	-168.737	-14.344	293.319	-201.501	-14.338	310.321	-161.097	-13.986
273.151	-168.738	-14.344	293.327	-201.495	-14.354	310.321	-161.082	-13.986
273.161	-168.736	-14.329	293.327	-201.488	-14.354	310.330	-161.097	-13.970
273.161	-168.737	-14.329	293.336	-201.495	-14.338	310.321	-161.090	-13.985
273.161	-168.746	-14.329	293.319	-201.502	-14.337	310.330	-161.081	-13.971
273.169	-168.729	-14.347	293.336	-201.493	-14.339	310.330	-161.089	-13.970
273.161	-168.745	-14.329	293.327	-201.487	-14.321	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.335	-201.488	-14.338	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.345	-201.485	-14.324	310.330	-161.089	-13.970
273.170	-168.735	-14.315	293.345	-201.493	-14.323	310.330	-161.073	-13.971
273.161	-168.728	-14.330	293.335	-201.480	-14.338	310.330	-161.064	-13.972
273.170	-168.726	-14.315	293.335	-201.479	-14.338	310.330	-161.073	-13.971
273.169	-168.720	-14.347	293.343	-201.473	-14.354	310.330	-161.064	-13.972
273.170	-168.727	-14.315	293.336	-201.486	-14.339	310.330	-161.073	-13.972
273.161	-168.719	-14.331	293.335	-201.472	-14.339	310.330	-161.064	-13.972
273.161	-168.728	-14.330	293.335	-201.472	-14.338	310.330	-161.064	-13.972
273.161	-168.727	-14.330	293.335	-201.479	-14.338	310.330	-161.081	-13.971
273.161	-168.727	-14.330	293.327	-201.494	-14.322	310.321	-161.074	-13.986
273.161	-168.727	-14.330	293.318	-201.487	-14.337	310.321	-161.065	-13.987
273.169	-168.737	-14.346	293.318	-201.486	-14.337	310.330	-161.081	-13.971
273.152	-168.729	-14.345	293.326	-201.481	-14.353	310.321	-161.065	-13.987
273.160	-168.730	-14.361	293.326	-201.481	-14.353	310.321	-161.082	-13.986
273.160	-168.730	-14.361	293.327	-201.488	-14.354	310.321	-161.082	-13.986
273.160	-168.739	-14.361	293.317	-201.474	-14.369	310.312	-161.075	-14.001
273.142	-168.739	-14.359	293.317	-201.482	-14.368	310.320	-161.067	-14.018
273.142	-168.730	-14.359	293.317	-201.474	-14.369	310.311	-161.091	-14.000
273.151	-168.731	-14.376	293.317	-201.474	-14.369	310.312	-161.075	-14.001
273.150	-168.740	-14.375	293.316	-201.475	-14.367	310.312	-161.083	-14.001
273.142	-168.730	-14.359	293.317	-201.482	-14.368	310.312	-161.083	-14.001
273.152	-168.729	-14.345	293.317	-201.474	-14.369	310.312	-161.083	-14.001
273.142	-168.730	-14.359	293.317	-201.482	-14.368	310.312	-161.075	-14.001
