NO_OF_FRAMES	2011
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:53:36.434	131097.78224180
DATA_INCLUDED	3D
MARKER_NAMES	a1	a2	a3
TRAJECTORY_TYPES	Measured	Mixed	Measured
a1 X	a1 Y	a1 Z	a2 X	a2 Y	a2 Z	a3 X	a3 Y	a3 Z	
288.704	-160.535	-14.264	315.248	-184.823	-13.863	330.948	-148.384	-13.814
288.704	-160.535	-14.264	315.239	-184.825	-13.878	330.957	-148.400	-13.798
288.704	-160.526	-14.265	315.248	-184.823	-13.863	330.957	-148.384	-13.798
288.694	-160.521	-14.279	315.239	-184.830	-13.847	330.956	-148.393	-13.797
288.703	-160.537	-14.263	315.239	-184.823	-13.846	330.956	-148.385	-13.797
288.703	-160.531	-14.262	315.239	-184.831	-13.845	330.956	-148.385	-13.797
288.703	-160.537	-14.263	315.247	-184.832	-13.862	330.965	-148.400	-13.781
288.713	-160.536	-14.248	315.239	-184.846	-13.845	330.948	-148.391	-13.782
288.713	-160.537	-14.248	315.239	-184.846	-13.845	330.948	-148.399	-13.781
288.703	-160.546	-14.262	315.239	-184.846	-13.845	330.948	-148.399	-13.781
288.713	-160.536	-14.248	315.239	-184.831	-13.845	330.957	-148.408	-13.797
288.713	-160.545	-14.247	315.239	-184.838	-13.846	330.957	-148.416	-13.797
288.704	-160.529	-14.263	315.239	-184.838	-13.846	330.957	-148.416	-13.797
288.695	-160.552	-14.246	315.248	-184.845	-13.830	330.948	-148.407	-13.781
288.705	-160.533	-14.233	315.239	-184.838	-13.846	330.957	-148.415	-13.798
288.705	-160.533	-14.233	315.240	-184.846	-13.846	330.966	-148.414	-13.783
288.704	-160.535	-14.264	315.240	-184.846	-13.846	330.958	-148.422	-13.798
288.713	-160.534	-14.249	315.249	-184.844	-13.831	330.958	-148.430	-13.799
288.714	-160.540	-14.250	315.240	-184.838	-13.847	330.958	-148.422	-13.798
288.696	-160.540	-14.248	315.240	-184.838	-13.847	330.949	-148.413	-13.783
288.704	-160.541	-14.264	315.231	-184.846	-13.862	330.958	-148.430	-13.799
288.696	-160.541	-14.248	315.231	-184.854	-13.862	330.969	-148.474	-13.817
288.687	-160.542	-14.263	315.231	-184.846	-13.862	330.960	-148.473	-13.801
288.696	-160.541	-14.248	315.231	-184.846	-13.862	330.969	-148.490	-13.817
288.687	-160.548	-14.263	315.231	-184.846	-13.862	330.970	-148.482	-13.817
288.687	-160.557	-14.262	315.222	-184.847	-13.877	330.970	-148.482	-13.817
288.678	-160.534	-14.278	315.222	-184.855	-13.877	330.943	-148.483	-13.831
288.678	-160.558	-14.277	315.222	-184.847	-13.877	330.960	-148.491	-13.832
288.678	-160.531	-14.279	315.222	-184.847	-13.877	330.943	-148.474	-13.832
288.678	-160.534	-14.278	315.223	-184.855	-13.878	330.961	-148.498	-13.832
288.678	-160.534	-14.278	315.222	-184.855	-13.877	330.943	-148.474	-13.832
288.677	-160.542	-14.310	315.213	-184.841	-13.893	330.952	-148.475	-13.848
288.669	-160.541	-14.293	315.213	-184.841	-13.893	330.943	-148.483	-13.831
288.669	-160.532	-14.294	315.213	-184.832	-13.893	330.943	-148.468	-13.864
288.669	-160.532	-14.294	315.213	-184.849	-13.892	330.943	-148.483	-13.831
288.677	-160.524	-14.311	315.213	-184.841	-13.893	330.952	-148.475	-13.848
288.669	-160.532	-14.294	315.213	-184.832	-13.893	330.952	-148.483	-13.848
288.678	-160.531	-14.279	315.204	-184.834	-13.908	330.943	-148.466	-13.832
288.678	-160.522	-14.280	315.223	-184.855	-13.878	330.952	-148.465	-13.817
288.678	-160.531	-14.279	315.222	-184.839	-13.878	330.952	-148.473	-13.817
288.678	-160.531	-14.279	315.213	-184.832	-13.893	330.952	-148.473	-13.817
