NO_OF_FRAMES	2575
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:39:40.006	119461.39458320
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
432.890	76.516	399.899	-294.113	55.108	397.505
432.584	76.508	399.909	-293.849	55.131	397.484
432.296	76.489	399.898	-293.554	55.131	397.489
431.985	76.490	399.896	-293.310	55.143	397.492
431.698	76.484	399.887	-293.030	55.162	397.504
431.410	76.466	399.877	-292.750	55.175	397.517
431.107	76.457	399.890	-292.500	55.189	397.502
430.814	76.440	399.867	-292.219	55.195	397.515
430.519	76.436	399.842	-291.942	55.214	397.529
430.229	76.428	399.858	-291.701	55.229	397.506
429.942	76.409	399.850	-291.419	55.228	397.519
429.642	76.383	399.839	-291.136	55.235	397.517
429.339	76.372	399.825	-290.892	55.241	397.521
429.050	76.356	399.843	-290.610	55.219	397.534
428.763	76.324	399.834	-290.342	55.252	397.539
428.459	76.309	399.847	-290.090	55.253	397.525
428.175	76.286	399.816	-289.804	55.261	397.522
427.879	76.272	399.817	-289.535	55.267	397.528
427.591	76.270	399.836	-289.289	55.284	397.489
427.320	76.257	399.834	-289.008	55.269	397.504
427.020	76.248	399.798	-288.747	55.290	397.499
426.716	76.246	399.811	-288.486	55.303	397.494
426.445	76.240	399.810	-288.191	55.297	397.502
426.158	76.221	399.803	-287.941	55.324	397.489
425.853	76.219	399.816	-287.679	55.311	397.485
425.560	76.209	399.796	-287.399	55.316	397.500
425.274	76.196	399.789	-287.133	55.346	397.479
424.975	76.179	399.816	-286.866	55.341	397.459
424.690	76.163	399.785	-286.567	55.338	397.493
424.393	76.149	399.788	-286.316	55.359	397.479
424.096	76.139	399.817	-286.044	55.359	397.485
423.818	76.121	399.801	-285.754	55.382	397.467
423.531	76.102	399.795	-285.487	55.384	397.447
423.218	76.109	399.794	-285.206	55.369	397.463
422.940	76.097	399.778	-284.926	55.374	397.478
422.651	76.068	399.796	-284.674	55.389	397.465
422.347	76.046	399.812	-284.393	55.387	397.480
422.062	76.043	399.781	-284.108	55.395	397.480
421.770	76.028	399.797	-283.866	55.409	397.458
421.472	76.011	399.827	-283.575	55.400	397.483
421.188	75.994	399.798	-283.305	55.399	397.490
420.887	75.968	399.789	-283.047	55.429	397.461
420.595	75.959	399.807	-282.767	55.428	397.477
420.317	75.948	399.792	-282.506	55.428	397.475
420.023	75.927	399.798	-282.252	55.448	397.462
419.710	75.913	399.798	-281.962	55.446	397.487
419.440	75.910	399.772	-281.701	55.473	397.484
419.151	75.901	399.793	-281.444	55.476	397.456
418.840	75.893	399.795	-281.158	55.471	397.497
418.570	75.890	399.770	-280.903	55.482	397.512
418.283	75.884	399.766	-280.650	55.496	397.500
417.968	75.887	399.791	-280.354	55.503	397.509
417.708	75.879	399.757	-280.102	55.524	397.497
417.404	75.873	399.748	-279.845	55.521	397.511
417.098	75.864	399.763	-279.557	55.530	397.552
416.820	75.859	399.750	-279.301	55.560	397.524
416.524	75.838	399.756	-279.033	55.555	397.506
416.219	75.816	399.772	-278.733	55.559	397.541
415.941	75.811	399.759	-278.487	55.570	397.547
415.646	75.800	399.739	-278.216	55.559	397.528
415.341	75.784	399.756	-277.928	55.563	397.555
415.063	75.779	399.744	-277.676	55.563	397.545
414.776	75.752	399.741	-277.396	55.571	397.535
414.464	75.752	399.743	-277.116	55.569	397.553
414.201	75.740	399.734	-276.864	55.576	397.543
413.898	75.727	399.727	-276.601	55.576	397.541
413.583	75.710	399.753	-276.306	55.576	397.553
413.315	75.716	399.705	-276.060	55.599	397.517
413.017	75.702	399.711	-275.792	55.582	397.542
412.704	75.677	399.740	-275.498	55.602	397.553
412.434	75.674	399.716	-275.271	55.608	397.541
412.137	75.670	399.697	-274.993	55.609	397.533
411.822	75.659	399.725	-274.707	55.616	397.535
411.552	75.662	399.702	-274.464	55.631	397.516
411.256	75.651	399.684	-274.192	55.616	397.525
410.949	75.635	399.701	-273.906	55.637	397.527
410.677	75.659	399.677	-273.665	55.651	397.509
410.382	75.637	399.686	-273.376	55.638	397.510
410.075	75.628	399.704	-273.105	55.657	397.519
409.805	75.638	399.682	-272.855	55.674	397.483
409.509	75.640	399.664	-272.573	55.658	397.502
409.202	75.621	399.707	-272.292	55.670	397.520
408.942	75.618	399.677	-272.037	55.682	397.469
408.645	75.617	399.686	-271.754	55.680	397.487
408.331	75.616	399.689	-271.475	55.691	397.506
408.066	75.631	399.681	-271.231	55.699	397.487
407.778	75.632	399.679	-270.946	55.677	397.506
407.466	75.610	399.684	-270.680	55.705	397.490
407.196	75.627	399.663	-270.421	55.708	397.465
406.906	75.627	399.661	-270.134	55.715	397.467
406.597	75.608	399.703	-269.865	55.727	397.478
406.330	75.621	399.659	-269.610	55.734	397.469
406.031	75.619	399.667	-269.313	55.733	397.481
405.715	75.588	399.695	-269.047	55.755	397.466
405.429	75.598	399.670	-268.793	55.755	397.457
