NO_OF_FRAMES	3807
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:37:10.760	119312.14945600
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
591.072	80.912	401.233	-463.097	50.022	397.551
591.078	80.916	401.252	-463.111	50.012	397.563
591.073	80.912	401.235	-463.108	50.028	397.544
591.088	80.911	401.244	-463.112	50.019	397.564
591.079	80.903	401.253	-463.112	50.032	397.563
591.088	80.898	401.243	-463.102	50.025	397.571
591.083	80.906	401.228	-463.100	50.035	397.553
591.074	80.905	401.237	-463.100	50.048	397.553
591.078	80.910	401.251	-463.100	50.055	397.551
591.079	80.909	401.253	-463.101	50.061	397.552
591.078	80.916	401.252	-463.100	50.075	397.550
591.078	80.916	401.252	-463.092	50.074	397.560
591.074	80.918	401.238	-463.093	50.095	397.560
591.079	80.909	401.253	-463.084	50.087	397.569
591.078	80.930	401.252	-463.081	50.110	397.549
591.078	80.930	401.252	-463.072	50.116	397.558
591.084	80.921	401.269	-463.075	50.134	397.573
591.078	80.936	401.252	-463.074	50.129	397.558
591.078	80.936	401.252	-463.067	50.147	397.582
591.072	80.952	401.236	-463.079	50.161	397.575
591.063	80.944	401.244	-463.066	50.176	397.564
591.077	80.950	401.252	-463.070	50.194	397.581
591.079	80.949	401.254	-463.064	50.184	397.609
591.077	80.957	401.251	-463.061	50.186	397.590
591.071	80.972	401.235	-463.063	50.213	397.591
591.068	80.962	401.261	-463.055	50.226	397.598
591.072	80.965	401.236	-463.067	50.238	397.606
591.067	80.975	401.260	-463.055	50.233	397.599
591.071	80.972	401.235	-463.042	50.242	397.588
591.071	80.972	401.235	-463.056	50.246	397.598
591.071	80.979	401.235	-463.047	50.273	397.604
591.066	80.976	401.258	-463.048	50.259	397.607
591.076	80.970	401.250	-463.039	50.265	397.615
591.075	80.977	401.249	-463.038	50.259	397.614
591.075	80.977	401.249	-463.035	50.254	397.597
591.064	80.989	401.256	-463.039	50.258	397.616
591.074	80.977	401.247	-463.040	50.272	397.615
591.074	80.984	401.248	-463.033	50.256	397.581
591.068	80.986	401.230	-463.030	50.264	397.624
591.073	80.984	401.246	-463.028	50.246	397.609
591.073	80.978	401.245	-463.038	50.254	397.601
591.073	80.984	401.246	-463.025	50.242	397.592
591.063	80.983	401.253	-463.037	50.247	397.601
591.072	80.985	401.244	-463.034	50.243	397.583
591.072	80.985	401.244	-463.021	50.245	397.573
591.072	80.985	401.244	-463.024	50.236	397.591
591.072	80.985	401.244	-463.033	50.236	397.583
591.071	80.998	401.243	-463.032	50.230	397.582
591.066	80.993	401.227	-463.019	50.211	397.574
591.071	80.992	401.243	-463.033	50.216	397.584
591.072	80.985	401.244	-463.028	50.219	397.565
591.071	80.998	401.243	-463.032	50.209	397.584
591.067	80.993	401.229	-463.031	50.203	397.584
591.063	80.996	401.254	-463.026	50.205	397.564
591.071	81.005	401.244	-463.019	50.175	397.592
591.073	81.004	401.246	-463.019	50.182	397.591
591.072	80.998	401.245	-463.016	50.185	397.572
591.072	80.998	401.245	-463.019	50.162	397.592
591.072	80.998	401.245	-463.024	50.158	397.565
591.068	80.999	401.232	-463.026	50.156	397.582
591.063	80.996	401.254	-463.013	50.145	397.573
591.064	81.003	401.255	-463.015	50.135	397.591
591.064	81.003	401.255	-463.012	50.138	397.572
591.064	81.003	401.255	-463.011	50.124	397.573
591.064	81.003	401.255	-463.011	50.124	397.573
591.059	80.998	401.241	-463.010	50.118	397.572
591.073	80.997	401.247	-463.009	50.111	397.572
591.074	80.990	401.249	-463.009	50.091	397.573
591.073	80.991	401.247	-463.008	50.091	397.572
591.065	80.983	401.257	-463.018	50.098	397.564
591.074	80.990	401.249	-463.008	50.071	397.574
591.070	80.979	401.233	-463.004	50.080	397.554
591.076	80.970	401.250	-462.996	50.057	397.581
591.075	80.977	401.249	-463.006	50.064	397.572
591.067	80.969	401.259	-463.005	50.051	397.572
591.067	80.969	401.259	-463.005	50.058	397.571
591.067	80.969	401.259	-462.996	50.044	397.582
591.067	80.975	401.260	-462.991	50.046	397.562
591.077	80.963	401.252	-462.990	50.040	397.561
591.071	80.959	401.235	-462.990	50.047	397.560
591.071	80.959	401.235	-463.001	50.040	397.555
591.071	80.959	401.235	-463.004	50.037	397.573
591.062	80.957	401.244	-462.996	50.023	397.536
591.077	80.943	401.251	-462.991	50.033	397.562
591.072	80.939	401.235	-463.000	50.040	397.553
591.073	80.938	401.237	-462.990	50.040	397.561
591.073	80.938	401.237	-462.986	50.029	397.544
591.078	80.930	401.252	-462.999	50.034	397.553
591.074	80.925	401.237	-462.999	50.027	397.554
591.074	80.925	401.237	-462.985	50.022	397.543
591.079	80.923	401.253	-462.986	50.029	397.544
591.078	80.916	401.252	-462.986	50.015	397.544
591.073	80.912	401.235	-462.986	50.015	397.544
591.079	80.903	401.253	-462.979	50.026	397.569
591.074	80.898	401.236	-462.976	50.015	397.553
591.078	80.903	401.250	-462.976	50.022	397.551
591.079	80.890	401.251	-462.977	50.028	397.552
591.079	80.890	401.251	-462.977	50.021	397.553
591.079	80.890	401.251	-462.966	50.021	397.560
591.070	80.869	401.259	-462.963	50.017	397.542
591.070	80.849	401.259	-462.964	50.030	397.542
591.074	80.859	401.235	-462.964	50.024	397.543
591.079	80.870	401.251	-462.968	50.014	397.562
591.070	80.849	401.259	-462.954	50.030	397.550
591.070	80.842	401.258	-462.960	50.013	397.572
591.069	80.843	401.256	-462.958	50.020	397.570
591.078	80.844	401.247	-462.946	50.029	397.560
591.079	80.844	401.249	-462.956	50.043	397.551
591.071	80.829	401.259	-462.947	50.036	397.560
591.069	80.843	401.256	-462.951	50.033	397.579
591.073	80.846	401.231	-462.944	50.045	397.542
591.064	80.858	401.242	-462.937	50.049	397.567
591.063	80.851	401.239	-462.951	50.053	397.577
591.064	80.851	401.241	-462.945	50.058	397.542
591.069	80.849	401.257	-462.948	50.063	397.559
591.070	80.842	401.258	-462.937	50.049	397.567
591.069	80.856	401.258	-462.939	50.069	397.567
591.070	80.849	401.259	-462.939	50.062	397.568
591.071	80.842	401.260	-462.939	50.069	397.567
591.070	80.842	401.258	-462.929	50.075	397.574
591.069	80.856	401.258	-462.939	50.069	397.567
591.065	80.851	401.243	-462.929	50.068	397.575
591.078	80.864	401.248	-462.930	50.082	397.574
591.065	80.851	401.243	-462.937	50.085	397.549
591.068	80.863	401.257	-462.939	50.076	397.567
591.063	80.864	401.241	-462.937	50.078	397.550
591.068	80.856	401.256	-462.928	50.098	397.557
591.062	80.865	401.239	-462.941	50.089	397.568
591.067	80.863	401.255	-462.938	50.078	397.551
591.067	80.863	401.255	-462.928	50.077	397.558
591.063	80.864	401.241	-462.928	50.077	397.558
591.062	80.871	401.240	-462.928	50.091	397.558
591.062	80.871	401.240	-462.931	50.089	397.575
591.063	80.878	401.240	-462.932	50.068	397.578
591.068	80.869	401.255	-462.929	50.070	397.561
591.062	80.885	401.239	-462.932	50.088	397.576
591.068	80.869	401.255	-462.929	50.084	397.559
591.063	80.878	401.240	-462.929	50.077	397.560
591.062	80.885	401.239	-462.928	50.071	397.559
591.071	80.893	401.231	-462.925	50.080	397.541
591.062	80.891	401.240	-462.918	50.077	397.567
591.061	80.905	401.239	-462.929	50.084	397.559
591.062	80.891	401.240	-462.929	50.084	397.559
591.070	80.906	401.230	-462.921	50.088	397.583
591.053	80.884	401.248	-462.929	50.077	397.560
591.062	80.898	401.241	-462.928	50.071	397.559
591.063	80.904	401.242	-462.928	50.071	397.559
591.062	80.911	401.240	-462.928	50.077	397.558
591.057	80.900	401.225	-462.919	50.090	397.566
591.070	80.906	401.230	-462.918	50.084	397.566
591.062	80.911	401.240	-462.915	50.079	397.548
591.067	80.909	401.256	-462.915	50.073	397.549
591.062	80.911	401.240	-462.918	50.063	397.567
591.062	80.911	401.240	-462.918	50.077	397.567
591.067	80.916	401.257	-462.917	50.077	397.565
591.067	80.916	401.257	-462.905	50.079	397.557
591.062	80.911	401.240	-462.905	50.086	397.556
591.062	80.918	401.241	-462.904	50.072	397.556
591.062	80.918	401.241	-462.894	50.072	397.563
591.063	80.911	401.242	-462.904	50.079	397.555
591.068	80.909	401.258	-462.907	50.070	397.573
591.067	80.916	401.257	-462.893	50.072	397.562
591.067	80.916	401.257	-462.895	50.051	397.566
591.068	80.909	401.258	-462.903	50.073	397.555
591.068	80.909	401.258	-462.892	50.059	397.562
591.062	80.918	401.241	-462.893	50.059	397.564
591.072	80.919	401.234	-462.894	50.072	397.563
591.072	80.919	401.234	-462.894	50.065	397.564
