NO_OF_FRAMES	1763
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:07:22.411	121123.79718470
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
578.715	81.065	401.046	-497.509	48.635	397.790
578.705	81.070	401.053	-497.562	48.654	397.771
578.705	81.070	401.053	-497.570	48.641	397.762
578.705	81.070	401.053	-497.601	48.640	397.756
578.705	81.084	401.053	-497.602	48.611	397.775
578.704	81.091	401.052	-497.621	48.605	397.760
578.704	81.091	401.052	-497.644	48.610	397.763
578.704	81.091	401.052	-497.656	48.594	397.774
578.700	81.088	401.077	-497.675	48.595	397.758
578.703	81.104	401.051	-497.696	48.574	397.762
578.708	81.102	401.067	-497.709	48.578	397.772
578.703	81.111	401.052	-497.727	48.566	397.756
578.703	81.111	401.052	-497.749	48.557	397.759
578.700	81.108	401.077	-497.761	48.562	397.769
578.703	81.111	401.052	-497.783	48.560	397.772
578.695	81.103	401.062	-497.802	48.561	397.755
578.695	81.103	401.062	-497.818	48.556	397.786
578.694	81.116	401.062	-497.834	48.560	397.751
578.704	81.117	401.053	-497.856	48.551	397.755
578.705	81.117	401.055	-497.868	48.550	397.764
578.694	81.116	401.062	-497.888	48.550	397.749
578.695	81.123	401.063	-497.899	48.542	397.759
578.699	81.128	401.077	-497.911	48.526	397.771
578.710	81.115	401.071	-497.920	48.561	397.759
578.709	81.128	401.070	-497.933	48.552	397.770
578.710	81.122	401.072	-497.956	48.556	397.773
578.704	81.130	401.055	-497.965	48.550	397.766
578.709	81.135	401.069	-497.974	48.564	397.756
578.703	81.151	401.053	-497.997	48.569	397.759
578.709	81.142	401.070	-498.007	48.563	397.752
578.710	81.135	401.071	-498.005	48.570	397.749
578.718	81.150	401.062	-498.011	48.558	397.786
578.710	81.135	401.071	-498.028	48.575	397.752
578.710	81.142	401.072	-498.040	48.553	397.765
578.709	81.148	401.071	-498.054	48.570	397.775
578.717	81.157	401.061	-498.063	48.571	397.765
578.718	81.150	401.062	-498.076	48.576	397.777
578.718	81.143	401.061	-498.076	48.569	397.778
578.719	81.136	401.062	-498.089	48.580	397.788
578.718	81.143	401.061	-498.100	48.573	397.782
578.718	81.137	401.060	-498.109	48.588	397.772
578.718	81.137	401.060	-498.123	48.592	397.785
578.724	81.128	401.077	-498.120	48.595	397.766
578.713	81.132	401.046	-498.146	48.590	397.789
578.716	81.150	401.058	-498.143	48.599	397.769
578.711	81.146	401.043	-498.158	48.617	397.781
578.711	81.139	401.042	-498.157	48.631	397.779
578.711	81.139	401.042	-498.171	48.628	397.791
578.703	81.131	401.053	-498.181	48.649	397.781
578.702	81.138	401.051	-498.190	48.657	397.772
578.711	81.139	401.042	-498.191	48.663	397.772
578.707	81.134	401.028	-498.204	48.674	397.782
578.703	81.131	401.053	-498.204	48.688	397.782
578.703	81.131	401.053	-498.214	48.702	397.773
578.698	81.133	401.037	-498.227	48.707	397.782
578.704	81.124	401.054	-498.237	48.707	397.776
578.704	81.124	401.054	-498.246	48.714	397.767
578.699	81.119	401.039	-498.246	48.721	397.765
578.705	81.117	401.055	-498.249	48.739	397.783
578.699	81.119	401.039	-498.262	48.737	397.793
578.705	81.117	401.055	-498.264	48.750	397.794
578.704	81.110	401.054	-498.272	48.737	397.787
578.705	81.104	401.055	-498.274	48.734	397.804
578.700	81.105	401.040	-498.271	48.737	397.785
578.704	81.110	401.054	-498.274	48.728	397.803
578.705	81.104	401.055	-498.291	48.745	397.769
578.710	81.095	401.070	-498.297	48.732	397.808
578.705	81.097	401.055	-498.306	48.726	397.799
578.706	81.090	401.056	-498.305	48.720	397.799
578.706	81.084	401.055	-498.305	48.713	397.800
578.696	81.076	401.063	-498.319	48.717	397.811
578.711	81.075	401.070	-498.317	48.704	397.810
578.706	81.070	401.055	-498.327	48.704	397.804
578.712	81.068	401.071	-498.341	48.716	397.814
578.706	81.064	401.055	-498.340	48.682	397.816
578.697	81.062	401.064	-498.359	48.696	397.799
578.711	81.055	401.070	-498.358	48.690	397.799
578.706	81.057	401.054	-498.361	48.667	397.819
578.711	81.055	401.070	-498.361	48.674	397.818
578.706	81.057	401.054	-498.379	48.682	397.801
578.706	81.057	401.054	-498.380	48.668	397.803
578.707	81.050	401.055	-498.398	48.669	397.787
578.706	81.057	401.054	-498.408	48.663	397.780
578.706	81.044	401.054	-498.420	48.661	397.789
578.701	81.052	401.039	-498.420	48.647	397.791
578.707	81.050	401.055	-498.431	48.652	397.799
578.692	81.051	401.048	-498.441	48.646	397.792
578.707	81.057	401.056	-498.440	48.625	397.794
578.702	81.045	401.041	-498.460	48.613	397.779
578.701	81.052	401.039	-498.471	48.604	397.790
578.702	81.045	401.041	-498.470	48.604	397.788
578.701	81.052	401.039	-498.470	48.584	397.790
578.707	81.050	401.055	-498.480	48.571	397.784
578.701	81.066	401.039	-498.502	48.569	397.786
578.701	81.066	401.039	-498.510	48.570	397.777
578.692	81.064	401.048	-498.519	48.543	397.771
578.701	81.066	401.039	-498.522	48.547	397.789
578.701	81.066	401.039	-498.533	48.525	397.800
578.691	81.071	401.047	-498.543	48.498	397.795
578.699	81.079	401.036	-498.552	48.506	397.785
578.690	81.078	401.046	-498.562	48.477	397.796
578.699	81.086	401.037	-498.563	48.470	397.798
578.700	81.079	401.039	-498.583	48.455	397.800
578.700	81.072	401.038	-498.594	48.455	397.793
578.700	81.079	401.039	-498.600	48.423	397.784
578.691	81.078	401.048	-498.615	48.425	397.813
578.700	81.079	401.039	-498.621	48.401	397.787
578.700	81.079	401.039	-498.624	48.398	397.806
578.706	81.070	401.055	-498.641	48.372	397.791
578.696	81.076	401.063	-498.641	48.379	397.790
578.705	81.077	401.054	-498.665	48.361	397.812
578.697	81.069	401.065	-498.665	48.355	397.811
578.707	81.077	401.056	-498.673	48.356	397.802
578.706	81.070	401.055	-498.684	48.363	397.796
578.706	81.070	401.055	-498.696	48.361	397.805
578.706	81.070	401.055	-498.709	48.358	397.817
578.706	81.070	401.055	-498.714	48.362	397.788
578.706	81.070	401.055	-498.728	48.366	397.800
578.706	81.070	401.055	-498.728	48.359	397.801
578.705	81.077	401.054	-498.731	48.363	397.818
578.712	81.068	401.071	-498.736	48.360	397.791
578.707	81.063	401.057	-498.750	48.364	397.802
578.707	81.057	401.056	-498.753	48.355	397.822
578.708	81.050	401.057	-498.762	48.362	397.813
578.708	81.043	401.056	-498.762	48.369	397.812
578.709	81.036	401.058	-498.762	48.369	397.812
578.708	81.030	401.057	-498.761	48.356	397.812
578.709	81.023	401.058	-498.771	48.370	397.804
578.709	81.016	401.057	-498.771	48.363	397.805
578.709	81.016	401.057	-498.771	48.370	397.804
578.705	81.011	401.043	-498.768	48.365	397.786
578.713	81.000	401.032	-498.781	48.377	397.796
578.714	80.986	401.032	-498.782	48.370	397.797
578.713	80.993	401.031	-498.782	48.383	397.796
578.713	80.980	401.032	-498.785	48.360	397.817
578.713	80.980	401.032	-498.792	48.377	397.789
578.714	80.966	401.032	-498.784	48.376	397.799
578.713	80.973	401.031	-498.787	48.374	397.818
578.713	80.973	401.031	-498.793	48.370	397.792
578.722	80.968	401.021	-498.794	48.390	397.790
578.722	80.968	401.021	-498.784	48.369	397.800
578.713	80.960	401.029	-498.797	48.374	397.811
578.722	80.961	401.020	-498.786	48.382	397.801
578.721	80.955	401.019	-498.795	48.390	397.792
578.722	80.948	401.020	-498.795	48.383	397.793
578.717	80.950	401.005	-498.797	48.381	397.810
578.732	80.936	401.012	-498.804	48.390	397.784
578.727	80.924	400.996	-498.804	48.390	397.784
578.733	80.922	401.012	-498.794	48.383	397.791
578.728	80.911	400.997	-498.784	48.376	397.799
578.734	80.902	401.014	-498.794	48.383	397.791
578.738	80.892	400.989	-498.793	48.384	397.790
578.739	80.872	400.989	-498.783	48.370	397.799
578.739	80.858	400.989	-498.792	48.377	397.789
578.748	80.853	400.980	-498.782	48.383	397.796
578.750	80.833	400.981	-498.785	48.367	397.816
578.750	80.819	400.982	-498.781	48.377	397.796
578.751	80.793	400.980	-498.794	48.368	397.808
578.765	80.772	400.987	-498.771	48.377	397.802
578.765	80.766	400.986	-498.782	48.370	397.797
578.774	80.747	400.977	-498.770	48.363	397.803
578.766	80.732	400.986	-498.774	48.367	397.822
578.771	80.731	401.002	-498.772	48.383	397.803
578.780	80.725	400.992	-498.772	48.376	397.804
578.786	80.716	401.009	-498.775	48.380	397.822
578.787	80.703	401.009	-498.773	48.383	397.804
578.788	80.690	401.010	-498.775	48.374	397.823
578.792	80.695	401.024	-498.766	48.373	397.831
578.792	80.695	401.024	-498.765	48.380	397.830
578.801	80.696	401.015	-498.764	48.382	397.813
578.801	80.696	401.015	-498.765	48.382	397.814
578.802	80.689	401.016	-498.764	48.389	397.813
578.802	80.689	401.016	-498.774	48.403	397.804
578.796	80.698	400.999	-498.774	48.403	397.804
578.801	80.696	401.015	-498.779	48.400	397.825
578.796	80.698	400.999	-498.775	48.409	397.805
578.795	80.705	400.998	-498.776	48.416	397.805
578.796	80.698	400.999	-498.775	48.409	397.805
578.795	80.705	400.998	-498.776	48.436	397.804
578.795	80.705	400.998	-498.777	48.429	397.805
578.794	80.712	400.997	-498.787	48.443	397.796
578.795	80.711	400.999	-498.785	48.446	397.779
578.794	80.718	400.998	-498.789	48.443	397.799
578.788	80.727	400.981	-498.778	48.443	397.806
578.793	80.725	400.997	-498.779	48.449	397.806
578.787	80.734	400.980	-498.779	48.456	397.805
578.788	80.727	400.981	-498.792	48.460	397.816
578.783	80.731	401.004	-498.790	48.470	397.798
578.792	80.745	400.995	-498.793	48.467	397.817
578.792	80.745	400.995	-498.790	48.477	397.797
578.783	80.751	401.005	-498.787	48.472	397.779
578.782	80.751	401.003	-498.781	48.469	397.806
578.791	80.759	400.995	-498.785	48.473	397.825
578.783	80.751	401.005	-498.785	48.480	397.826
578.786	80.761	400.979	-498.794	48.474	397.817
578.782	80.758	401.004	-498.785	48.473	397.825
578.777	80.759	400.988	-498.784	48.467	397.825
578.782	80.764	401.004	-498.794	48.474	397.817
578.782	80.764	401.004	-498.784	48.467	397.825
578.783	80.757	401.006	-498.795	48.480	397.817
578.783	80.757	401.006	-498.794	48.481	397.816
578.782	80.764	401.004	-498.794	48.481	397.816
578.778	80.779	400.990	-498.795	48.487	397.816
578.774	80.769	401.014	-498.783	48.460	397.824
578.774	80.782	401.016	-498.780	48.476	397.805
578.769	80.784	401.000	-498.780	48.483	397.804
578.765	80.788	401.026	-498.790	48.483	397.796
578.760	80.796	401.011	-498.779	48.483	397.802
578.766	80.807	401.028	-498.779	48.476	397.803
578.761	80.809	401.012	-498.783	48.480	397.823
578.752	80.808	401.021	-498.779	48.490	397.801
578.743	80.813	401.031	-498.782	48.481	397.821
578.742	80.813	401.029	-498.781	48.467	397.822
578.742	80.820	401.030	-498.770	48.469	397.812
578.742	80.820	401.030	-498.769	48.483	397.809
578.734	80.812	401.040	-498.769	48.469	397.811
578.743	80.820	401.032	-498.777	48.486	397.785
578.743	80.813	401.031	-498.779	48.476	397.803
578.743	80.806	401.030	-498.760	48.482	397.818
578.743	80.813	401.031	-498.770	48.489	397.811
578.743	80.813	401.031	-498.757	48.505	397.798
578.728	80.807	401.024	-498.772	48.509	397.811
578.742	80.800	401.030	-498.773	48.516	397.811
