NO_OF_FRAMES	2522
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:25:29.821	118611.21169910
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
578.461	80.460	401.142	-492.759	49.315	397.785
578.447	80.461	401.135	-492.790	49.315	397.765
578.437	80.467	401.143	-492.779	49.308	397.771
578.424	80.460	401.138	-492.783	49.306	397.791
578.413	80.459	401.145	-492.783	49.312	397.790
578.400	80.453	401.139	-492.780	49.308	397.773
578.391	80.452	401.148	-492.771	49.308	397.781
578.382	80.444	401.157	-492.763	49.298	397.807
578.367	80.445	401.150	-492.767	49.317	397.761
578.358	80.443	401.159	-492.761	49.334	397.786
578.354	80.438	401.144	-492.760	49.323	397.771
578.344	80.444	401.152	-492.752	49.320	397.797
578.329	80.444	401.146	-492.758	49.330	397.769
578.321	80.436	401.156	-492.752	49.347	397.794
578.307	80.443	401.150	-492.750	49.350	397.777
578.297	80.449	401.158	-492.739	49.363	397.781
578.289	80.441	401.168	-492.743	49.367	397.800
578.284	80.443	401.152	-492.741	49.383	397.781
578.276	80.441	401.163	-492.734	49.401	397.805
578.261	80.449	401.155	-492.741	49.410	397.778
578.246	80.449	401.149	-492.731	49.417	397.785
578.241	80.458	401.134	-492.735	49.434	397.802
578.233	80.449	401.144	-492.723	49.436	397.793
578.217	80.457	401.134	-492.729	49.439	397.766
578.209	80.456	401.145	-492.722	49.457	397.790
578.195	80.463	401.139	-492.710	49.452	397.780
578.185	80.448	401.147	-492.713	49.477	397.796
578.171	80.455	401.141	-492.711	49.486	397.778
578.165	80.464	401.124	-492.714	49.483	397.797
578.161	80.461	401.149	-492.704	49.469	397.806
578.146	80.455	401.141	-492.699	49.495	397.768
578.138	80.460	401.151	-492.689	49.481	397.777
578.122	80.461	401.142	-492.696	49.475	397.814
578.113	80.460	401.152	-492.694	49.471	397.798
578.108	80.455	401.137	-492.694	49.478	397.797
578.098	80.454	401.144	-492.694	49.491	397.796
578.079	80.457	401.122	-492.681	49.487	397.785
578.075	80.453	401.146	-492.683	49.466	397.790
578.060	80.461	401.138	-492.685	49.477	397.807
578.054	80.463	401.123	-492.682	49.473	397.789
578.036	80.454	401.140	-492.685	49.484	397.806
578.021	80.454	401.133	-492.681	49.480	397.787
578.016	80.463	401.118	-492.696	49.477	397.800
578.002	80.463	401.112	-492.686	49.463	397.809
577.998	80.454	401.136	-492.672	49.479	397.795
577.979	80.463	401.114	-492.692	49.480	397.780
577.969	80.475	401.123	-492.695	49.471	397.800
577.970	80.461	401.123	-492.682	49.466	397.789
577.955	80.462	401.117	-492.682	49.466	397.789
577.940	80.469	401.109	-492.681	49.480	397.787
577.932	80.468	401.120	-492.681	49.460	397.788
577.923	80.466	401.129	-492.690	49.474	397.778
577.909	80.467	401.122	-492.689	49.474	397.776
577.894	80.481	401.115	-492.676	49.463	397.768
577.880	80.468	401.109	-492.689	49.460	397.778
577.880	80.468	401.109	-492.680	49.460	397.787
577.865	80.469	401.102	-492.679	49.440	397.788
577.862	80.466	401.127	-492.678	49.440	397.787
577.846	80.473	401.119	-492.671	49.430	397.813
577.837	80.472	401.128	-492.678	49.419	397.789
577.819	80.463	401.145	-492.668	49.412	397.796
577.804	80.470	401.137	-492.678	49.413	397.790
577.803	80.471	401.135	-492.665	49.408	397.779
577.779	80.470	401.138	-492.669	49.412	397.798
577.779	80.470	401.138	-492.672	49.389	397.818
577.759	80.479	401.114	-492.669	49.378	397.802
577.749	80.471	401.122	-492.668	49.365	397.802
577.740	80.470	401.132	-492.669	49.378	397.802
577.726	80.464	401.124	-492.678	49.351	397.796
577.707	80.462	401.142	-492.667	49.365	397.801
577.707	80.462	401.142	-492.671	49.355	397.821
577.693	80.456	401.135	-492.675	49.354	397.778
577.679	80.463	401.129	-492.677	49.352	397.795
577.669	80.455	401.137	-492.674	49.347	397.777
577.655	80.455	401.130	-492.688	49.352	397.788
577.641	80.456	401.124	-492.677	49.338	397.795
577.641	80.463	401.124	-492.677	49.352	397.795
577.627	80.450	401.118	-492.678	49.338	397.797
