NO_OF_FRAMES	2549
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:29:10.195	118831.58499800
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
591.069	81.006	401.232	-492.682	49.388	397.826
591.075	81.003	401.250	-492.702	49.388	397.811
591.075	80.997	401.250	-492.688	49.384	397.800
591.076	80.990	401.251	-492.699	49.384	397.793
591.079	80.993	401.226	-492.702	49.375	397.813
591.071	80.985	401.236	-492.693	49.374	397.821
591.076	80.977	401.251	-492.689	49.377	397.801
591.080	80.980	401.226	-492.689	49.377	397.801
591.071	80.979	401.235	-492.687	49.379	397.784
591.080	80.980	401.226	-492.699	49.370	397.795
591.080	80.973	401.226	-492.689	49.370	397.802
591.081	80.966	401.227	-492.679	49.376	397.809
591.081	80.966	401.227	-492.693	49.394	397.820
591.080	80.960	401.226	-492.690	49.404	397.800
591.080	80.960	401.226	-492.680	49.383	397.810
591.081	80.966	401.227	-492.680	49.390	397.809
591.081	80.946	401.226	-492.670	49.396	397.816
591.082	80.946	401.228	-492.678	49.399	397.790
591.081	80.946	401.226	-492.680	49.403	397.808
591.081	80.946	401.226	-492.678	49.413	397.790
591.082	80.940	401.228	-492.681	49.417	397.807
591.082	80.933	401.227	-492.668	49.419	397.797
591.082	80.933	401.227	-492.659	49.412	397.806
591.082	80.920	401.227	-492.669	49.439	397.795
591.097	80.919	401.234	-492.659	49.446	397.802
591.091	80.914	401.217	-492.673	49.457	397.814
591.082	80.920	401.227	-492.661	49.452	397.804
591.096	80.912	401.233	-492.658	49.461	397.784
591.090	80.915	401.215	-492.658	49.461	397.784
591.092	80.908	401.219	-492.648	49.468	397.791
591.087	80.885	401.241	-492.659	49.475	397.785
591.091	80.894	401.217	-492.650	49.481	397.792
591.092	80.901	401.218	-492.649	49.495	397.790
591.081	80.887	401.223	-492.641	49.480	397.802
591.082	80.880	401.224	-492.650	49.494	397.792
591.098	80.886	401.234	-492.655	49.491	397.812
591.091	80.888	401.216	-492.642	49.501	397.800
591.072	80.886	401.232	-492.632	49.500	397.809
591.087	80.878	401.240	-492.633	49.513	397.808
591.083	80.867	401.225	-492.629	49.496	397.791
591.082	80.874	401.224	-492.630	49.509	397.790
591.082	80.874	401.224	-492.631	49.509	397.792
591.082	80.880	401.224	-492.631	49.516	397.791
591.073	80.872	401.233	-492.624	49.513	397.816
591.084	80.873	401.228	-492.620	49.516	397.797
591.074	80.872	401.235	-492.620	49.516	397.797
591.083	80.867	401.225	-492.617	49.518	397.779
591.079	80.863	401.250	-492.622	49.513	397.815
591.079	80.863	401.250	-492.620	49.516	397.797
591.083	80.886	401.227	-492.622	49.513	397.815
591.080	80.857	401.251	-492.613	49.513	397.823
591.074	80.872	401.235	-492.609	49.502	397.805
591.080	80.857	401.251	-492.612	49.506	397.822
591.089	80.884	401.243	-492.611	49.500	397.822
591.084	80.866	401.227	-492.611	49.506	397.821
591.081	80.850	401.252	-492.599	49.488	397.813
591.089	80.877	401.244	-492.599	49.495	397.812
591.080	80.857	401.251	-492.601	49.472	397.831
591.080	80.863	401.252	-492.600	49.479	397.830
591.079	80.870	401.251	-492.607	49.468	397.805
591.079	80.870	401.251	-492.607	49.468	397.805
591.078	80.870	401.248	-492.608	49.462	397.806
591.087	80.852	401.239	-492.611	49.459	397.825
591.087	80.852	401.239	-492.598	49.461	397.815
591.079	80.863	401.250	-492.598	49.441	397.816
591.087	80.845	401.238	-492.597	49.454	397.814
591.078	80.857	401.249	-492.607	49.421	397.810
591.081	80.854	401.221	-492.594	49.430	397.798
591.096	80.840	401.228	-492.607	49.421	397.810
591.072	80.866	401.232	-492.598	49.407	397.820
591.081	80.854	401.221	-492.608	49.400	397.813
591.081	80.854	401.221	-492.595	49.402	397.803
591.090	80.855	401.212	-492.594	49.403	397.801
591.081	80.854	401.221	-492.617	49.401	397.805
591.081	80.861	401.222	-492.605	49.396	397.795
591.081	80.861	401.222	-492.605	49.382	397.798
591.081	80.867	401.223	-492.607	49.380	397.815
591.081	80.867	401.223	-492.604	49.396	397.794
591.080	80.887	401.221	-492.594	49.376	397.804
591.081	80.880	401.222	-492.603	49.403	397.793
591.080	80.894	401.222	-492.603	49.376	397.796
591.081	80.880	401.222	-492.593	49.396	397.801
591.081	80.887	401.223	-492.596	49.393	397.819
591.082	80.907	401.226	-492.593	49.396	397.801
591.082	80.907	401.226	-492.589	49.385	397.782
591.082	80.913	401.226	-492.593	49.383	397.801
591.082	80.907	401.226	-492.592	49.390	397.800
591.082	80.913	401.226	-492.579	49.399	397.788
591.082	80.913	401.226	-492.582	49.389	397.807
591.097	80.919	401.234	-492.573	49.382	397.816
591.083	80.926	401.228	-492.579	49.392	397.788
591.082	80.933	401.227	-492.568	49.385	397.796
591.087	80.925	401.242	-492.579	49.392	397.788
591.087	80.931	401.243	-492.572	49.375	397.816
591.083	80.926	401.228	-492.569	49.385	397.797
591.083	80.933	401.229	-492.573	49.409	397.813
591.088	80.931	401.245	-492.560	49.398	397.803
591.081	80.946	401.226	-492.559	49.391	397.803
591.087	80.938	401.244	-492.560	49.398	397.803
591.087	80.944	401.244	-492.559	49.405	397.802
591.087	80.938	401.244	-492.550	49.418	397.810
591.081	80.953	401.227	-492.560	49.411	397.803
591.087	80.951	401.243	-492.549	49.413	397.794
591.072	80.965	401.236	-492.542	49.417	397.819
591.072	80.965	401.236	-492.548	49.434	397.790
591.082	80.960	401.228	-492.539	49.440	397.799
591.072	80.972	401.237	-492.539	49.440	397.799
591.080	80.973	401.226	-492.537	49.449	397.781
591.072	80.972	401.237	-492.540	49.453	397.798
