NO_OF_FRAMES	3903
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:35:00.861	119182.25136790
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Mixed	Measured
b X	b Y	b Z	a X	a Y	a Z	
543.502	79.915	400.831	-471.246	49.988	397.679
543.309	79.920	400.815	-471.077	50.008	397.654
543.113	79.916	400.823	-470.888	50.026	397.645
542.919	79.921	400.805	-470.706	50.049	397.608
542.723	79.917	400.813	-470.521	50.038	397.620
542.518	79.904	400.831	-470.317	50.046	397.647
542.311	79.903	400.808	-470.131	50.042	397.658
542.108	79.894	400.800	-469.926	50.045	397.621
541.905	79.868	400.819	-469.731	50.054	397.640
541.699	79.862	400.836	-469.528	50.055	397.621
541.497	79.846	400.827	-469.330	50.053	397.621
541.295	79.830	400.820	-469.119	50.047	397.613
541.083	79.806	400.820	-468.904	50.041	397.647
540.862	79.788	400.830	-468.696	50.052	397.656
540.662	79.771	400.825	-468.484	50.059	397.646
540.436	79.741	400.820	-468.272	50.059	397.635
540.229	79.729	400.835	-468.054	50.070	397.651
540.004	79.712	400.832	-467.839	50.073	397.623
539.802	79.709	400.825	-467.631	50.070	397.632
539.579	79.695	400.795	-467.420	50.091	397.622
539.360	79.669	400.808	-467.207	50.091	397.611
539.137	79.638	400.807	-466.998	50.095	397.620
538.933	79.623	400.797	-466.776	50.115	397.616
538.713	79.604	400.809	-466.558	50.112	397.632
538.484	79.563	400.830	-466.347	50.126	397.623
538.269	79.541	400.819	-466.144	50.140	397.604
538.061	79.513	400.796	-465.926	50.130	397.623
537.827	79.495	400.802	-465.714	50.144	397.612
537.608	79.469	400.816	-465.495	50.148	397.628
537.406	79.452	400.810	-465.297	50.132	397.631
537.188	79.430	400.795	-465.094	50.153	397.613
536.963	79.400	400.792	-464.886	50.150	397.623
536.747	79.364	400.780	-464.670	50.160	397.595
536.555	79.349	400.765	-464.463	50.171	397.604
536.333	79.303	400.774	-464.250	50.177	397.595
536.104	79.270	400.795	-464.043	50.188	397.604
535.896	79.249	400.773	-463.844	50.186	397.606
535.688	79.214	400.750	-463.644	50.191	397.607
535.461	79.197	400.745	-463.432	50.198	397.598
535.251	79.166	400.749	-463.221	50.204	397.590
535.049	79.150	400.743	-463.020	50.209	397.590
534.827	79.131	400.755	-462.821	50.214	397.590
534.598	79.104	400.776	-462.604	50.202	397.626
534.373	79.066	400.774	-462.397	50.226	397.635
534.170	79.037	400.767	-462.201	50.214	397.657
533.947	79.030	400.739	-461.988	50.221	397.646
533.724	79.007	400.777	-461.789	50.219	397.648
533.513	78.989	400.781	-461.568	50.216	397.664
533.305	78.975	400.760	-461.371	50.227	397.620
533.094	78.950	400.763	-461.166	50.242	397.648
532.853	78.933	400.756	-460.953	50.214	397.641
532.650	78.930	400.750	-460.757	50.237	397.660
532.448	78.907	400.744	-460.544	50.223	397.653
532.219	78.887	400.767	-460.334	50.221	397.662
531.999	78.854	400.781	-460.130	50.222	397.692
531.784	78.855	400.743	-459.925	50.236	397.672
531.571	78.837	400.746	-459.713	50.236	397.665
531.355	78.821	400.735	-459.513	50.234	397.667
531.138	78.794	400.761	-459.304	50.231	397.678
530.939	78.801	400.732	-459.095	50.235	397.689
530.732	78.781	400.750	-458.905	50.240	397.682
530.490	78.778	400.741	-458.706	50.237	397.686
530.286	78.775	400.734	-458.506	50.249	397.687
530.076	78.787	400.713	-458.298	50.246	397.700
529.864	78.770	400.716	-458.105	50.260	397.675
529.646	78.769	400.742	-457.906	50.251	397.679
529.438	78.774	400.722	-457.716	50.263	397.673
529.243	78.780	400.707	-457.487	50.259	397.700
529.007	78.768	400.714	-457.298	50.271	397.694
528.795	78.763	400.719	-457.094	50.271	397.678
528.592	78.773	400.714	-456.872	50.284	397.678
528.387	78.784	400.707	-456.682	50.289	397.673
528.170	78.783	400.735	-456.459	50.281	397.674
527.943	78.786	400.733	-456.265	50.282	397.651
527.744	78.799	400.705	-456.069	50.277	397.672
527.527	78.820	400.668	-455.869	50.281	397.675
527.302	78.811	400.706	-455.655	50.274	397.668
527.089	78.820	400.710	-455.456	50.292	397.669
526.893	78.838	400.695	-455.247	50.303	397.681
526.682	78.840	400.701	-455.030	50.299	397.655
526.454	78.843	400.699	-454.830	50.296	397.659
526.237	78.864	400.662	-454.622	50.313	397.671
526.044	78.869	400.649	-454.432	50.311	397.666
525.821	78.883	400.663	-454.233	50.316	397.670
525.605	78.875	400.692	-454.015	50.325	397.643
525.401	78.899	400.688	-453.814	50.329	397.646
525.201	78.905	400.660	-453.614	50.327	397.649
524.982	78.909	400.649	-453.405	50.344	397.660
524.753	78.919	400.646	-453.192	50.337	397.655
524.558	78.951	400.633	-453.002	50.349	397.650
524.352	78.951	400.654	-452.812	50.367	397.644
524.139	78.959	400.659	-452.595	50.390	397.618
523.926	78.962	400.664	-452.396	50.394	397.622
523.716	78.980	400.645	-452.182	50.400	397.614
523.506	79.006	400.625	-451.963	50.423	397.585
523.284	79.000	400.640	-451.759	50.430	397.570
523.086	79.008	400.652	-451.558	50.428	397.574
522.883	79.025	400.648	-451.347	50.452	397.583
522.669	79.047	400.654	-451.146	50.452	397.572
522.451	79.044	400.644	-450.945	50.490	397.571
522.231	79.048	400.634	-450.741	50.490	397.557
522.036	79.073	400.620	-450.541	50.488	397.562
521.829	79.066	400.641	-450.328	50.501	397.555
521.606	79.074	400.655	-450.127	50.532	397.556
521.387	79.084	400.645	-449.924	50.546	397.542
521.194	79.089	400.635	-449.713	50.543	397.553
520.973	79.106	400.623	-449.513	50.554	397.557
520.735	79.107	400.632	-449.310	50.567	397.543
520.546	79.117	400.634	-449.109	50.592	397.545
520.342	79.134	400.631	-448.909	50.610	397.548
520.120	79.114	400.645	-448.705	50.616	397.534
519.906	79.116	400.651	-448.498	50.617	397.564
519.697	79.121	400.633	-448.286	50.624	397.559
519.488	79.120	400.615	-448.084	50.635	397.562
519.275	79.115	400.622	-447.891	50.634	397.603
519.059	79.107	400.653	-447.674	50.629	397.580
518.866	79.098	400.642	-447.473	50.633	397.584
518.656	79.109	400.623	-447.274	50.657	397.588
518.444	79.098	400.631	-447.059	50.650	397.583
518.219	79.090	400.607	-446.859	50.668	397.586
518.030	79.086	400.610	-446.668	50.672	397.583
517.821	79.084	400.592	-446.471	50.681	397.605
517.606	79.062	400.624	-446.266	50.688	397.591
517.392	79.051	400.630	-446.059	50.689	397.622
517.186	79.052	400.588	-445.860	50.693	397.627
516.977	79.044	400.571	-445.659	50.690	397.632
516.754	79.031	400.585	-445.467	50.701	397.627
516.552	79.007	400.584	-445.262	50.715	397.612
516.362	78.997	400.587	-445.069	50.722	397.593
516.154	78.974	400.571	-444.862	50.723	397.624
515.925	78.957	400.569	-444.673	50.734	397.622
515.712	78.925	400.575	-444.465	50.742	397.652
515.510	78.932	400.547	-444.265	50.739	397.658
515.321	78.908	400.550	-444.060	50.759	397.643
515.105	78.866	400.581	-443.869	50.757	397.640
514.902	78.849	400.579	-443.668	50.754	397.646
514.716	78.848	400.558	-443.464	50.768	397.633
514.496	78.832	400.549	-443.274	50.765	397.632
514.274	78.799	400.565	-443.085	50.774	397.645
514.079	78.790	400.553	-442.881	50.788	397.632
513.882	78.764	400.567	-442.693	50.790	397.647
513.669	78.746	400.574	-442.502	50.794	397.645
513.455	78.707	400.579	-442.308	50.801	397.624
513.243	78.682	400.587	-442.106	50.792	397.630
513.042	78.682	400.561	-441.915	50.789	397.629
512.829	78.663	400.569	-441.723	50.787	397.625
512.617	78.638	400.576	-441.540	50.806	397.612
512.414	78.614	400.576	-441.343	50.800	397.637
512.220	78.604	400.566	-441.151	50.805	397.633
512.001	78.581	400.559	-440.968	50.810	397.621
511.778	78.555	400.574	-440.774	50.824	397.600
511.569	78.546	400.559	-440.571	50.821	397.605
511.390	78.523	400.555	-440.384	50.803	397.623
511.176	78.498	400.561	-440.197	50.810	397.593
510.951	78.455	400.601	-439.995	50.815	397.597
510.752	78.427	400.578	-439.802	50.819	397.594
510.550	78.426	400.550	-439.611	50.824	397.593
510.344	78.403	400.547	-439.429	50.829	397.581
510.124	78.380	400.538	-439.241	50.824	397.597
509.928	78.360	400.554	-439.039	50.821	397.604
509.732	78.351	400.543	-438.846	50.812	397.601
509.521	78.329	400.525	-438.653	50.830	397.597
509.308	78.304	400.533	-438.450	50.830	397.586
509.107	78.303	400.508	-438.266	50.848	397.573
508.902	78.293	400.506	-438.074	50.846	397.571
508.693	78.280	400.527	-437.881	50.844	397.568
508.488	78.269	400.526	-437.689	50.855	397.566
508.280	78.253	400.512	-437.502	50.864	397.582
508.070	78.251	400.496	-437.304	50.871	397.560
507.847	78.218	400.514	-437.125	50.873	397.567
507.643	78.207	400.512	-436.920	50.873	397.556
507.438	78.203	400.512	-436.728	50.891	397.553
507.249	78.206	400.517	-436.545	50.896	397.542
507.036	78.187	400.527	-436.347	50.890	397.567
506.833	78.169	400.527	-436.164	50.895	397.556
506.621	78.181	400.511	-435.978	50.916	397.526
506.426	78.178	400.501	-435.785	50.921	397.524
506.206	78.168	400.494	-435.591	50.925	397.520
506.013	78.154	400.524	-435.411	50.930	397.512
505.804	78.151	400.510	-435.218	50.934	397.510
505.618	78.157	400.491	-435.035	50.946	397.498
505.397	78.153	400.484	-434.846	50.948	397.514
505.191	78.143	400.481	-434.655	50.945	397.515
504.987	78.152	400.483	-434.473	50.957	397.504
504.797	78.161	400.488	-434.279	50.962	397.501
504.598	78.149	400.502	-434.087	50.966	397.500
504.399	78.143	400.517	-433.898	50.968	397.516
504.188	78.155	400.502	-433.706	50.972	397.515
503.986	78.167	400.477	-433.517	50.974	397.531
503.780	78.170	400.476	-433.325	50.985	397.529
503.580	78.171	400.491	-433.142	50.990	397.519
503.383	78.165	400.508	-432.949	50.987	397.518
503.187	78.176	400.498	-432.770	50.983	397.527
502.975	78.187	400.483	-432.568	50.987	397.534
502.762	78.182	400.493	-432.385	51.005	397.523
502.557	78.184	400.494	-432.190	50.996	397.520
502.361	78.202	400.485	-431.992	50.997	397.545
502.156	78.197	400.486	-431.799	50.995	397.545
501.957	78.198	400.500	-431.607	50.992	397.544
501.746	78.203	400.487	-431.408	50.980	397.570
501.551	78.207	400.478	-431.214	50.986	397.553
501.345	78.216	400.479	-431.024	51.002	397.568
501.129	78.218	400.486	-430.839	51.015	397.541
500.933	78.228	400.477	-430.643	51.007	397.584
500.734	78.229	400.494	-430.441	51.004	397.592
500.538	78.240	400.484	-430.263	51.020	397.601
500.332	78.243	400.484	-430.071	51.031	397.601
500.125	78.246	400.482	-429.879	51.042	397.600
499.921	78.279	400.457	-429.687	51.046	397.600
499.709	78.283	400.442	-429.504	51.057	397.591
499.507	78.284	400.455	-429.298	51.057	397.581
499.312	78.288	400.447	-429.109	51.058	397.598
499.107	78.304	400.449	-428.928	51.069	397.590
498.902	78.300	400.450	-428.743	51.082	397.624
498.688	78.305	400.433	-428.554	51.077	397.642
498.492	78.315	400.425	-428.358	51.090	397.624
498.303	78.317	400.434	-428.175	51.109	397.614
498.103	78.318	400.449	-427.979	51.115	397.596
497.898	78.314	400.450	-427.796	51.120	397.588
497.685	78.325	400.435	-427.608	51.128	397.606
497.481	78.327	400.437	-427.401	51.148	397.594
497.284	78.338	400.428	-427.222	51.177	397.601
497.078	78.341	400.429	-427.039	51.188	397.592
496.878	78.341	400.444	-426.847	51.192	397.593
496.681	78.352	400.436	-426.664	51.211	397.583
496.469	78.363	400.422	-426.468	51.238	397.565
496.273	78.354	400.414	-426.275	51.242	397.564
496.067	78.356	400.414	-426.082	51.253	397.564
495.861	78.365	400.416	-425.899	51.264	397.555
495.670	78.374	400.423	-425.719	51.286	397.563
495.474	78.358	400.415	-425.517	51.297	397.571
495.268	78.354	400.415	-425.334	51.308	397.563
495.071	78.364	400.407	-425.140	51.326	397.561
494.865	78.373	400.409	-424.944	51.332	397.544
494.660	78.349	400.411	-424.752	51.343	397.544
494.464	78.339	400.402	-424.563	51.358	397.561
494.264	78.347	400.419	-424.379	51.376	397.552
494.069	78.337	400.413	-424.185	51.387	397.550
493.863	78.326	400.414	-423.996	51.389	397.568
493.665	78.323	400.405	-423.799	51.395	397.552
493.453	78.327	400.391	-423.619	51.418	397.559
493.248	78.323	400.393	-423.421	51.424	397.540
