NO_OF_FRAMES	1819
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:54:07.222	120328.60899060
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
557.196	80.018	400.965	-442.427	50.719	397.579
557.189	80.040	400.948	-442.457	50.741	397.554
557.189	80.047	400.949	-442.457	50.734	397.555
557.184	80.049	400.933	-442.460	50.745	397.571
557.188	80.054	400.948	-442.465	50.743	397.590
557.188	80.054	400.948	-442.460	50.745	397.571
557.179	80.052	400.957	-442.464	50.743	397.589
557.174	80.061	400.942	-442.460	50.752	397.570
557.174	80.061	400.942	-442.459	50.746	397.570
557.173	80.068	400.941	-442.459	50.718	397.572
557.174	80.047	400.942	-442.458	50.732	397.570
557.179	80.059	400.958	-442.449	50.732	397.579
557.165	80.053	400.950	-442.448	50.725	397.578
557.165	80.059	400.951	-442.449	50.725	397.580
557.171	80.044	400.967	-442.448	50.725	397.578
557.171	80.044	400.967	-442.448	50.718	397.579
557.155	80.051	400.960	-442.452	50.715	397.597
557.156	80.045	400.961	-442.449	50.711	397.580
557.163	80.036	400.978	-442.448	50.718	397.579
557.151	80.046	400.945	-442.448	50.705	397.580
557.151	80.040	400.945	-442.448	50.718	397.579
557.143	80.025	400.956	-442.448	50.705	397.580
557.143	80.032	400.955	-442.448	50.698	397.581
557.143	80.025	400.956	-442.448	50.705	397.580
557.143	80.018	400.955	-442.444	50.707	397.561
557.134	80.023	400.965	-442.447	50.711	397.579
557.129	80.025	400.950	-442.445	50.707	397.563
557.130	80.012	400.950	-442.445	50.714	397.562
557.134	80.023	400.965	-442.450	50.718	397.580
557.129	80.019	400.949	-442.446	50.727	397.561
557.113	80.033	400.942	-442.450	50.738	397.579
557.114	80.019	400.943	-442.446	50.734	397.562
557.114	80.019	400.943	-442.446	50.734	397.562
557.114	80.026	400.943	-442.446	50.741	397.561
557.108	80.035	400.927	-442.447	50.754	397.560
557.108	80.028	400.926	-442.433	50.763	397.549
557.103	80.032	400.949	-442.437	50.754	397.569
557.100	80.026	400.937	-442.438	50.767	397.568
557.100	80.026	400.937	-442.438	50.774	397.567
557.090	80.018	400.945	-442.434	50.777	397.549
557.100	80.013	400.937	-442.435	50.783	397.549
557.090	80.018	400.945	-442.438	50.781	397.568
557.091	80.012	400.947	-442.438	50.781	397.568
557.090	80.018	400.945	-442.429	50.780	397.576
557.082	80.010	400.956	-442.425	50.790	397.557
557.081	80.011	400.954	-442.426	50.789	397.558
557.088	80.008	400.971	-442.426	50.803	397.556
557.081	80.011	400.954	-442.427	50.803	397.558
557.082	80.004	400.955	-442.420	50.800	397.583
557.082	80.004	400.955	-442.426	50.796	397.557
557.074	79.995	400.965	-442.420	50.793	397.584
557.074	79.995	400.965	-442.413	50.798	397.547
557.074	79.989	400.965	-442.417	50.802	397.566
557.073	80.002	400.964	-442.416	50.803	397.565
557.074	79.989	400.965	-442.417	50.809	397.565
557.065	79.994	400.975	-442.417	50.802	397.566
557.065	79.988	400.974	-442.417	50.802	397.566
557.059	79.989	400.958	-442.417	50.809	397.565
557.056	79.986	400.983	-442.414	50.818	397.547
557.056	79.986	400.983	-442.415	50.812	397.548
557.050	79.988	400.967	-442.419	50.816	397.567
557.044	79.997	400.951	-442.429	50.816	397.558
557.045	79.990	400.952	-442.418	50.816	397.566
557.045	79.990	400.952	-442.419	50.822	397.566
557.036	79.989	400.961	-442.428	50.823	397.557
557.035	79.982	400.960	-442.427	50.816	397.557
557.035	79.982	400.960	-442.428	50.803	397.559
557.036	79.975	400.961	-442.422	50.806	397.585
557.026	79.981	400.969	-442.428	50.803	397.559
557.021	79.983	400.954	-442.417	50.802	397.566
557.026	79.981	400.969	-442.417	50.782	397.568
557.021	79.969	400.954	-442.421	50.779	397.586
557.020	79.976	400.953	-442.420	50.766	397.586
557.020	79.976	400.953	-442.419	50.759	397.586
557.011	79.975	400.962	-442.416	50.755	397.569
557.006	79.977	400.947	-442.415	50.748	397.568
557.011	79.968	400.962	-442.414	50.735	397.569
557.012	79.961	400.963	-442.405	50.727	397.578
557.006	79.957	400.946	-442.415	50.708	397.571
557.006	79.957	400.946	-442.404	50.700	397.579
556.997	79.955	400.956	-442.414	50.694	397.572
556.997	79.955	400.956	-442.412	50.688	397.570
556.997	79.949	400.955	-442.412	50.681	397.571
556.997	79.949	400.955	-442.412	50.681	397.571
556.996	79.949	400.953	-442.412	50.661	397.573
556.989	79.934	400.964	-442.411	50.654	397.572
556.988	79.941	400.963	-442.407	50.656	397.554
556.988	79.941	400.963	-442.406	50.650	397.554
556.982	79.943	400.948	-442.406	50.636	397.554
556.982	79.949	400.948	-442.406	50.636	397.554
556.968	79.936	400.942	-442.405	50.630	397.554
556.974	79.941	400.959	-442.404	50.623	397.553
556.969	79.929	400.944	-442.404	50.630	397.552
556.975	79.934	400.960	-442.402	50.603	397.554
556.971	79.929	400.946	-442.400	50.605	397.537
556.961	79.935	400.954	-442.399	50.619	397.535
556.962	79.934	400.956	-442.402	50.596	397.553
556.962	79.934	400.956	-442.392	50.603	397.561
556.963	79.921	400.956	-442.388	50.585	397.544
556.953	79.933	400.965	-442.397	50.585	397.536
556.953	79.933	400.965	-442.390	50.582	397.561
556.954	79.926	400.966	-442.386	50.592	397.542
556.948	79.928	400.950	-442.373	50.580	397.532
556.949	79.935	400.951	-442.386	50.592	397.542
556.938	79.934	400.958	-442.374	50.580	397.534
556.940	79.933	400.960	-442.373	50.587	397.533
556.938	79.934	400.958	-442.367	50.584	397.558
556.940	79.926	400.961	-442.367	50.591	397.559
556.939	79.927	400.960	-442.363	50.587	397.540
556.935	79.937	400.984	-442.357	50.584	397.567
556.925	79.934	400.954	-442.355	50.586	397.550
556.926	79.927	400.955	-442.357	50.584	397.567
556.931	79.932	400.969	-442.353	50.586	397.548
556.931	79.932	400.969	-442.348	50.596	397.575
556.921	79.937	400.978	-442.348	50.596	397.575
556.916	79.939	400.964	-442.355	50.606	397.548
556.921	79.937	400.978	-442.345	50.613	397.556
556.915	79.939	400.962	-442.337	50.612	397.566
556.915	79.946	400.963	-442.341	50.629	397.582
556.909	79.955	400.946	-442.337	50.632	397.564
556.914	79.953	400.962	-442.339	50.645	397.565
556.900	79.953	400.955	-442.340	50.659	397.564
556.900	79.953	400.955	-442.331	50.645	397.575
556.890	79.959	400.963	-442.331	50.665	397.573
556.890	79.959	400.963	-442.329	50.695	397.554
556.884	79.961	400.948	-442.319	50.694	397.562
556.885	79.967	400.948	-442.331	50.714	397.555
556.878	79.970	400.931	-442.312	50.713	397.572
556.884	79.974	400.947	-442.319	50.730	397.545
556.883	79.968	400.947	-442.314	50.727	397.573
556.868	79.982	400.940	-442.310	50.736	397.554
556.868	79.982	400.940	-442.305	50.753	397.579
556.873	79.987	400.954	-442.306	50.753	397.580
556.867	80.002	400.938	-442.303	50.789	397.560
556.865	80.002	400.936	-442.303	50.783	397.561
556.857	80.008	400.946	-442.305	50.803	397.561
556.856	80.001	400.946	-442.291	50.812	397.550
556.857	80.008	400.946	-442.292	50.818	397.550
556.851	80.009	400.931	-442.292	50.818	397.550
556.851	80.023	400.930	-442.280	50.834	397.540
556.847	80.013	400.954	-442.279	50.841	397.539
556.840	80.022	400.938	-442.280	50.847	397.540
556.841	80.029	400.938	-442.271	50.847	397.548
556.841	80.035	400.939	-442.271	50.854	397.547
556.840	80.035	400.937	-442.271	50.847	397.548
556.831	80.041	400.947	-442.270	50.860	397.546
556.831	80.041	400.947	-442.268	50.863	397.529
556.825	80.043	400.932	-442.256	50.856	397.536
556.825	80.043	400.932	-442.256	50.856	397.536
556.831	80.041	400.947	-442.267	50.863	397.528
556.816	80.041	400.941	-442.271	50.854	397.547
556.817	80.048	400.942	-442.257	50.862	397.536
