NO_OF_FRAMES	2810
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:23:44.476	118505.86708780
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
591.216	80.899	401.196	-487.901	49.638	397.730
591.202	80.913	401.190	-487.910	49.652	397.720
591.211	80.908	401.181	-487.913	49.672	397.721
591.207	80.905	401.205	-487.903	49.665	397.729
591.207	80.918	401.205	-487.903	49.671	397.729
591.211	80.914	401.181	-487.900	49.681	397.710
591.202	80.927	401.190	-487.904	49.685	397.729
591.216	80.926	401.197	-487.892	49.693	397.719
591.202	80.933	401.191	-487.887	49.704	397.745
591.207	80.931	401.207	-487.894	49.713	397.719
591.211	80.934	401.182	-487.884	49.713	397.727
591.207	80.938	401.207	-487.885	49.726	397.726
591.202	80.940	401.192	-487.886	49.726	397.728
591.203	80.933	401.193	-487.867	49.739	397.742
591.202	80.946	401.192	-487.863	49.741	397.723
591.208	80.937	401.209	-487.867	49.745	397.742
591.203	80.933	401.193	-487.855	49.748	397.732
591.203	80.939	401.194	-487.845	49.747	397.740
591.202	80.940	401.192	-487.849	49.744	397.759
591.208	80.931	401.209	-487.837	49.760	397.748
591.208	80.931	401.209	-487.830	49.764	397.774
591.208	80.931	401.209	-487.834	49.769	397.729
591.213	80.929	401.225	-487.838	49.767	397.748
591.217	80.925	401.199	-487.828	49.773	397.755
591.222	80.924	401.215	-487.825	49.769	397.738
591.218	80.919	401.200	-487.815	49.755	397.747
591.218	80.912	401.199	-487.815	49.762	397.745
591.217	80.919	401.198	-487.815	49.762	397.745
591.216	80.912	401.197	-487.805	49.748	397.754
591.217	80.906	401.198	-487.815	49.755	397.747
591.209	80.884	401.207	-487.801	49.750	397.736
591.223	80.890	401.215	-487.801	49.737	397.736
591.226	80.887	401.187	-487.804	49.734	397.755
591.207	80.878	401.204	-487.788	49.725	397.726
591.222	80.858	401.211	-487.799	49.724	397.735
591.222	80.858	401.211	-487.799	49.717	397.736
591.216	80.853	401.194	-487.798	49.697	397.737
591.216	80.853	401.194	-487.793	49.686	397.717
591.217	80.840	401.194	-487.795	49.677	397.735
591.218	80.833	401.196	-487.782	49.666	397.725
591.212	80.835	401.178	-487.780	49.652	397.724
591.218	80.826	401.195	-487.787	49.633	397.715
591.217	80.820	401.194	-487.788	49.626	397.716
591.221	80.823	401.169	-487.776	49.606	397.723
591.228	80.807	401.188	-487.784	49.600	397.714
591.228	80.801	401.187	-487.777	49.570	397.742
591.229	80.794	401.188	-487.775	49.557	397.741
591.229	80.787	401.187	-487.781	49.546	397.715
591.235	80.778	401.204	-487.773	49.523	397.742
591.230	80.773	401.190	-487.763	49.502	397.752
591.222	80.759	401.199	-487.762	49.489	397.751
591.236	80.758	401.206	-487.760	49.462	397.752
591.236	80.752	401.205	-487.769	49.456	397.744
591.236	80.745	401.204	-487.761	49.433	397.771
591.241	80.743	401.220	-487.771	49.427	397.764
591.237	80.738	401.206	-487.760	49.399	397.773
591.237	80.738	401.206	-487.760	49.386	397.774
591.236	80.732	401.205	-487.759	49.379	397.773
591.237	80.718	401.205	-487.756	49.354	397.757
591.241	80.723	401.220	-487.758	49.338	397.777
591.242	80.716	401.221	-487.749	49.311	397.788
591.238	80.711	401.206	-487.755	49.321	397.760
591.238	80.705	401.206	-487.741	49.296	397.750
591.237	80.712	401.204	-487.757	49.298	397.778
591.244	80.689	401.222	-487.753	49.280	397.761
591.238	80.691	401.206	-487.743	49.266	397.770
591.238	80.691	401.206	-487.741	49.253	397.769
