NO_OF_FRAMES	1865
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:51:36.784	120178.17229060
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
533.656	79.258	400.751	-471.330	49.964	397.668
533.602	79.258	400.740	-471.348	49.994	397.633
533.539	79.257	400.741	-471.350	49.985	397.651
533.492	79.255	400.748	-471.350	49.992	397.650
533.437	79.255	400.737	-471.349	49.979	397.651
533.384	79.255	400.729	-471.349	49.985	397.650
533.322	79.254	400.729	-471.346	49.995	397.632
533.253	79.255	400.713	-471.349	49.979	397.651
533.196	79.245	400.728	-471.340	49.985	397.658
533.134	79.244	400.729	-471.340	49.978	397.659
533.071	79.236	400.729	-471.350	49.985	397.651
532.998	79.241	400.736	-471.350	49.992	397.650
532.931	79.235	400.722	-471.350	49.992	397.650
532.868	79.240	400.722	-471.341	49.985	397.660
532.812	79.224	400.739	-471.351	49.992	397.652
532.758	79.231	400.729	-471.350	49.985	397.651
532.694	79.236	400.729	-471.351	49.992	397.652
532.641	79.230	400.719	-471.347	50.008	397.631
532.579	79.228	400.720	-471.338	49.987	397.643
532.524	79.235	400.710	-471.351	49.992	397.652
532.468	79.232	400.726	-471.342	49.991	397.660
532.399	79.240	400.711	-471.350	49.992	397.650
532.337	79.238	400.711	-471.351	49.992	397.652
532.279	79.236	400.726	-471.351	49.999	397.651
532.218	79.227	400.728	-471.351	49.992	397.652
532.145	79.225	400.736	-471.350	50.006	397.650
532.083	79.224	400.737	-471.354	49.989	397.670
532.019	79.223	400.736	-471.351	49.999	397.651
531.957	79.222	400.736	-471.337	50.015	397.638
531.910	79.226	400.744	-471.338	50.021	397.639
531.857	79.227	400.735	-471.341	49.998	397.659
531.792	79.232	400.733	-471.347	50.008	397.631
531.739	79.226	400.724	-471.338	50.008	397.639
531.670	79.233	400.708	-471.341	50.012	397.657
531.614	79.237	400.725	-471.347	50.008	397.631
531.550	79.242	400.725	-471.341	50.012	397.657
531.481	79.250	400.709	-471.345	50.009	397.677
531.423	79.241	400.723	-471.338	50.001	397.640
531.361	79.233	400.723	-471.341	49.998	397.659
531.297	79.252	400.722	-471.352	50.012	397.652
531.225	79.243	400.732	-471.342	50.012	397.658
531.162	79.248	400.732	-471.342	50.012	397.658
531.108	79.255	400.722	-471.342	50.005	397.659
531.055	79.255	400.714	-471.343	50.018	397.659
530.991	79.261	400.713	-471.346	50.002	397.678
530.937	79.268	400.704	-471.343	50.011	397.660
530.890	79.273	400.711	-471.340	50.014	397.641
530.822	79.266	400.696	-471.343	50.018	397.659
530.765	79.257	400.711	-471.352	50.012	397.652
530.702	79.269	400.712	-471.352	50.012	397.652
530.630	79.260	400.722	-471.352	49.992	397.653
530.568	79.265	400.723	-471.352	50.012	397.652
530.498	79.273	400.706	-471.352	50.012	397.652
530.435	79.265	400.706	-471.362	50.012	397.643
530.366	79.272	400.690	-471.363	50.012	397.645
530.318	79.277	400.696	-471.365	50.010	397.662
530.250	79.278	400.682	-471.362	49.999	397.645
530.196	79.285	400.672	-471.346	50.010	397.616
530.139	79.282	400.688	-471.362	50.006	397.644
530.079	79.291	400.663	-471.361	49.999	397.644
530.017	79.289	400.664	-471.362	49.999	397.645
529.959	79.286	400.679	-471.364	49.983	397.663
529.906	79.286	400.670	-471.361	49.986	397.644
529.834	79.291	400.680	-471.359	49.986	397.643
529.771	79.283	400.680	-471.359	49.979	397.643
529.705	79.272	400.705	-471.360	49.972	397.645
529.643	79.277	400.706	-471.363	49.963	397.663
529.585	79.274	400.721	-471.352	49.963	397.670
529.524	79.266	400.723	-471.351	49.949	397.671
529.469	79.266	400.713	-471.361	49.950	397.662
529.416	79.266	400.704	-471.360	49.943	397.662
529.361	79.256	400.721	-471.356	49.932	397.644
529.306	79.263	400.712	-471.359	49.929	397.662
529.244	79.255	400.712	-471.345	49.911	397.652
529.190	79.255	400.704	-471.353	49.912	397.643
529.128	79.248	400.704	-471.343	49.898	397.652
529.060	79.248	400.690	-471.344	49.905	397.652
528.997	79.240	400.690	-471.344	49.885	397.654
528.925	79.231	400.700	-471.343	49.898	397.652
528.862	79.237	400.699	-471.349	49.881	397.626
528.799	79.222	400.699	-471.342	49.878	397.652
528.737	79.227	400.701	-471.341	49.865	397.652
528.669	79.221	400.686	-471.341	49.865	397.652
528.621	79.219	400.693	-471.338	49.854	397.636
528.567	79.226	400.683	-471.338	49.847	397.635
528.514	79.226	400.675	-471.342	49.851	397.654
528.451	79.219	400.675	-471.338	49.854	397.636
528.403	79.210	400.681	-471.351	49.858	397.645
528.341	79.202	400.681	-471.337	49.840	397.635
528.284	79.199	400.698	-471.340	49.838	397.653
528.214	79.193	400.681	-471.337	49.834	397.636
528.157	79.184	400.696	-471.340	49.824	397.654
528.087	79.168	400.707	-471.336	49.827	397.636
528.023	79.166	400.706	-471.337	49.834	397.636
527.962	79.158	400.709	-471.336	49.820	397.637
527.901	79.160	400.683	-471.325	49.813	397.643
527.845	79.151	400.699	-471.325	49.813	397.643
527.801	79.145	400.682	-471.312	49.802	397.633
527.733	79.146	400.668	-471.321	49.809	397.624
527.680	79.146	400.660	-471.321	49.809	397.624
527.626	79.139	400.650	-471.311	49.809	397.632
527.564	79.124	400.652	-471.311	49.809	397.632
527.501	79.123	400.651	-471.311	49.795	397.633
527.439	79.109	400.653	-471.311	49.809	397.632
527.376	79.094	400.652	-471.310	49.802	397.632
527.313	79.086	400.652	-471.302	49.808	397.641
527.242	79.077	400.662	-471.302	49.808	397.641
527.179	79.069	400.663	-471.299	49.824	397.621
