NO_OF_FRAMES	1878
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:48:53.408	120014.79636720
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
590.643	80.928	401.211	-459.942	50.212	397.594
590.643	80.935	401.212	-459.953	50.226	397.587
590.643	80.935	401.212	-459.943	50.225	397.595
590.643	80.935	401.212	-459.953	50.219	397.588
590.648	80.926	401.227	-459.953	50.219	397.588
590.643	80.935	401.212	-459.956	50.230	397.604
590.643	80.928	401.211	-459.953	50.226	397.587
590.643	80.935	401.212	-459.953	50.219	397.588
590.643	80.928	401.211	-459.953	50.219	397.588
590.643	80.928	401.211	-459.953	50.226	397.587
590.649	80.919	401.228	-459.952	50.219	397.586
590.643	80.928	401.211	-459.955	50.216	397.605
590.644	80.921	401.212	-459.952	50.219	397.586
590.644	80.921	401.212	-459.955	50.216	397.605
590.650	80.906	401.228	-459.952	50.219	397.586
590.648	80.926	401.227	-459.951	50.205	397.587
590.649	80.913	401.227	-459.951	50.205	397.587
590.650	80.912	401.229	-459.941	50.198	397.595
590.658	80.901	401.219	-459.950	50.199	397.586
590.658	80.914	401.218	-459.941	50.198	397.595
590.650	80.906	401.228	-459.941	50.198	397.595
590.649	80.899	401.228	-459.941	50.191	397.596
590.655	80.897	401.243	-459.951	50.212	397.586
590.649	80.899	401.228	-459.944	50.209	397.611
590.649	80.899	401.228	-459.950	50.199	397.586
590.657	80.901	401.217	-459.937	50.187	397.577
590.657	80.908	401.217	-459.950	50.185	397.587
590.652	80.903	401.201	-459.947	50.195	397.569
590.657	80.901	401.217	-459.947	50.188	397.570
590.658	80.888	401.217	-459.951	50.192	397.587
590.658	80.894	401.218	-459.951	50.192	397.587
590.657	80.901	401.217	-459.951	50.185	397.588
590.663	80.892	401.234	-459.941	50.178	397.596
590.649	80.886	401.226	-459.947	50.188	397.570
590.658	80.888	401.217	-459.947	50.195	397.569
590.651	80.890	401.199	-459.943	50.177	397.552
590.659	80.881	401.218	-459.947	50.181	397.570
590.658	80.874	401.217	-459.947	50.167	397.572
590.658	80.881	401.216	-459.948	50.181	397.571
590.657	80.888	401.215	-459.946	50.168	397.570
590.653	80.890	401.201	-459.956	50.175	397.562
590.653	80.890	401.201	-459.946	50.174	397.569
590.658	80.888	401.217	-459.942	50.170	397.552
590.658	80.888	401.217	-459.947	50.174	397.571
590.654	80.883	401.202	-459.946	50.174	397.569
590.649	80.893	401.227	-459.950	50.165	397.589
590.658	80.888	401.217	-459.949	50.179	397.587
590.653	80.890	401.201	-459.946	50.174	397.569
590.659	80.887	401.219	-459.939	50.165	397.596
590.644	80.895	401.211	-459.945	50.188	397.567
590.650	80.886	401.228	-459.937	50.187	397.577
590.648	80.906	401.226	-459.947	50.181	397.570
590.642	80.915	401.209	-459.940	50.185	397.595
590.643	80.908	401.210	-459.947	50.195	397.569
590.643	80.915	401.211	-459.949	50.199	397.585
590.648	80.906	401.226	-459.938	50.194	397.577
590.643	80.922	401.210	-459.950	50.199	397.586
590.643	80.928	401.211	-459.951	50.212	397.586
590.643	80.922	401.210	-459.942	50.212	397.594
590.643	80.928	401.211	-459.955	50.230	397.603
590.643	80.915	401.211	-459.952	50.219	397.586
590.649	80.919	401.228	-459.952	50.219	397.586
590.643	80.928	401.211	-459.953	50.219	397.588
590.644	80.921	401.212	-459.943	50.212	397.596
590.649	80.913	401.227	-459.944	50.218	397.596
590.649	80.913	401.227	-459.953	50.226	397.587
590.648	80.920	401.226	-459.939	50.221	397.576
590.649	80.913	401.227	-459.953	50.219	397.588
590.643	80.922	401.210	-459.944	50.218	397.596
590.648	80.920	401.226	-459.945	50.225	397.596
590.647	80.913	401.225	-459.954	50.232	397.587
590.647	80.907	401.224	-459.944	50.218	397.596
590.642	80.915	401.209	-459.944	50.232	397.595
590.642	80.909	401.208	-459.945	50.225	397.596
590.647	80.913	401.225	-459.941	50.234	397.577
590.647	80.913	401.225	-459.951	50.221	397.571
590.647	80.913	401.225	-459.945	50.238	397.596
590.647	80.907	401.224	-459.941	50.234	397.577
590.647	80.907	401.224	-459.941	50.227	397.578
590.647	80.907	401.224	-459.944	50.232	397.595
590.647	80.907	401.224	-459.943	50.225	397.595
590.656	80.908	401.215	-459.944	50.232	397.595
590.647	80.900	401.223	-459.943	50.225	397.595
590.656	80.901	401.214	-459.943	50.225	397.595
590.647	80.900	401.223	-459.944	50.218	397.596
590.648	80.887	401.224	-459.940	50.207	397.578
590.657	80.888	401.215	-459.939	50.214	397.577
590.642	80.902	401.208	-459.949	50.208	397.570
590.651	80.903	401.199	-459.935	50.203	397.559
590.651	80.890	401.199	-459.939	50.201	397.578
590.642	80.882	401.207	-459.936	50.190	397.561
590.643	80.882	401.209	-459.938	50.180	397.579
590.642	80.876	401.206	-459.935	50.183	397.561
590.642	80.876	401.206	-459.935	50.190	397.560
590.648	80.867	401.223	-459.935	50.163	397.563
590.633	80.861	401.216	-459.934	50.176	397.561
590.657	80.875	401.215	-459.938	50.174	397.579
590.641	80.883	401.205	-459.930	50.179	397.542
590.648	80.867	401.223	-459.930	50.159	397.544
590.648	80.867	401.223	-459.932	50.156	397.561
590.648	80.873	401.224	-459.934	50.156	397.562
590.657	80.888	401.215	-459.923	50.149	397.570
590.643	80.869	401.208	-459.930	50.145	397.544
590.648	80.867	401.223	-459.919	50.138	397.552
590.649	80.886	401.226	-459.922	50.136	397.569
590.644	80.888	401.210	-459.921	50.142	397.568
590.665	80.872	401.235	-459.917	50.132	397.550
590.655	80.884	401.244	-459.910	50.149	397.574
590.659	80.881	401.218	-459.924	50.133	397.586
590.651	80.879	401.229	-459.910	50.135	397.575
590.655	80.884	401.244	-459.919	50.136	397.566
590.651	80.886	401.230	-459.919	50.143	397.565
590.656	80.884	401.246	-459.910	50.142	397.574
590.656	80.877	401.245	-459.919	50.136	397.566
590.651	80.886	401.230	-459.910	50.142	397.574
590.651	80.886	401.230	-459.910	50.142	397.574
590.651	80.886	401.230	-459.910	50.142	397.574
590.651	80.886	401.230	-459.900	50.135	397.583
590.656	80.877	401.245	-459.900	50.135	397.583
590.651	80.886	401.230	-459.897	50.138	397.565
590.650	80.893	401.229	-459.900	50.135	397.583
590.656	80.877	401.245	-459.898	50.137	397.566
590.655	80.884	401.244	-459.901	50.148	397.583
590.650	80.886	401.228	-459.899	50.144	397.567
590.650	80.879	401.227	-459.902	50.155	397.583
590.655	80.884	401.244	-459.900	50.151	397.567
590.659	80.887	401.219	-459.893	50.161	397.592
590.659	80.881	401.218	-459.900	50.157	397.566
590.658	80.874	401.217	-459.901	50.177	397.566
590.649	80.866	401.226	-459.891	50.163	397.575
590.658	80.874	401.217	-459.901	50.177	397.566
590.653	80.876	401.202	-459.897	50.180	397.547
590.654	80.883	401.202	-459.905	50.188	397.584
590.644	80.862	401.209	-459.892	50.197	397.573
590.644	80.868	401.210	-459.892	50.190	397.574
590.659	80.867	401.219	-459.892	50.190	397.574
590.649	80.873	401.226	-459.884	50.197	397.582
590.649	80.866	401.226	-459.883	50.203	397.581
590.652	80.877	401.199	-459.884	50.197	397.582
590.649	80.860	401.225	-459.880	50.199	397.564
590.653	80.876	401.202	-459.875	50.209	397.590
590.648	80.873	401.224	-459.875	50.216	397.589
590.658	80.881	401.216	-459.875	50.223	397.590
590.657	80.888	401.215	-459.876	50.216	397.591
590.656	80.882	401.214	-459.862	50.232	397.579
590.657	80.888	401.215	-459.866	50.216	397.599
