NO_OF_FRAMES	2302
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:26:37.247	118678.63722930
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
590.667	80.917	401.249	-482.253	49.565	397.712
590.657	80.915	401.216	-482.266	49.579	397.706
590.662	80.899	401.232	-482.269	49.576	397.725
590.657	80.908	401.217	-482.278	49.577	397.717
590.666	80.916	401.207	-482.266	49.585	397.707
590.657	80.888	401.215	-482.267	49.579	397.708
590.657	80.895	401.216	-482.268	49.599	397.708
590.648	80.893	401.225	-482.268	49.605	397.707
590.657	80.888	401.215	-482.266	49.608	397.689
590.657	80.895	401.216	-482.266	49.608	397.689
590.657	80.888	401.215	-482.270	49.619	397.707
590.656	80.882	401.214	-482.269	49.612	397.707
590.642	80.889	401.208	-482.260	49.618	397.716
590.657	80.888	401.215	-482.251	49.618	397.724
590.658	80.888	401.217	-482.259	49.634	397.698
590.657	80.888	401.215	-482.248	49.627	397.706
590.658	80.881	401.216	-482.250	49.654	397.704
590.657	80.875	401.215	-482.244	49.644	397.732
590.667	80.882	401.207	-482.240	49.674	397.711
590.663	80.873	401.231	-482.231	49.646	397.722
590.672	80.874	401.222	-482.225	49.692	397.681
590.663	80.873	401.231	-482.229	49.682	397.701
590.662	80.866	401.230	-482.219	49.689	397.708
590.661	80.873	401.229	-482.220	49.695	397.709
590.663	80.873	401.231	-482.219	49.682	397.709
590.668	80.851	401.247	-482.216	49.712	397.688
590.662	80.866	401.230	-482.214	49.678	397.738
590.663	80.859	401.232	-482.197	49.711	397.704
590.669	80.850	401.249	-482.207	49.704	397.697
590.670	80.837	401.249	-482.201	49.701	397.724
590.670	80.830	401.248	-482.198	49.697	397.707
590.670	80.830	401.248	-482.198	49.697	397.707
590.670	80.830	401.248	-482.189	49.717	397.713
590.664	80.832	401.232	-482.188	49.703	397.714
590.678	80.825	401.238	-482.186	49.712	397.696
590.670	80.817	401.249	-482.188	49.723	397.712
590.665	80.819	401.233	-482.186	49.740	397.693
590.670	80.817	401.249	-482.186	49.733	397.694
590.665	80.812	401.232	-482.187	49.732	397.695
590.673	80.821	401.222	-482.187	49.732	397.695
590.673	80.827	401.223	-482.187	49.739	397.694
590.673	80.827	401.223	-482.184	49.742	397.676
590.674	80.814	401.223	-482.187	49.760	397.693
590.673	80.821	401.222	-482.190	49.764	397.710
590.673	80.821	401.222	-482.187	49.767	397.692
590.673	80.821	401.222	-482.187	49.767	397.692
590.673	80.821	401.222	-482.178	49.745	397.703
590.673	80.821	401.222	-482.188	49.766	397.693
590.673	80.814	401.221	-482.187	49.760	397.693
590.674	80.814	401.223	-482.188	49.759	397.694
590.673	80.814	401.221	-482.179	49.759	397.702
590.673	80.814	401.221	-482.185	49.762	397.676
590.674	80.807	401.222	-482.178	49.752	397.702
590.673	80.814	401.221	-482.179	49.739	397.704
590.674	80.807	401.222	-482.175	49.748	397.684
590.673	80.801	401.221	-482.175	49.728	397.686
590.674	80.807	401.222	-482.174	49.735	397.685
