NO_OF_FRAMES	1876
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:46:54.885	119896.27275890
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
566.388	80.233	401.036	-466.505	50.100	397.545
566.368	80.235	401.014	-466.530	50.091	397.551
566.360	80.227	401.025	-466.530	50.112	397.549
566.335	80.233	401.026	-466.531	50.105	397.550
566.331	80.228	401.012	-466.524	50.088	397.577
566.312	80.232	401.029	-466.524	50.108	397.576
566.297	80.233	401.022	-466.525	50.101	397.577
566.282	80.234	401.014	-466.521	50.124	397.557
566.269	80.234	401.009	-466.517	50.100	397.539
566.258	80.233	401.016	-466.517	50.120	397.538
566.245	80.227	401.011	-466.521	50.104	397.558
566.221	80.226	401.014	-466.520	50.097	397.558
566.211	80.232	401.022	-466.511	50.097	397.566
566.196	80.226	401.014	-466.510	50.090	397.566
566.188	80.231	401.024	-466.507	50.106	397.547
566.173	80.225	401.017	-466.510	50.097	397.565
566.158	80.225	401.010	-466.496	50.093	397.554
566.136	80.218	401.014	-466.500	50.069	397.576
566.126	80.217	401.021	-466.500	50.076	397.575
566.112	80.210	401.016	-466.497	50.072	397.557
566.097	80.218	401.008	-466.496	50.065	397.557
566.088	80.203	401.018	-466.500	50.049	397.577
566.065	80.202	401.021	-466.500	50.049	397.577
566.056	80.201	401.030	-466.499	50.049	397.576
566.041	80.202	401.023	-466.495	50.045	397.557
566.026	80.203	401.015	-466.499	50.029	397.578
566.009	80.200	401.035	-466.494	50.052	397.556
565.994	80.194	401.028	-466.484	50.038	397.565
565.979	80.201	401.020	-466.497	50.029	397.576
565.956	80.193	401.024	-466.494	50.032	397.558
565.941	80.201	401.016	-466.494	50.032	397.558
565.932	80.200	401.025	-466.494	50.032	397.558
565.918	80.193	401.020	-466.494	50.039	397.557
565.907	80.199	401.026	-466.487	50.022	397.584
565.893	80.206	401.020	-466.487	50.029	397.583
565.869	80.206	401.023	-466.495	50.032	397.559
565.855	80.206	401.016	-466.496	50.030	397.575
565.846	80.205	401.026	-466.497	50.029	397.576
565.830	80.219	401.019	-466.485	50.031	397.566
565.808	80.205	401.022	-466.487	50.022	397.584
565.799	80.203	401.031	-466.484	50.025	397.566
565.783	80.211	401.023	-466.474	50.038	397.572
565.769	80.211	401.017	-466.483	50.032	397.565
565.760	80.217	401.027	-466.488	50.036	397.583
565.745	80.217	401.020	-466.472	50.038	397.570
565.731	80.218	401.014	-466.474	50.024	397.574
565.707	80.217	401.016	-466.483	50.032	397.565
565.693	80.218	401.010	-466.474	50.024	397.574
565.684	80.216	401.019	-466.480	50.020	397.548
565.669	80.224	401.011	-466.481	50.034	397.547
565.654	80.224	401.005	-466.471	50.027	397.555
565.631	80.223	401.007	-466.474	50.024	397.574
565.622	80.215	401.018	-466.471	50.047	397.554
565.611	80.226	400.985	-466.471	50.040	397.555
565.592	80.230	401.002	-466.471	50.040	397.555
565.578	80.230	400.998	-466.470	50.056	397.537
565.564	80.231	400.991	-466.471	50.040	397.555
565.545	80.235	401.008	-466.472	50.054	397.554
565.530	80.236	401.002	-466.465	50.037	397.582
565.516	80.236	400.996	-466.463	50.046	397.564
565.506	80.242	401.003	-466.451	50.062	397.553
565.486	80.244	400.981	-466.454	50.052	397.572
565.478	80.243	400.992	-466.450	50.055	397.552
565.469	80.235	401.001	-466.450	50.069	397.552
565.444	80.241	401.002	-466.451	50.055	397.554
565.429	80.249	400.995	-466.441	50.075	397.559
565.416	80.249	400.990	-466.440	50.089	397.557
565.406	80.248	400.997	-466.438	50.077	397.542
565.391	80.248	400.991	-466.428	50.097	397.547
565.373	80.252	401.010	-466.428	50.097	397.547
565.358	80.246	401.003	-466.432	50.081	397.568
565.343	80.254	400.995	-466.423	50.074	397.577
565.329	80.254	400.988	-466.429	50.090	397.550
565.311	80.252	401.007	-466.419	50.104	397.556
565.302	80.237	401.016	-466.420	50.097	397.557
565.287	80.244	401.009	-466.417	50.113	397.538
565.263	80.237	401.010	-466.420	50.110	397.557
565.257	80.239	400.995	-466.411	50.110	397.565
565.239	80.230	401.012	-466.407	50.106	397.546
565.224	80.237	401.005	-466.408	50.099	397.548
565.209	80.238	400.998	-466.409	50.112	397.548
565.194	80.232	400.991	-466.408	50.099	397.548
565.176	80.229	401.009	-466.399	50.098	397.557
565.155	80.232	400.985	-466.413	50.096	397.568
