NO_OF_FRAMES	1717
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:09:02.604	117623.99684550
DATA_INCLUDED	3D
MARKER_NAMES	a
TRAJECTORY_TYPES	Measured
a X	a Y	a Z	
-415.221	52.343	397.566
-415.217	52.352	397.547
-415.223	52.356	397.567
-415.223	52.363	397.566
-415.223	52.356	397.567
-415.213	52.369	397.574
-415.214	52.369	397.575
-415.220	52.372	397.548
-415.220	52.379	397.549
-415.221	52.386	397.549
-415.215	52.383	397.574
-415.222	52.392	397.549
-415.212	52.406	397.556
-415.216	52.410	397.573
-415.212	52.406	397.556
-415.217	52.416	397.574
-415.207	52.416	397.582
-415.208	52.429	397.582
-415.209	52.443	397.581
-415.209	52.436	397.582
-415.209	52.436	397.582
-415.205	52.452	397.564
-415.210	52.463	397.581
-415.214	52.447	397.599
-415.210	52.450	397.582
-415.197	52.451	397.574
-415.201	52.463	397.590
-415.211	52.470	397.581
-415.211	52.470	397.581
-415.211	52.477	397.581
-415.211	52.477	397.581
-415.211	52.477	397.581
-415.201	52.463	397.590
-415.202	52.469	397.590
-415.201	52.476	397.589
-415.205	52.473	397.607
-415.212	52.476	397.582
-415.211	52.477	397.581
-415.202	52.462	397.591
-415.216	52.467	397.601
-415.212	52.476	397.582
-415.212	52.483	397.581
-415.213	52.483	397.582
-415.215	52.467	397.599
-415.212	52.483	397.581
-415.212	52.476	397.582
-415.211	52.470	397.581
-415.211	52.463	397.582
-415.211	52.463	397.582
-415.211	52.463	397.582
-415.210	52.456	397.582
-415.210	52.456	397.582
-415.210	52.450	397.582
-415.220	52.457	397.573
-415.224	52.454	397.591
-415.211	52.449	397.583
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.209	52.436	397.582
-415.210	52.450	397.582
-415.210	52.463	397.581
-415.214	52.447	397.599
-415.210	52.456	397.582
-415.210	52.456	397.582
-415.214	52.461	397.599
-415.210	52.463	397.581
-415.211	52.470	397.581
-415.211	52.463	397.582
-415.202	52.462	397.591
-415.212	52.476	397.582
-415.212	52.483	397.581
-415.212	52.476	397.582
-415.215	52.488	397.598
-415.213	52.490	397.581
-415.213	52.503	397.581
-415.212	52.497	397.580
-415.213	52.497	397.582
-415.218	52.508	397.599
-415.217	52.508	397.598
-415.219	52.521	397.598
-415.215	52.517	397.581
-415.218	52.514	397.598
-415.216	52.530	397.581
-415.215	52.524	397.581
-415.219	52.521	397.598
-415.219	52.535	397.598
-415.221	52.534	397.599
-415.219	52.541	397.597
-415.216	52.544	397.580
-415.216	52.551	397.580
-415.217	52.544	397.582
-415.217	52.557	397.580
-415.208	52.550	397.589
-415.218	52.557	397.581
-415.209	52.557	397.590
-415.208	52.563	397.589
-415.209	52.557	397.590
-415.205	52.559	397.572
-415.204	52.566	397.571
-415.195	52.565	397.580
-415.194	52.559	397.579
-415.194	52.552	397.580
-415.193	52.545	397.580
-415.183	52.531	397.589
-415.170	52.533	397.580
-415.135	52.507	397.587
-415.092	52.487	397.604
-415.035	52.476	397.611
-414.964	52.453	397.608
-414.887	52.420	397.632
-414.791	52.401	397.613
-414.678	52.386	397.626
-414.571	52.380	397.613
-414.441	52.362	397.601
-414.281	52.342	397.612
-414.114	52.320	397.589
-413.948	52.306	397.567
-413.767	52.308	397.578
-413.581	52.292	397.572
-413.377	52.281	397.583
-413.164	52.291	397.601
-412.942	52.285	397.585
-412.701	52.285	397.586
-412.456	52.294	397.569
-412.194	52.295	397.570
-411.935	52.300	397.588
-411.652	52.300	397.605
-411.357	52.314	397.569
-411.042	52.321	397.594
-410.732	52.332	397.592
-410.400	52.337	397.592
-410.067	52.356	397.588
-409.719	52.376	397.576
-409.360	52.399	397.556
-408.984	52.411	397.570
-408.606	52.426	397.568
-408.198	52.444	397.546
-407.796	52.460	397.543
-407.375	52.468	397.558
-406.934	52.473	397.545
-406.495	52.499	397.532
-406.030	52.487	397.563
-405.567	52.501	397.550
-405.071	52.495	397.548
-404.575	52.495	397.544
-404.073	52.507	397.565
-403.546	52.485	397.543
-403.006	52.465	397.557
-402.451	52.455	397.560
-401.874	52.459	397.563
-401.284	52.458	397.559
-400.685	52.456	397.564
-400.068	52.459	397.543
-399.462	52.461	397.573
-398.806	52.461	397.542
-398.164	52.446	397.566
-397.498	52.444	397.544
-396.821	52.452	397.559
-396.107	52.455	397.581
-395.412	52.460	397.572
-394.691	52.462	397.605
-393.938	52.483	397.602
-393.190	52.488	397.619
-392.408	52.519	397.598
-391.612	52.534	397.614
-390.793	52.553	397.600
-389.948	52.570	397.615
-389.090	52.602	397.621
-388.204	52.638	397.611
-387.317	52.661	397.645
