NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
287.608	72.677	398.785
289.257	72.707	398.805
290.916	72.741	398.792
292.587	72.786	398.807
294.235	72.829	398.835
295.874	72.872	398.853
297.555	72.951	398.868
299.206	72.977	398.856
300.871	73.021	398.874
302.518	73.070	398.892
304.184	73.105	398.925
305.822	73.136	398.934
307.486	73.201	398.938
309.160	73.284	398.911
310.815	73.312	398.932
312.459	73.339	398.965
314.111	73.398	398.965
315.778	73.462	398.970
317.441	73.518	398.993
319.099	73.580	399.015
320.752	73.650	399.028
322.415	73.680	399.033
324.065	73.732	399.024
325.712	73.763	399.068
327.361	73.852	399.091
329.055	73.931	399.089
330.722	74.018	399.071
332.362	74.039	399.088
334.010	74.061	399.146
335.653	74.114	399.120
337.345	74.217	399.133
339.004	74.297	399.117
340.649	74.327	399.161
342.284	74.380	399.192
343.931	74.422	399.193
345.628	74.498	399.207
347.297	74.599	399.172
348.932	74.656	399.216
350.575	74.694	399.251
352.221	74.744	399.240
353.906	74.799	399.254
355.561	74.884	399.240
357.237	74.966	399.297
358.878	75.025	399.321
360.517	75.054	399.312
362.184	75.100	399.335
363.836	75.169	399.334
365.497	75.285	399.328
367.145	75.337	399.355
368.781	75.377	399.360
370.452	75.429	399.386
372.100	75.482	399.397
373.737	75.513	399.411
375.396	75.614	399.421
377.043	75.669	399.415
378.682	75.721	399.423
380.346	75.768	399.428
381.993	75.805	399.458
383.620	75.882	399.484
385.270	75.930	399.522
386.904	75.965	399.508
388.550	76.013	399.496
390.211	76.036	399.517
391.841	76.073	399.534
393.458	76.136	399.563
395.097	76.183	399.603
396.743	76.208	399.608
398.361	76.239	399.557
400.019	76.270	399.569
401.653	76.299	399.591
403.278	76.343	399.600
404.888	76.373	399.661
406.529	76.426	399.708
408.160	76.440	399.679
409.795	76.473	399.664
411.436	76.481	399.693
413.058	76.525	399.691
414.690	76.544	399.737
416.311	76.574	399.795
417.929	76.631	399.791
419.548	76.651	399.765
421.203	76.652	399.789
422.817	76.699	399.764
424.456	76.706	399.792
426.091	76.729	399.845
427.694	76.783	399.865
429.307	76.815	399.844
430.943	76.843	399.855
432.582	76.870	399.879
434.206	76.874	399.867
435.845	76.900	399.898
437.461	76.931	399.940
439.073	76.959	399.946
440.704	77.009	399.936
442.341	77.057	399.952
443.982	77.077	399.975
445.621	77.099	399.972
447.244	77.125	399.994
448.848	77.154	400.040
450.465	77.181	400.054
452.075	77.232	400.030
453.719	77.257	400.058
455.358	77.294	400.048
457.003	77.321	400.056
458.629	77.365	400.087
460.252	77.390	400.108
461.874	77.432	400.106
463.498	77.482	400.082
465.136	77.505	400.127
466.769	77.552	400.135
468.393	77.590	400.156
470.000	77.624	400.201
471.617	77.656	400.214
473.252	77.724	400.211
474.886	77.745	400.210
476.522	77.797	400.222
478.141	77.846	400.259
479.759	77.895	400.298
481.390	77.927	400.307
483.022	78.002	400.294
484.667	78.050	400.287
486.302	78.072	400.319
487.907	78.125	400.317
489.506	78.188	400.340
491.132	78.244	400.365
492.800	78.297	400.370
494.431	78.341	400.388
496.050	78.381	400.380
497.664	78.427	400.424
499.284	78.461	400.461
500.901	78.547	400.461
502.557	78.615	400.439
504.185	78.656	400.474
505.817	78.708	400.527
507.429	78.745	400.534
509.050	78.799	400.566
510.718	78.879	400.564
512.351	78.936	400.576
513.949	78.994	400.565
515.558	79.046	400.559
517.181	79.100	400.590
518.812	79.175	400.614
520.465	79.241	400.600
522.089	79.276	400.614
523.699	79.320	400.663
525.324	79.380	400.695
526.948	79.451	400.694
528.599	79.525	400.666
530.199	79.591	400.644
531.823	79.629	400.689
533.446	79.659	400.736
535.071	79.719	400.761
536.715	79.787	400.773
538.359	79.859	400.760
539.966	79.912	400.785
541.582	79.932	400.805
543.196	79.991	400.826
544.823	80.061	400.819
546.481	80.153	400.800
548.098	80.196	400.846
549.714	80.232	400.892
551.347	80.264	400.923
552.960	80.317	400.936
554.602	80.404	400.900
556.236	80.424	400.906
557.844	80.470	400.924
559.461	80.512	400.974
561.086	80.572	400.981
562.711	80.632	400.992
564.370	80.686	400.997
565.980	80.721	401.044
567.594	80.744	401.072
569.221	80.779	401.069
570.835	80.825	401.076
572.472	80.884	401.084
574.137	80.936	401.107
575.762	80.949	401.156
577.354	80.970	401.151
578.967	80.990	401.144
580.585	81.041	401.158
582.216	81.085	401.182
583.858	81.146	401.172
585.480	81.174	401.211
587.086	81.206	401.214
588.707	81.204	401.222
590.349	81.211	401.265
591.987	81.269	401.271
593.622	81.321	401.276
595.230	81.347	401.272
596.841	81.371	401.283
598.456	81.392	401.314
600.086	81.418	401.358
601.734	81.446	401.389
603.364	81.481	401.412
605.006	81.521	401.402
606.596	81.542	401.423
608.212	81.574	401.418
609.839	81.592	401.412
611.471	81.597	401.465
613.108	81.660	401.471
614.739	81.685	401.462
616.360	81.711	401.503
617.965	81.735	401.499
619.579	81.753	401.490
621.204	81.803	401.488
622.842	81.841	401.529
624.485	81.868	401.558
626.104	81.893	401.591
627.725	81.915	401.601
629.325	81.953	401.587
630.942	81.982	401.591
632.584	82.042	401.610
634.232	82.084	401.621
635.842	82.120	401.666
637.468	82.135	401.726
639.082	82.160	401.757
640.712	82.205	401.728
642.334	82.255	401.717
643.985	82.288	401.735
