NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-538.993	50.202	397.036
-538.996	50.179	397.059
-538.993	50.223	397.034
-538.982	50.204	397.027
-538.981	50.239	397.020
-538.994	50.222	397.036
-538.987	50.226	397.062
-538.982	50.252	397.022
-538.985	50.242	397.042
-538.984	50.242	397.040
-538.986	50.249	397.043
-538.986	50.249	397.043
-538.986	50.256	397.041
-538.975	50.237	397.035
-538.967	50.255	397.057
-538.975	50.237	397.035
-538.975	50.257	397.032
-538.975	50.278	397.030
-538.973	50.246	397.015
-538.986	50.278	397.024
-538.975	50.271	397.031
-538.974	50.300	397.010
-538.977	50.298	397.030
-538.976	50.298	397.028
-538.976	50.291	397.029
-538.986	50.291	397.023
-538.988	50.302	397.040
-538.978	50.288	397.048
-538.977	50.282	397.048
-538.975	50.280	397.014
-538.976	50.298	397.028
-538.976	50.298	397.028
-538.978	50.282	397.050
-538.975	50.264	397.031
-538.975	50.285	397.029
-538.975	50.292	397.027
-538.984	50.299	397.018
-538.982	50.281	397.003
-538.977	50.255	397.051
-538.975	50.264	397.031
-538.969	50.270	396.992
-538.975	50.237	397.035
-538.986	50.249	397.043
-538.979	50.238	397.071
-538.973	50.237	397.032
-538.976	50.235	397.051
-538.976	50.201	397.056
-538.995	50.195	397.041
-538.983	50.197	397.029
-538.975	50.194	397.055
-538.975	50.194	397.055
-538.972	50.190	397.035
-538.986	50.219	397.062
-538.993	50.182	397.040
-538.982	50.209	397.041
-538.983	50.195	397.045
-538.981	50.191	397.027
-538.981	50.177	397.028
-538.974	50.213	397.066
-538.976	50.201	397.003
-538.982	50.189	397.043
-538.982	50.229	397.039
-538.982	50.182	397.044
-538.982	50.195	397.044
