NO_OF_FRAMES	1940
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:44:06.096	134127.43315690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
225.613	235.142	-15.506	192.237	256.518	-15.837	291.102	51.739	-14.527	267.787	19.892	-14.495	220.259	278.872	-15.629	305.428	12.163	-14.174
225.576	235.120	-15.500	192.209	256.491	-15.846	291.102	51.746	-14.527	267.769	19.900	-14.494	220.222	278.836	-15.654	305.427	12.179	-14.206
225.561	235.087	-15.496	192.193	256.443	-15.842	291.101	51.747	-14.559	267.778	19.892	-14.510	220.213	278.768	-15.667	305.436	12.170	-14.190
225.535	235.042	-15.507	192.167	256.398	-15.852	291.110	51.747	-14.544	267.778	19.892	-14.510	220.190	278.710	-15.646	305.419	12.155	-14.189
225.508	235.020	-15.518	192.131	256.354	-15.876	291.093	51.746	-14.542	267.778	19.892	-14.510	220.162	278.681	-15.657	305.427	12.164	-14.206
225.503	234.970	-15.500	192.114	256.279	-15.870	291.102	51.746	-14.527	267.778	19.892	-14.510	220.133	278.646	-15.667	305.427	12.164	-14.206
225.472	234.911	-15.494	192.080	256.231	-15.863	291.110	51.747	-14.544	267.778	19.892	-14.510	220.112	278.614	-15.695	305.427	12.172	-14.206
225.436	234.843	-15.487	192.066	256.203	-15.892	291.110	51.747	-14.544	267.778	19.899	-14.510	220.076	278.545	-15.687	305.427	12.164	-14.206
225.411	234.787	-15.466	192.049	256.171	-15.888	291.100	51.749	-14.559	267.778	19.892	-14.510	220.060	278.519	-15.684	305.427	12.172	-14.206
225.393	234.749	-15.462	192.015	256.138	-15.881	291.100	51.756	-14.559	267.768	19.901	-14.525	220.039	278.508	-15.713	305.427	12.179	-14.206
225.358	234.703	-15.455	191.989	256.071	-15.890	291.101	51.747	-14.559	267.786	19.908	-14.527	220.007	278.474	-15.707	305.427	12.172	-14.206
225.323	234.626	-15.448	191.973	256.029	-15.886	291.092	51.755	-14.543	267.785	19.910	-14.527	219.974	278.448	-15.701	305.427	12.172	-14.206
225.315	234.586	-15.430	191.946	255.993	-15.896	291.110	51.755	-14.544	267.786	19.901	-14.527	219.978	278.375	-15.700	305.427	12.172	-14.206
225.290	234.562	-15.441	191.920	255.941	-15.905	291.110	51.755	-14.544	267.785	19.904	-14.528	219.955	278.346	-15.680	305.427	12.172	-14.206
225.271	234.533	-15.438	191.907	255.866	-15.901	291.100	51.756	-14.559	267.778	19.894	-14.510	219.940	278.297	-15.676	305.427	12.172	-14.206
225.254	234.500	-15.434	191.872	255.826	-15.894	291.110	51.755	-14.544	267.777	19.910	-14.511	219.904	278.285	-15.702	305.417	12.188	-14.221
225.235	234.482	-15.463	191.858	255.761	-15.890	291.100	51.764	-14.559	267.786	19.916	-14.527	219.881	278.241	-15.682	305.427	12.172	-14.206
225.219	234.440	-15.459	191.842	255.704	-15.886	291.100	51.756	-14.559	267.777	19.910	-14.511	219.867	278.199	-15.678	305.427	12.172	-14.206
225.204	234.399	-15.456	191.817	255.665	-15.896	291.109	51.764	-14.545	267.786	19.917	-14.527	219.861	278.153	-15.692	305.426	12.181	-14.206
225.186	234.360	-15.452	191.790	255.628	-15.906	291.109	51.764	-14.545	267.777	19.910	-14.511	219.827	278.120	-15.686	305.426	12.181	-14.206
225.170	234.320	-15.449	191.773	255.574	-15.901	291.100	51.764	-14.559	267.777	19.909	-14.511	219.819	278.063	-15.667	305.427	12.172	-14.206
225.142	234.288	-15.491	191.748	255.535	-15.911	291.100	51.764	-14.559	267.777	19.918	-14.511	219.792	277.988	-15.677	305.418	12.173	-14.221
225.139	234.219	-15.473	191.714	255.502	-15.904	291.100	51.749	-14.559	267.777	19.903	-14.511	219.774	277.927	-15.673	305.427	12.173	-14.206
225.122	234.166	-15.469	191.697	255.448	-15.899	291.109	51.764	-14.545	267.769	19.908	-14.494	219.767	277.862	-15.654	305.427	12.172	-14.206
225.108	234.107	-15.466	191.672	255.407	-15.877	291.109	51.748	-14.544	267.768	19.910	-14.525	219.742	277.789	-15.633	305.427	12.172	-14.206
225.102	234.049	-15.447	191.644	255.365	-15.887	291.109	51.757	-14.545	267.777	19.903	-14.511	219.724	277.728	-15.628	305.427	12.172	-14.206
225.050	233.963	-15.453	191.618	255.335	-15.897	291.109	51.748	-14.544	267.767	19.918	-14.526	219.708	277.665	-15.624	305.418	12.172	-14.190
225.038	233.902	-15.450	191.600	255.275	-15.891	291.109	51.757	-14.545	267.777	19.903	-14.511	219.679	277.629	-15.634	305.418	12.174	-14.190
225.027	233.825	-15.446	191.574	255.251	-15.902	291.091	51.750	-14.543	267.777	19.903	-14.511	219.661	277.568	-15.630	305.427	12.166	-14.206
225.018	233.795	-15.460	191.547	255.215	-15.912	291.100	51.749	-14.528	267.768	19.904	-14.495	219.634	277.509	-15.640	305.418	12.166	-14.221
224.999	233.783	-15.488	191.535	255.181	-15.877	291.100	51.749	-14.528	267.768	19.911	-14.495	219.619	277.476	-15.636	305.426	12.175	-14.207
224.984	233.749	-15.485	191.510	255.142	-15.888	291.109	51.750	-14.545	267.768	19.904	-14.495	219.586	277.451	-15.630	305.418	12.165	-14.190
224.968	233.716	-15.482	191.489	255.058	-15.880	291.100	51.742	-14.529	267.768	19.904	-14.495	219.559	277.421	-15.641	305.418	12.165	-14.190
224.935	233.648	-15.491	191.463	255.012	-15.890	291.100	51.751	-14.529	267.768	19.904	-14.495	219.536	277.381	-15.653	305.418	12.165	-14.190
224.919	233.617	-15.488	191.437	254.965	-15.868	291.100	51.751	-14.529	267.768	19.904	-14.495	219.500	277.363	-15.678	305.418	12.174	-14.190
224.901	233.579	-15.484	191.413	254.914	-15.846	291.100	51.758	-14.529	267.776	19.913	-14.512	219.476	277.335	-15.657	305.426	12.175	-14.207
