NO_OF_FRAMES	1934
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:46:09.642	134250.97948690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
230.645	248.985	-15.386	317.571	36.097	-14.284	261.239	274.401	-15.387	333.751	-2.751	-13.849	295.880	3.196	-14.230	218.217	283.031	-15.666
230.645	249.001	-15.386	317.561	36.114	-14.300	261.217	274.429	-15.417	333.750	-2.734	-13.881	295.862	3.205	-14.260	218.215	283.098	-15.699
230.633	249.014	-15.401	317.561	36.114	-14.300	261.217	274.430	-15.417	333.760	-2.728	-13.865	295.871	3.189	-14.245	218.209	283.099	-15.683
230.643	249.018	-15.387	317.570	36.114	-14.285	261.227	274.429	-15.402	333.750	-2.734	-13.881	295.862	3.197	-14.229	218.216	283.089	-15.699
230.633	249.014	-15.401	317.561	36.107	-14.300	261.218	274.438	-15.417	333.759	-2.725	-13.897	295.871	3.198	-14.246	218.207	283.094	-15.682
230.631	249.031	-15.401	317.560	36.101	-14.300	261.227	274.428	-15.402	333.759	-2.719	-13.897	295.862	3.205	-14.230	218.206	283.088	-15.682
230.631	249.031	-15.401	317.560	36.131	-14.301	261.215	274.430	-15.417	333.750	-2.724	-13.882	295.862	3.206	-14.230	218.203	283.118	-15.713
230.629	249.033	-15.401	317.550	36.111	-14.316	261.215	274.447	-15.417	333.741	-2.724	-13.897	295.861	3.199	-14.261	218.205	283.103	-15.682
230.630	249.024	-15.401	317.550	36.119	-14.317	261.214	274.440	-15.417	333.740	-2.715	-13.897	295.861	3.215	-14.262	218.201	283.120	-15.713
230.620	249.039	-15.384	317.549	36.127	-14.317	261.205	274.459	-15.432	333.740	-2.715	-13.897	295.843	3.216	-14.261	218.202	283.126	-15.713
