NO_OF_FRAMES	2017
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:39:17.517	133838.85484300
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
195.361	208.025	-15.677	320.925	50.934	-14.193	218.865	175.682	-15.350	184.401	165.285	-15.550	311.352	9.920	-14.257	284.046	36.637	-14.392
195.336	207.992	-15.687	320.916	50.934	-14.208	218.828	175.646	-15.375	184.367	165.237	-15.542	311.352	9.907	-14.258	284.027	36.662	-14.423
195.310	207.969	-15.698	320.916	50.935	-14.208	218.803	175.607	-15.386	184.350	165.199	-15.537	311.351	9.929	-14.289	284.045	36.647	-14.424
195.287	207.910	-15.676	320.915	50.943	-14.209	218.788	175.543	-15.382	184.324	165.154	-15.547	311.360	9.922	-14.274	284.027	36.647	-14.422
195.263	207.878	-15.687	320.924	50.944	-14.225	218.762	175.512	-15.393	184.306	165.109	-15.542	311.352	9.913	-14.258	284.027	36.646	-14.422
195.246	207.845	-15.683	320.925	50.934	-14.193	218.737	175.465	-15.403	184.273	165.068	-15.535	311.360	9.923	-14.274	284.027	36.653	-14.422
195.242	207.785	-15.665	320.916	50.950	-14.209	218.722	175.415	-15.399	184.247	165.038	-15.545	311.352	9.929	-14.258	284.036	36.646	-14.408
195.230	207.731	-15.661	320.915	50.951	-14.209	218.696	175.379	-15.410	184.224	164.996	-15.523	311.360	9.922	-14.274	284.036	36.653	-14.407
195.228	207.637	-15.643	320.915	50.943	-14.209	218.670	175.338	-15.389	184.198	164.956	-15.533	311.360	9.922	-14.274	284.036	36.653	-14.407
195.180	207.592	-15.648	320.915	50.958	-14.209	218.632	175.260	-15.381	184.166	164.906	-15.525	311.360	9.922	-14.274	284.027	36.662	-14.423
195.174	207.541	-15.630	320.915	50.958	-14.209	218.616	175.220	-15.378	184.141	164.873	-15.503	311.352	9.929	-14.258	284.027	36.662	-14.423
195.146	207.484	-15.639	320.906	50.950	-14.224	218.590	175.190	-15.389	184.116	164.833	-15.513	311.352	9.929	-14.258	284.044	36.662	-14.424
195.121	207.452	-15.650	320.915	50.965	-14.209	218.564	175.159	-15.399	184.092	164.806	-15.491	311.352	9.929	-14.258	284.027	36.675	-14.422
195.104	207.404	-15.645	320.915	50.965	-14.209	218.549	175.126	-15.396	184.066	164.761	-15.501	311.352	9.929	-14.258	284.027	36.681	-14.422
195.087	207.360	-15.641	320.916	50.957	-14.209	218.523	175.102	-15.407	184.048	164.694	-15.496	311.352	9.935	-14.258	284.037	36.672	-14.407
195.060	207.323	-15.651	320.915	50.965	-14.209	218.497	175.040	-15.385	184.032	164.647	-15.491	311.361	9.943	-14.274	284.037	36.672	-14.407
195.033	207.270	-15.660	320.915	50.972	-14.209	218.471	175.009	-15.396	183.997	164.609	-15.483	311.361	9.934	-14.273	284.036	36.688	-14.407
195.014	207.234	-15.656	320.907	50.963	-14.192	218.455	174.962	-15.392	183.982	164.560	-15.479	311.352	9.943	-14.258	284.036	36.681	-14.407
194.978	207.198	-15.680	320.926	50.955	-14.193	218.428	174.932	-15.403	183.957	164.520	-15.489	311.361	9.949	-14.242	284.037	36.694	-14.407
194.960	207.160	-15.676	320.907	50.972	-14.193	218.411	174.894	-15.399	183.953	164.446	-15.470	311.361	9.950	-14.274	284.036	36.688	-14.407
194.921	207.113	-15.699	320.917	50.963	-14.208	218.377	174.862	-15.393	183.936	164.408	-15.466	311.352	9.949	-14.257	284.037	36.694	-14.407
194.907	207.070	-15.695	320.924	50.971	-14.194	218.364	174.795	-15.389	183.899	164.387	-15.490	311.370	9.949	-14.259	284.037	36.685	-14.407
194.879	207.049	-15.706	320.925	50.979	-14.194	218.346	174.757	-15.385	183.882	164.334	-15.485	311.361	9.942	-14.243	284.027	36.688	-14.422
194.863	207.017	-15.702	320.915	50.972	-14.209	218.314	174.691	-15.378	183.849	164.293	-15.477	311.370	9.943	-14.259	284.036	36.688	-14.407
194.834	206.984	-15.743	320.915	50.972	-14.209	218.298	174.659	-15.375	183.830	164.205	-15.503	311.361	9.957	-14.243	284.027	36.697	-14.422
194.807	206.969	-15.754	320.915	50.965	-14.209	218.275	174.577	-15.353	183.796	164.173	-15.495	311.369	9.958	-14.259	284.036	36.696	-14.408
194.774	206.922	-15.746	320.915	50.974	-14.209	218.258	174.554	-15.350	183.780	164.126	-15.491	311.361	9.942	-14.243	284.036	36.696	-14.408
194.758	206.884	-15.774	320.915	50.973	-14.209	218.234	174.490	-15.329	183.745	164.103	-15.483	311.369	9.951	-14.259	284.036	36.696	-14.408
194.732	206.845	-15.784	320.914	50.982	-14.210	218.206	174.462	-15.339	183.727	164.065	-15.511	311.369	9.951	-14.259	284.036	36.690	-14.408
194.708	206.812	-15.795	320.915	50.974	-14.209	218.180	174.432	-15.350	183.693	164.027	-15.503	311.369	9.951	-14.259	284.035	36.699	-14.408
194.683	206.719	-15.772	320.914	50.982	-14.210	218.154	174.392	-15.329	183.659	164.001	-15.495	311.369	9.944	-14.260	284.035	36.699	-14.408
194.652	206.660	-15.764	320.924	50.973	-14.194	218.127	174.364	-15.340	183.634	163.962	-15.505	311.369	9.953	-14.260	284.035	36.679	-14.409
194.638	206.580	-15.760	320.915	50.973	-14.209	218.101	174.319	-15.350	183.619	163.913	-15.501	311.369	9.944	-14.260	284.036	36.690	-14.408
194.608	206.555	-15.769	320.914	50.981	-14.210	218.076	174.270	-15.329	183.598	163.864	-15.528	311.369	9.960	-14.260	284.035	36.699	-14.408
194.582	206.525	-15.779	320.923	50.982	-14.226	218.050	174.240	-15.340	183.565	163.817	-15.520	311.369	9.959	-14.260	284.035	36.699	-14.408
194.547	206.480	-15.772	320.923	50.982	-14.226	218.018	174.174	-15.333	183.549	163.761	-15.515	311.360	9.953	-14.275	284.035	36.699	-14.408
194.520	206.442	-15.782	320.914	50.983	-14.241	217.991	174.153	-15.344	183.522	163.718	-15.524	311.378	9.945	-14.276	284.043	36.708	-14.425
194.486	206.379	-15.774	320.923	50.982	-14.226	217.972	174.096	-15.371	183.497	163.670	-15.534	311.360	9.946	-14.275	284.034	36.700	-14.440
194.451	206.355	-15.767	320.923	50.974	-14.226	217.938	174.064	-15.365	183.480	163.631	-15.530	311.369	9.944	-14.260	284.035	36.692	-14.408
194.418	206.291	-15.759	320.914	50.974	-14.210	217.912	174.040	-15.376	183.454	163.586	-15.539	311.360	9.952	-14.244	284.026	36.699	-14.423
194.390	206.241	-15.768	320.915	50.973	-14.209	217.887	174.007	-15.387	183.428	163.540	-15.549	311.369	9.944	-14.260	284.026	36.699	-14.423
194.356	206.154	-15.728	320.923	50.982	-14.226	217.871	173.960	-15.383	183.410	163.495	-15.544	311.360	9.951	-14.274	284.026	36.699	-14.423
194.332	206.121	-15.738	320.923	50.974	-14.226	217.844	173.939	-15.394	183.395	163.440	-15.540	311.369	9.944	-14.260	284.034	36.700	-14.440
194.298	206.090	-15.731	320.906	50.974	-14.225	217.813	173.887	-15.387	183.359	163.410	-15.564	311.360	9.951	-14.274	284.026	36.708	-14.423
194.264	206.079	-15.724	320.923	50.975	-14.226	217.775	173.793	-15.379	183.342	163.357	-15.559	311.360	9.944	-14.274	284.026	36.686	-14.423
194.241	206.022	-15.702	320.915	50.981	-14.209	217.749	173.748	-15.389	183.350	163.262	-15.574	311.360	9.951	-14.274	284.026	36.699	-14.423
194.208	205.986	-15.695	320.923	50.974	-14.226	217.724	173.700	-15.400	183.309	163.235	-15.549	311.360	9.945	-14.274	284.027	36.690	-14.423
194.194	205.944	-15.692	320.914	50.975	-14.241	217.707	173.661	-15.396	183.290	163.206	-15.576	311.360	9.951	-14.274	284.035	36.699	-14.408
194.170	205.915	-15.671	320.906	50.974	-14.225	217.683	173.598	-15.406	183.268	163.146	-15.554	311.369	9.945	-14.291	284.026	36.686	-14.423
194.146	205.882	-15.681	320.923	50.974	-14.226	217.667	173.558	-15.403	183.253	163.097	-15.550	311.360	9.951	-14.274	284.035	36.684	-14.439
194.123	205.830	-15.660	320.915	50.973	-14.209	217.634	173.517	-15.396	183.220	163.056	-15.542	311.360	9.945	-14.274	284.027	36.690	-14.423
194.109	205.780	-15.656	320.915	50.974	-14.209	217.620	173.459	-15.392	183.186	163.008	-15.534	311.360	9.951	-14.274	284.034	36.700	-14.440
194.105	205.712	-15.638	320.915	50.981	-14.209	217.593	173.428	-15.403	183.162	162.960	-15.544	311.369	9.945	-14.260	284.035	36.670	-14.408
194.082	205.609	-15.615	320.915	50.965	-14.209	217.567	173.398	-15.414	183.146	162.920	-15.540	311.360	9.944	-14.274	284.035	36.686	-14.408
194.055	205.579	-15.625	320.923	50.974	-14.226	217.541	173.353	-15.424	183.112	162.888	-15.532	311.360	9.944	-14.274	284.036	36.690	-14.408
194.018	205.535	-15.617	320.933	50.965	-14.210	217.534	173.304	-15.406	183.097	162.838	-15.527	311.370	9.936	-14.259	284.044	36.691	-14.424
194.014	205.461	-15.630	320.924	50.966	-14.225	217.497	173.233	-15.399	183.062	162.800	-15.520	311.370	9.936	-14.259	284.045	36.682	-14.424
193.979	205.416	-15.622	320.933	50.966	-14.210	217.481	173.192	-15.395	183.038	162.766	-15.498	311.360	9.929	-14.274	284.035	36.670	-14.408
193.952	205.379	-15.632	320.924	50.957	-14.194	217.447	173.145	-15.388	183.013	162.718	-15.508	311.370	9.936	-14.259	284.036	36.690	-14.408
193.935	205.324	-15.628	320.924	50.965	-14.194	217.429	173.116	-15.416	182.998	162.669	-15.503	311.370	9.936	-14.259	284.044	36.671	-14.425
193.894	205.302	-15.651	320.925	50.948	-14.193	217.405	173.074	-15.395	182.978	162.585	-15.497	311.370	9.929	-14.259	284.044	36.662	-14.424
193.860	205.247	-15.643	320.934	50.933	-14.209	217.390	173.040	-15.392	182.952	162.539	-15.507	311.370	9.936	-14.259	284.037	36.666	-14.407
193.841	205.213	-15.671	320.934	50.942	-14.209	217.361	172.977	-15.402	182.929	162.482	-15.484	311.370	9.929	-14.259	284.036	36.646	-14.408
193.795	205.141	-15.676	320.926	50.932	-14.193	217.344	172.930	-15.398	182.914	162.417	-15.480	311.361	9.929	-14.243	284.045	36.654	-14.424
193.758	205.115	-15.700	320.935	50.932	-14.178	217.312	172.865	-15.391	182.888	162.371	-15.489	311.370	9.920	-14.259	284.036	36.655	-14.408
