d,a_omega,a_v,a_p,a_l,a_t,a_acc,b_omega,b_v,b_p,b_l,b_t,b_acc
0.4053105396564048,0.5372577277971214,[ 0.3877921  -0.60950722],[ 0.01113979 -0.01750883],4.822929043826772e-06,0.007505410146859574,[-0.00044498 -0.00035779],-0.0039931763472736,[-3.59231046e-06 -6.47599687e-05],[-1.01249989e-07 -1.82527267e-06],-3.5171398119742426e-08,2.2282836804423873e-07,[ 0.00028957 -0.00020696]
0.8238464914606486,-0.9965039827076021,[ 0.17159316 -0.59622049],[ 0.00492922 -0.01712715],-8.945553971267225e-06,0.005553161869606301,[-0.00041829  0.00104761],-0.0007536070476005409,[ 5.35657317e-05 -9.35664588e-05],[ 1.50976086e-06 -2.63718935e-06],-6.637676674384613e-09,9.073811771428616e-08,[ 4.74372312e-05 -5.29370373e-05]
0.2167367272536988,0.47899796455504984,[ 0.35814825 -0.68064888],[ 0.01009448 -0.01918422],4.21895419705531e-06,0.008372424325292028,[ 0.00016511 -0.00085398],6.48025703535659e-05,[-1.29113117e-05  2.49978649e-04],[-3.70892923e-07  7.18093665e-06],5.817286239032877e-10,2.1797298443864457e-07,[ 0.00018901 -0.00027093]
0.8543753056402595,-0.14834361087979764,[ 0.12412057 -0.72501906],[ 0.00349836 -0.02043481],-1.306591981677898e-06,0.00762760548490805,[-8.31758445e-06  2.61650530e-04],0.0024266842648561536,[ 6.96043288e-05 -1.58462784e-05],[ 1.99946787e-06 -4.55203361e-07],2.1784192977847147e-08,1.3619464878072033e-07,[ 6.74765377e-05 -6.96714116e-05]
0.5489579998330731,-1.4716916463549499,[ 0.28652257 -0.68524231],[ 0.0082307  -0.01968441],-1.321128392860049e-05,0.00860246842710638,[ 0.00237316 -0.00577884],-0.002557145959952431,[5.55597718e-05 3.66975450e-05],[1.56596328e-06 1.03432765e-06],-2.2523021972016033e-08,8.346933644783294e-08,[ 0.00057308 -0.00059541]
0.45389691055418235,2.3622079170888886,[ 0.63504478 -0.71457991],[ 0.01824242 -0.02052717],2.1205392833712135e-05,0.01465355932906508,[ 0.00725911 -0.00767798],-0.002572356286744003,[ 2.67697132e-06 -1.86739679e-05],[ 7.54509721e-08 -5.26329521e-07],-2.2656992629105352e-08,1.2047787226264198e-07,[8.48172704e-06 1.39041392e-05]
0.672196498863874,0.14137091648888847,[ 0.46063202 -0.59609542],[ 0.01298301 -0.01680107],1.2451773610695692e-06,0.008003908097259925,[-0.00089104  0.00064297],-0.003659590365758937,[-3.49148942e-05 -1.94795827e-05],[-1.00297223e-06 -5.59574387e-07],-3.285191398902014e-08,2.0220554014474332e-07,[ 0.00056025 -0.00025493]
0.1604427335842587,3.4865410976899747,[ 0.4680597  -0.79223126],[ 0.01344558 -0.02275779],3.12984615251443e-05,0.012219163807164321,[-1.58906817e-04 -1.61279391e-05],-0.0007044572578024096,[2.91981927e-06 5.48602426e-05],[8.22956900e-08 1.54624691e-06],-6.204771469566394e-09,9.448049433880798e-08,[ 1.96950521e-05 -6.13249654e-05]
0.06667129806508988,5.244798211527501,[ 0.17886392 -0.64105081],[ 0.00513808 -0.01841495],4.708222574499416e-05,0.00650649670859927,[-0.00089238  0.0013372 ],-0.06551244532689367,[-0.01271532  0.00056205],[-3.58383854e-04  1.58415888e-05],-5.770254293836137e-07,2.5476934503379292e-06,[ 0.00016729 -0.00036078]
0.9226927641553689,4.961940938079522,[-0.07659184 -0.45289196],[-0.00220019 -0.01300987],4.454303367983125e-05,0.0032053174279868596,[4.53978587e-05 2.24204308e-03],0.0037226273684350347,[6.47558052e-05 2.49810399e-04],[1.82515532e-06 7.04095605e-06],3.278843653275475e-08,1.044179292871985e-07,[ 2.44116984e-05 -5.25036453e-05]
0.6729944582829148,0.2221805320305428,[ 0.24668944 -0.58335243],[ 0.00708645 -0.0167575 ],1.9945007497549314e-06,0.006890996382744021,[ 0.00279118 -0.00621899],0.0014311535880806357,[-5.57441454e-05  6.76679410e-05],[-1.57115989e-06  1.90723445e-06],1.2605421909615703e-08,1.1334118973825984e-07,[ 0.00046542 -0.00043476]
0.5196285618599087,-2.5729338648017683,[ 0.18917464 -0.70156006],[ 0.00543427 -0.02015315],-2.3097066495958926e-05,0.0076310135340995474,[ 0.00035243 -0.00055005],0.002185747350050198,[-1.18275710e-05  1.12766905e-04],[-3.33362454e-07  3.17835778e-06],1.9251789440823396e-08,1.0269593971851376e-07,[ 4.86954639e-05 -6.14368710e-05]
0.6929785973359348,-1.3918153269946214,[ 0.20162203 -0.80003488],[ 0.00579183 -0.02298196],-1.2494239201972783e-05,0.009788579133848771,[-1.74321345e-04  6.27379767e-05],0.004880222190479856,[-1.52635765e-05  3.09836273e-04],[-4.30206957e-07  8.73279732e-06],4.298438702597277e-08,2.47895648565054e-07,[4.67166661e-05 6.07862267e-06]
0.6389799598485942,3.55379413660735,[ 0.36974439 -0.62318086],[ 0.01062135 -0.01790162],3.1902187852190645e-05,0.007606443031286225,[-3.38337333e-05 -2.85795525e-04],0.0014591773983843733,[1.44538879e-05 3.41656567e-06],[4.07385721e-07 9.62965867e-08],1.2852252127794743e-08,2.678158349804395e-07,[ 0.00011569 -0.00013989]
0.9414600454554282,0.7222500969785884,[ 0.14369302 -0.88348683],[ 0.00412775 -0.02537922],6.483593979945728e-06,0.011666582613629517,[ 0.00033416 -0.003619  ],-0.0047935897802006775,[ 4.71285831e-05 -4.87639825e-05],[ 1.32832854e-06 -1.37442260e-06],-4.2221339585285046e-08,1.628679006853405e-07,[ 0.00013495 -0.00017467]
0.9985497299923747,-0.8242847894864387,[ 0.0417591  -0.63533019],[ 0.00119958 -0.01825062],-7.399553037420418e-06,0.005838971442385141,[-0.00016094  0.00084369],-0.00025305683780438716,[-5.59202174e-05 -3.14534598e-05],[-1.57612251e-06 -8.86522056e-07],-2.228892995276322e-09,8.523578185791679e-08,[ 6.33084131e-05 -4.52384340e-05]
0.8840184176682353,-4.036429013730631,[ 0.07715675 -0.86092939],[ 0.00221642 -0.02473123],-3.6234770979446517e-05,0.01080946360019896,[-0.00016724  0.00040724],0.00028455427131313663,[ 1.54455421e-05 -1.87569018e-05],[ 4.35335692e-07 -5.28667029e-07],2.50631845244219e-09,9.364845292813047e-08,[ 0.00022454 -0.00024777]
0.18178523543029765,-4.180941352950472,[ 0.18849035 -0.88254542],[ 0.00531264 -0.02487472],-3.682520881911865e-05,0.011561036767646806,[ 6.72082103e-05 -4.74824492e-04],0.00019359010131311553,[1.59808477e-05 2.23964780e-05],[4.59069026e-07 6.43365706e-07],1.7378462401065156e-09,1.2415537779494805e-07,[ 2.49036195e-05 -6.33180699e-05]
0.09858900153014884,2.3246398181203514,[ 0.09532668 -0.36782825],[ 0.00273837 -0.01056631],2.0868146357277772e-05,0.0021479641215266525,[-0.00069369  0.00211668],-0.0010216199181034221,[-4.48814267e-05 -6.60776478e-06],[-1.26499199e-06 -1.86241172e-07],-8.99830053616519e-09,9.12250456679705e-08,[ 8.94684067e-05 -2.02402463e-04]
0.6249708490136762,1.770024747150153,[ 0.10704445 -0.81997093],[ 0.00301707 -0.02311104],1.559015671980516e-05,0.009691777890761706,[-0.00043117  0.00131683],-0.0003742347719190323,[2.46258223e-05 3.66010260e-05],[7.07406296e-07 1.05140839e-06],-3.3594821578439026e-09,1.6930321231097136e-07,[ 4.95912702e-08 -1.57755719e-05]
