v_rel,e
1.34367091626933,0.07412907402761365
0.11682358405340892,0.17618277844019303
0.6440351014773321,0.08198946463897658
0.32002900941886564,0.12406271181906099
0.25227419789416666,0.12529103299487196
0.8248848152422207,0.07379451389663685
0.7224920679487592,0.08389902298046938
0.6676771105947021,0.07795953849295453
0.6964210198877789,0.07745681107719564
0.403318792129872,0.11542623793164039
1.6054356983307243,0.07158574426291614
1.6892683502890418,0.06079826762032041
1.6090463821053849,0.05806630908145771
2.222949462208155,0.06600835875499515
0.18117431298560632,0.16821719594638004
0.7943363976714248,0.07670162179474886
0.11262479880772766,0.17123918457985254
1.487469113152815,0.06120935096315286
1.6435206759882257,0.05949792759781303
0.743455453555707,0.07297077006613259
0.3886599842706769,0.09468826377262854
1.0064280472918652,0.06652650167014333
0.7643414724286991,0.07997173387726553
1.1327204778334714,0.06742137234221475
1.1928325286468153,0.07163572382543734
1.9992414259891091,0.07813296283582687
1.6289899653301203,0.06666583548826512
1.7633778168129566,0.06405339249533923
0.5602726879173862,0.07831711289996446
0.7686249182097555,0.07671159233317598
1.1551265290855968,0.06993868360095153
0.48125862582293416,0.10037910612144493
0.2932247464464284,0.13819393400520874
0.17610936728935175,0.18199946924893307
1.5144812145704498,0.07895592066059706
1.029786648773571,0.06797918735708201
0.5062580487421688,0.08943510760094377
0.17795455708574906,0.1471235956007168
0.1767374539397629,0.1631468036263914
0.9689400317435619,0.07568031400174294
0.13894365296017785,0.16786064759487657
0.5401458895696172,0.10065292527006506
0.5930668752080854,0.08520997519400024
0.7295476509107286,0.0803966357067782
0.32683353893336575,0.1353743399330721
0.36875283590296215,0.12218200185914113
1.3071876551759884,0.06741158643854424
